dates,satname,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027
2000-12-16 22:16:59.214000,L7,,,,,,,,,,,,,,,,,,489.20,486.44,474.00,,,,,,,,
2002-10-03 22:14:17.207000,L7,,,,,,,,,,,,,,,,,,,,,,,396.21,369.27,161.36,198.23,222.73,257.00
2002-12-06 22:14:49.731000,L7,,,,,,,,,,,,,,,,,,,,,,163.56,179.03,203.63,207.25,206.60,239.21,286.89
2003-01-07 22:14:52.811000,L7,,,,,,,,,,,,,,,,,,,,,,,,,180.27,196.97,242.11,285.74
2003-02-24 22:15:13.300000,L7,,,,,,,,,,,,,,,,,,,,,,,,453.97,404.52,423.70,249.43,284.53
2003-08-27 22:03:45.777000,L5,,,,,,,,,212.25,263.06,296.12,263.86,291.34,275.24,265.04,272.08,288.08,264.08,272.78,279.00,270.45,277.60,,,204.82,245.52,275.97,294.45
2003-12-01 22:05:04.787000,L5,,,,,,,,,,,238.94,231.87,185.05,178.90,,,,,,,243.76,245.41,210.75,245.93,225.14,239.67,256.72,294.41
2004-01-18 22:05:21.441000,L5,,,,,,,,,,,252.43,260.72,216.32,189.68,209.90,201.53,,,,,244.27,249.34,216.82,260.74,247.24,265.99,285.31,308.76
2005-09-17 22:14:42.676000,L5,,,,,,,,,,,249.28,255.12,262.92,206.39,257.27,212.89,272.73,263.60,259.19,184.95,,,,,202.61,250.83,270.03,297.98
2006-04-13 22:18:14.212000,L5,,,,,,,,,,250.07,261.69,263.35,259.02,263.35,273.78,217.70,278.32,264.82,264.44,251.44,270.25,270.07,256.83,,204.56,246.26,264.82,296.75
2006-12-09 22:21:12.760000,L5,218.02,220.13,233.73,230.20,232.02,231.34,224.88,198.92,193.83,163.67,310.54,307.66,298.69,290.38,298.89,332.13,341.28,322.87,301.47,309.32,323.62,315.55,290.15,289.82,303.13,324.57,311.07,317.94
2007-01-26 22:21:31.018000,L5,,,,,,,,,,,,,,,,,,,,,,,,,192.57,230.46,249.73,281.88
2007-02-11 22:21:32.545000,L5,,,,,,,,,,,256.47,252.29,216.31,190.17,,,,,,,245.68,253.05,219.83,261.20,217.36,255.01,281.63,296.68
2007-02-27 22:21:32.058000,L5,,,,,,,,,,,,,,,,,,,,,,,,,193.92,239.77,258.49,289.12
2007-09-23 22:19:35.432000,L5,,,,,,,,,,,164.90,235.33,193.10,190.61,,,,,,,260.00,260.08,234.55,,201.79,248.64,274.03,295.87
2010-02-03 22:17:26.917000,L5,,,,,,,,,,,,,,,,,,,,,255.98,258.09,234.86,257.79,231.22,253.30,277.09,298.89
2013-08-22 22:28:36.842000,L8,,,,,,,,,,,,,,,,,,,,,262.39,257.96,199.78,,234.00,253.62,273.07,310.33
2013-09-07 22:28:35.698000,L8,,,,,,,,,,,,,,,,,,,,,,,,169.76,211.13,245.18,268.53,288.33
2013-09-23 22:28:28.042000,L8,,,,,,,,,,,,,,,,,,,,,263.78,259.80,211.96,217.72,227.74,257.83,282.76,305.34
2013-11-10 22:28:18.375000,L8,,,,,,,,,225.99,205.78,184.80,254.53,239.96,196.18,165.40,216.52,,,,,268.97,261.47,222.58,257.19,254.87,274.41,312.29,337.89
2013-12-28 22:27:59.710000,L8,,,,,,,,236.94,230.34,209.81,249.90,260.58,256.69,202.92,493.65,493.39,471.20,501.41,268.16,185.49,333.81,318.61,306.83,260.08,257.24,284.64,306.20,329.88
2014-01-13 22:27:45.180000,L8,,,,,,309.73,312.22,305.42,296.34,302.16,308.08,289.07,298.73,254.50,274.13,278.70,172.81,306.63,267.15,188.53,266.19,262.77,224.84,307.88,285.67,294.86,313.22,347.35
2014-03-02 22:27:09.178000,L8,,,333.60,337.65,334.73,327.66,319.82,320.14,310.79,269.04,306.02,305.05,315.65,317.76,314.28,318.43,318.49,316.17,308.56,341.20,341.83,332.75,363.48,315.37,312.03,299.57,340.95,367.25
2014-09-26 22:26:40.595000,L8,,,,,,,,237.88,234.91,210.62,279.86,309.71,318.10,325.11,327.01,330.60,317.52,340.47,261.82,184.89,301.59,301.13,214.19,227.38,250.20,311.27,292.44,307.56
2014-12-31 22:26:35.482000,L8,,,,,,,,,,319.64,328.49,327.11,304.08,336.12,328.48,324.30,321.78,324.57,327.13,333.30,262.18,301.31,213.97,248.05,256.03,248.22,177.09,270.26
2015-02-17 22:26:23.050000,L8,,,,,,,,,,,191.41,249.69,236.01,199.04,168.18,218.17,,,,,265.71,258.93,214.23,238.00,255.32,271.61,288.50,301.65
2015-12-18 22:26:42.726000,L8,,,,,,,,,,,259.59,259.77,247.10,202.81,177.14,218.91,276.47,257.96,259.86,185.18,271.00,263.09,223.39,260.51,259.12,278.89,314.37,339.23
2016-01-03 22:26:39.547000,L8,,,,,,,,,,186.84,186.26,258.33,244.35,199.89,167.22,218.55,279.10,257.92,261.05,185.20,266.83,262.47,222.20,259.84,256.07,276.91,318.72,347.21
2016-02-20 22:26:27.762000,L8,,,,,,,,,,,,,,,,,,,,,,,,,197.50,232.79,250.27,284.47
2016-03-07 22:26:26.859000,L8,,,,,,,,,,,,,,,,,,,,,259.39,253.80,207.33,218.93,297.75,281.94,286.03,302.11
2016-11-18 22:26:54.715000,L8,,,,,,,,,,,,,,,,,,,,,257.52,256.66,210.96,248.29,254.84,271.57,300.02,330.18
2016-12-04 22:26:53.506000,L8,,,,,,549.41,542.96,534.18,494.15,468.90,,259.69,246.68,199.40,168.69,218.25,273.80,258.06,259.96,184.30,316.88,261.86,221.47,261.24,259.76,276.48,306.74,337.31
2017-02-22 22:26:28.144000,L8,,,,,,,,,,,,,,,,268.32,219.66,244.87,245.62,174.44,251.20,254.00,207.23,229.64,249.44,251.63,279.82,306.83
2017-03-26 22:26:10.766000,L8,,,,,,,,,,,245.85,256.71,239.27,199.95,,,277.97,275.05,262.46,184.50,265.86,260.47,212.57,220.62,213.65,253.10,285.36,301.01
2017-09-02 22:26:40.811000,L8,,,,,,,,304.59,310.02,291.19,313.04,265.08,272.04,207.65,269.77,228.02,201.27,279.64,268.71,298.23,274.23,268.67,210.23,191.70,226.26,251.97,275.34,303.47
2017-09-18 22:26:42.973000,L8,,,309.88,334.00,349.66,328.10,268.84,301.34,319.66,332.13,329.50,305.91,262.70,299.51,316.68,302.18,296.76,313.05,314.88,305.61,303.40,289.78,217.08,222.11,288.11,312.18,348.03,312.37
2017-10-04 22:26:49.608000,L8,,,,,,,,,,346.06,310.56,311.45,302.90,326.79,163.10,218.78,177.85,270.15,262.67,185.14,267.56,262.41,215.10,243.76,269.26,280.63,325.15,350.34
2017-11-05 22:26:51.496000,L8,,,,348.36,337.98,288.92,310.65,338.82,316.64,323.33,319.47,309.65,295.27,314.29,310.51,288.97,173.94,276.43,273.67,189.80,307.21,284.00,281.01,290.49,286.66,284.66,304.14,334.66
2018-02-25 22:26:18.105000,L8,,,,,,,,,,,186.40,231.76,226.88,194.83,,,,,,,262.27,257.76,209.99,233.02,237.77,254.58,279.03,306.04
2018-04-30 22:25:44.384000,L8,,,,315.32,308.80,286.34,293.15,,,,289.12,299.82,261.50,240.87,310.43,,,,,,264.82,260.41,213.63,212.77,249.80,267.23,282.72,312.39
2018-09-05 22:26:09.170000,L8,,,,,,,,221.19,206.48,167.83,262.79,259.29,245.85,203.53,161.62,289.66,297.94,299.12,259.10,185.95,267.63,264.67,208.91,223.65,214.43,254.35,287.31,310.61
2018-09-21 22:26:13.553000,L8,,,,,,,235.21,220.27,317.13,306.53,160.18,316.32,303.14,304.46,287.23,279.42,283.98,259.92,258.46,183.98,264.60,260.74,215.89,223.42,237.19,370.39,384.76,377.21
2018-10-07 22:26:21.825000,L8,,,,,341.87,333.90,309.05,258.66,303.13,281.23,279.82,319.59,300.58,296.74,297.85,299.48,304.41,306.51,263.03,186.61,376.31,265.56,227.84,250.28,250.81,290.87,285.65,311.33
2019-01-11 22:26:25.210000,L8,,,,,,,,213.56,201.66,191.20,253.37,255.76,247.07,200.33,161.92,220.32,273.75,257.94,258.75,184.11,265.25,263.92,220.60,261.13,257.66,280.69,294.12,341.38
2019-02-28 22:26:15.313000,L8,,,,,,,,,204.70,195.94,255.51,254.79,268.69,202.09,158.77,223.89,273.17,262.91,260.67,184.12,269.29,264.75,223.74,236.91,225.72,255.56,280.57,307.95
2019-04-01 22:26:06.574000,L8,,,,,,,309.57,297.35,319.02,300.72,292.12,299.43,312.37,304.10,289.87,273.25,316.14,306.41,292.18,314.35,267.39,262.51,212.94,225.61,213.68,252.21,372.33,383.65
2019-04-17 22:26:00.878000,L8,,,,,,,242.68,231.54,215.10,171.80,258.97,256.74,305.13,264.63,,,,,,,,,,,215.56,254.85,278.91,304.79
2019-08-23 22:26:44.701000,L8,,,,,,,,,,,,,,,,,,,,,,,,,182.24,234.41,268.87,288.59
2019-09-08 22:26:48.392000,L8,,,,,,,,,,,,218.51,185.84,196.37,,,,,,,263.68,258.47,206.01,,215.20,255.34,280.52,309.62
2019-11-11 22:26:55.947000,L8,371.59,361.27,347.26,345.72,333.06,323.28,329.44,321.07,310.27,305.33,310.01,325.89,322.26,323.33,539.87,339.04,370.82,368.99,339.14,467.20,469.42,424.65,406.67,355.81,352.18,335.67,493.31,471.76
2020-01-14 22:26:44.901000,L8,,,,,,,,210.07,209.69,200.54,260.83,258.46,274.57,205.86,168.49,227.95,273.94,270.14,264.76,187.83,168.86,264.74,227.01,469.26,254.81,282.40,317.59,341.00
2020-08-25 22:26:40.782000,L8,,,,,,,,,,,,,,,,,,,,,,,,,195.47,229.97,256.81,285.82
