dates,satname,nzd0401-0000,nzd0401-0001,nzd0401-0002,nzd0401-0003,nzd0401-0004,nzd0401-0006,nzd0401-0007,nzd0401-0008,nzd0401-0009,nzd0401-0005
1999-09-04 22:00:33.926000,L7,229.62,251.96,314.26,252.92,236.67,211.00,282.56,335.25,235.72,
1999-10-22 22:00:28.631000,L7,351.94,338.92,366.57,366.06,344.05,326.17,332.13,360.77,358.29,316.86
1999-12-09 22:00:33.510000,L7,232.82,247.62,304.81,191.44,208.38,266.61,309.28,333.95,,259.04
2000-01-26 22:00:26.187000,L7,280.60,307.94,346.70,324.62,318.62,305.79,325.72,335.61,251.45,301.15
2000-02-11 22:00:21.827000,L7,234.21,240.25,,,,239.88,268.75,,,184.40
2000-02-27 22:00:16.353000,L7,325.25,329.68,386.18,408.35,385.69,321.06,334.28,363.61,386.82,315.71
2000-03-30 22:00:09.363000,L7,304.93,303.03,344.88,331.29,310.68,206.67,316.80,353.25,282.29,280.18
2000-04-15 21:59:55.745000,L7,208.81,238.05,299.17,175.70,,,,,,
2000-05-01 21:59:54.563000,L7,221.77,243.35,317.15,289.85,234.80,,322.59,339.23,220.42,
2000-06-18 21:59:27.736000,L7,227.43,242.24,324.04,297.26,245.01,,322.55,350.55,252.55,
2000-08-05 21:58:44.520000,L7,209.06,248.79,317.95,216.04,,,252.25,338.95,238.30,
2000-09-06 21:58:22.821000,L7,239.99,243.23,314.89,222.80,,220.87,328.94,330.97,225.35,
2000-10-08 21:58:00.300000,L7,237.10,228.99,212.77,,,236.08,312.32,,,
2000-11-25 21:57:58.896000,L7,231.70,257.05,245.70,192.29,,290.41,320.66,337.61,,283.66
2001-07-07 21:57:00.006000,L7,202.29,246.94,313.06,,,,,,,
2001-09-25 21:56:04.528000,L7,234.57,300.08,331.37,322.56,273.29,222.62,324.89,340.15,276.35,291.61
2002-05-07 21:56:27.687000,L7,260.89,262.24,329.03,310.38,255.05,,319.69,339.44,256.11,160.35
2002-10-14 21:55:19.836000,L7,217.30,251.31,316.08,300.85,232.81,217.71,293.92,335.08,238.95,253.24
2002-10-30 21:55:25.430000,L7,343.15,314.50,351.40,349.33,276.79,315.33,337.65,349.96,336.53,309.63
2003-01-18 21:56:06.129000,L7,,,,,,523.15,411.52,411.01,379.64,457.35
2003-02-19 21:56:18.422000,L7,232.53,240.74,278.07,232.30,211.55,260.29,328.73,347.70,296.07,208.47
2003-05-10 21:56:22.313000,L7,222.20,235.52,312.05,217.82,,,260.86,335.14,210.27,
2003-07-21 21:44:09.463000,L5,323.84,317.79,351.19,344.92,279.15,309.57,324.09,355.40,356.08,306.08
2004-04-02 21:46:54.575000,L5,342.52,329.19,359.66,360.13,309.73,339.91,350.15,368.96,362.93,332.67
2004-05-04 21:47:51.656000,L5,321.21,304.48,343.68,330.28,267.98,309.66,190.34,352.30,343.91,305.73
2004-05-20 21:48:20.187000,L5,253.31,291.35,340.20,329.97,265.63,289.54,,349.40,337.99,298.34
2004-06-05 21:48:48.638000,L5,238.99,309.15,354.68,344.01,273.39,303.28,308.36,361.28,347.84,314.06
2004-07-07 21:49:44.929000,L5,315.49,316.61,353.28,342.80,278.12,316.91,,360.02,346.16,318.28
2004-07-23 21:50:08.771000,L5,212.76,265.04,323.55,296.43,249.04,,,341.56,257.94,257.29
2004-08-08 21:50:26.495000,L5,242.03,299.04,338.78,332.42,264.71,300.71,211.71,347.10,343.79,302.38
2004-09-25 21:51:43.061000,L5,335.99,338.03,358.05,354.33,292.72,328.86,361.32,364.96,357.67,331.87
