dates,satname,nzd0279-0000,nzd0279-0001,nzd0279-0002,nzd0279-0003,nzd0279-0004,nzd0279-0005,nzd0279-0006,nzd0279-0007,nzd0279-0008,nzd0279-0009,nzd0279-0010,nzd0279-0011,nzd0279-0012,nzd0279-0013,nzd0279-0014,nzd0279-0015,nzd0279-0016,nzd0279-0017,nzd0279-0018,nzd0279-0019,nzd0279-0020,nzd0279-0021,nzd0279-0022,nzd0279-0023,nzd0279-0024,nzd0279-0025,nzd0279-0026,nzd0279-0027,nzd0279-0028,nzd0279-0029,nzd0279-0030,nzd0279-0031,nzd0279-0032,nzd0279-0033,nzd0279-0034,nzd0279-0035,nzd0279-0036,nzd0279-0039,nzd0279-0040,nzd0279-0041,nzd0279-0042,nzd0279-0043,nzd0279-0044,nzd0279-0045,nzd0279-0046,nzd0279-0047,nzd0279-0048,nzd0279-0049,nzd0279-0056,nzd0279-0057,nzd0279-0058,nzd0279-0059,nzd0279-0060,nzd0279-0062,nzd0279-0063,nzd0279-0064,nzd0279-0065,nzd0279-0066,nzd0279-0067,nzd0279-0068,nzd0279-0069,nzd0279-0070,nzd0279-0071,nzd0279-0072,nzd0279-0073,nzd0279-0074,nzd0279-0075,nzd0279-0076,nzd0279-0077,nzd0279-0078,nzd0279-0079,nzd0279-0037,nzd0279-0038,nzd0279-0050,nzd0279-0051,nzd0279-0052,nzd0279-0053,nzd0279-0054,nzd0279-0055,nzd0279-0061,nzd0279-0080
1999-08-21 21:46:56.985000,L7,464.35,450.24,453.23,460.96,471.53,481.15,449.24,490.50,497.89,503.89,421.51,496.39,448.75,435.77,463.62,420.90,448.56,438.75,443.32,441.26,414.28,405.58,404.40,405.90,404.94,410.32,410.48,408.52,407.70,406.50,375.02,426.22,422.45,415.04,428.68,401.81,400.69,445.98,437.01,448.94,307.62,314.22,210.64,310.92,224.16,325.33,314.60,291.52,269.82,300.51,294.39,272.80,314.53,319.58,297.99,315.03,312.26,324.93,320.72,332.18,335.28,320.62,209.20,261.94,354.99,328.58,371.21,364.54,365.20,367.09,369.26,,,,,,,,,,
1999-09-22 21:47:00.785000,L7,502.51,511.01,528.44,528.97,527.73,532.13,500.44,504.74,467.35,478.97,492.33,489.09,481.63,471.66,438.02,467.16,457.78,453.20,540.02,488.68,472.78,462.26,455.52,440.20,438.84,465.55,317.07,339.26,312.95,298.69,330.08,325.70,324.15,321.83,333.89,242.44,215.62,199.39,240.39,342.90,371.13,317.43,345.46,325.80,340.70,339.53,314.54,322.55,311.49,309.14,313.25,318.69,318.16,185.61,249.64,319.88,322.70,324.13,326.14,338.96,345.54,335.10,211.19,285.00,367.70,360.62,379.87,386.94,381.94,386.86,375.06,162.63,309.74,291.74,304.79,307.91,309.56,326.62,310.47,322.18,380.83
1999-10-24 21:46:56.203000,L7,462.49,473.72,465.39,460.46,471.82,515.48,518.22,522.08,494.13,505.52,511.88,490.03,482.11,479.18,461.51,460.48,445.60,443.29,442.88,425.71,535.12,509.68,506.10,500.68,507.70,510.95,491.54,490.78,487.53,494.53,491.86,513.05,502.69,514.47,497.90,532.10,315.66,436.76,447.26,469.02,458.99,354.72,358.60,446.24,442.85,437.16,432.15,247.28,451.93,453.62,444.06,391.69,487.18,484.79,491.40,499.18,516.20,516.51,476.46,418.37,454.21,461.74,462.32,473.81,470.40,477.46,471.06,372.14,372.92,506.03,472.06,436.80,445.09,506.49,499.83,461.44,466.89,459.87,454.83,478.12,466.03
2000-02-13 21:46:48.016000,L7,445.65,445.02,453.72,436.01,441.54,447.31,454.73,456.41,463.39,479.93,464.55,475.40,397.48,396.19,381.04,371.08,367.09,353.61,351.43,340.16,327.68,311.54,305.72,315.33,316.89,302.88,287.74,298.05,283.56,295.24,280.15,319.69,230.15,,,,,312.31,183.87,321.28,342.20,315.17,197.91,243.41,210.78,265.70,300.18,,,,,,,,,,209.24,313.56,,,,,,,,223.39,319.59,353.16,358.11,356.29,348.12,,,,,,,,,,249.94
2000-05-19 21:46:07.873000,L7,426.62,421.77,425.29,431.46,479.13,414.19,498.27,514.41,498.58,518.93,510.92,517.80,451.38,481.57,476.72,472.57,454.18,444.73,396.96,434.01,423.63,432.93,381.59,416.98,411.76,426.23,411.32,420.49,423.66,323.36,423.06,425.51,389.02,377.07,440.76,251.46,186.93,465.22,284.59,474.11,471.86,496.90,491.39,470.84,452.13,423.11,453.93,332.16,323.70,320.73,326.98,325.37,324.20,327.78,332.44,333.60,331.99,331.61,330.01,344.94,347.04,351.83,220.79,353.86,367.52,374.87,385.81,379.03,375.30,376.26,377.56,457.44,451.25,,315.49,328.86,331.33,333.67,324.88,327.58,365.79
2000-08-07 21:45:08.975000,L7,449.96,444.25,453.80,451.02,445.35,448.62,450.64,471.71,424.87,437.44,444.95,431.29,423.57,413.69,395.88,388.82,383.65,374.12,367.18,356.26,349.52,355.84,310.97,332.99,339.98,326.04,305.53,309.72,280.02,312.26,305.24,278.72,319.61,319.25,,,,285.39,234.82,348.41,359.80,352.91,342.47,294.86,342.24,332.12,302.11,175.87,312.68,305.50,291.06,309.71,299.05,324.67,322.80,320.84,319.27,322.02,331.09,338.80,343.33,351.71,215.83,280.20,362.29,372.64,374.72,363.56,367.70,366.64,371.56,288.77,330.40,,298.03,318.49,318.28,324.81,307.05,321.96,358.52
2000-11-27 21:44:26.720000,L7,422.43,454.56,283.92,325.27,345.56,321.09,386.88,454.77,410.97,408.91,445.19,410.89,,408.09,351.27,359.79,443.88,378.19,323.46,256.63,276.50,265.62,310.10,411.99,403.24,419.11,411.58,405.79,407.24,415.40,408.81,422.30,417.06,419.95,421.84,419.46,433.15,399.47,419.17,453.89,461.95,465.12,455.42,445.47,444.22,440.76,435.18,429.02,411.64,398.36,396.82,403.64,416.24,476.81,416.09,414.92,422.42,429.98,411.89,341.39,349.59,352.69,229.82,288.41,369.79,374.82,385.56,377.09,374.67,376.51,376.83,447.35,449.24,430.37,424.35,419.87,416.63,385.22,381.70,459.75,363.02
2000-12-13 21:44:28.287000,L7,432.40,421.97,416.73,420.02,421.91,430.66,438.14,449.52,454.34,453.78,469.56,458.00,443.55,432.20,436.78,418.26,398.70,402.86,396.96,376.97,381.60,344.45,332.89,371.53,330.02,330.92,319.61,324.20,313.52,325.02,329.39,333.88,260.10,178.14,288.75,,299.76,,,348.55,298.78,354.57,347.27,327.34,342.93,329.90,323.50,329.99,320.32,321.14,316.58,321.05,316.66,326.11,327.06,247.51,296.69,324.00,325.60,323.49,338.03,295.81,218.48,266.22,363.44,368.14,372.50,370.61,364.74,370.26,366.62,290.18,337.40,,291.18,319.78,310.87,323.35,322.90,324.53,347.93
2001-01-14 21:44:33.150000,L7,,,,,,,,,,,203.53,247.04,240.77,241.45,228.66,214.48,209.46,200.95,215.06,176.94,159.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-04 21:44:06.948000,L7,497.86,409.61,415.92,418.08,426.42,430.47,439.44,447.15,454.66,466.40,471.08,462.06,447.84,435.52,393.87,417.12,411.41,409.41,400.07,522.13,507.62,499.46,376.06,435.63,371.39,432.73,476.75,492.42,495.84,509.89,309.56,289.60,252.13,180.86,411.72,488.81,429.27,337.08,204.08,351.87,361.83,355.13,342.85,330.25,339.39,322.39,315.32,327.68,326.08,318.35,317.96,165.74,527.91,534.64,524.29,524.82,323.89,327.76,323.34,339.71,339.31,350.63,212.12,276.25,361.97,367.34,381.35,368.82,366.96,367.38,367.43,279.93,342.99,465.06,309.86,321.76,329.65,331.94,320.70,528.40,362.85
