dates,satname,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059
2000-05-26 21:51:48.668000,L7,359.27,352.97,339.41,308.38,323.36,317.89,328.38,341.98,341.46,374.69,340.20,344.25,366.81,360.48,365.40,355.22,394.91,365.90,359.93,353.24,370.30,350.86,344.75,343.59,355.84,392.94,350.89,365.01,361.94,368.68,371.26,365.96,364.31,374.89,352.09,355.81,352.30,348.45,338.52,346.45,334.42,315.83,266.51,291.33,288.97,295.25,336.36,329.55,332.44,331.48,340.24,340.68,334.42,315.20,302.25,306.70,310.77,339.18,324.92,
2000-08-07 21:44:45.034000,L7,378.59,328.09,175.68,188.29,284.10,287.88,291.57,292.15,307.40,318.69,332.93,349.84,354.21,366.07,355.05,363.83,361.12,377.91,352.45,351.22,354.35,345.80,347.61,347.18,351.68,347.80,348.51,353.58,352.99,394.29,422.17,377.50,361.62,353.13,377.25,396.25,347.67,342.30,349.34,369.59,352.03,276.84,218.63,289.17,269.97,234.32,331.46,323.59,327.50,298.17,307.01,337.28,327.84,302.78,284.16,291.68,283.31,323.58,320.61,
2000-08-14 21:50:56.232000,L7,353.07,343.56,324.85,304.97,315.98,314.85,318.56,328.67,330.80,336.93,340.67,354.63,352.49,358.25,350.49,355.65,354.06,348.48,350.00,348.89,353.23,352.31,346.43,346.76,352.84,349.76,353.77,351.55,354.64,357.42,364.70,361.18,356.77,357.19,352.91,350.20,348.21,345.25,342.79,344.40,333.33,307.76,222.44,295.19,284.96,246.11,337.22,329.84,328.42,311.07,312.09,346.28,337.35,311.31,272.95,274.39,276.97,325.84,326.65,314.08
2000-09-15 21:50:25.712000,L7,410.33,395.47,399.11,399.86,387.57,393.85,399.45,392.13,399.35,411.15,412.60,426.54,441.22,426.92,434.73,432.05,427.73,413.51,404.65,408.26,404.96,409.12,406.14,407.21,412.38,409.57,425.88,413.57,414.76,418.05,416.34,410.79,414.27,422.10,415.75,407.60,405.78,406.13,404.22,390.19,379.32,370.55,367.03,364.40,366.19,378.39,390.30,381.57,373.05,369.30,372.70,380.40,374.61,360.26,362.54,365.32,356.92,382.81,394.60,427.19
2000-12-04 21:50:10.162000,L7,383.60,384.19,372.74,375.14,378.12,383.77,390.27,391.80,384.32,394.85,400.01,406.42,428.56,413.90,418.30,422.02,421.37,412.11,405.01,413.87,412.33,409.33,409.40,410.76,414.76,417.51,415.66,414.25,417.85,430.70,431.71,447.34,448.25,441.67,428.74,427.90,408.53,386.90,390.63,403.22,382.11,373.13,380.10,404.14,410.22,421.58,415.33,382.88,383.22,380.71,387.39,387.14,372.40,368.21,367.51,366.33,379.81,396.78,399.24,420.46
2000-12-20 21:50:16.996000,L7,329.03,325.21,289.48,286.05,294.53,294.79,295.31,301.98,305.42,309.53,316.75,322.18,327.23,339.26,328.66,326.72,326.89,326.07,324.85,324.84,327.49,326.78,326.13,330.41,334.25,335.26,333.68,335.92,340.82,340.56,344.80,342.61,335.20,334.92,327.50,327.36,324.52,316.36,322.54,317.41,308.94,278.17,231.68,283.67,274.78,288.75,332.93,319.05,319.08,311.34,300.55,337.28,324.75,317.15,305.59,295.08,294.12,337.13,352.12,353.71
2001-01-05 21:50:16.585000,L7,399.69,396.65,390.25,394.30,408.25,416.36,405.90,396.10,393.05,403.57,393.01,423.78,434.49,441.61,427.36,417.18,411.59,422.60,426.71,417.54,400.52,392.98,409.50,408.20,412.41,411.94,430.89,430.62,418.18,420.13,422.78,444.59,435.53,441.77,484.85,465.38,420.05,435.07,430.67,446.10,412.31,411.13,443.60,411.25,428.22,440.02,423.12,413.88,403.71,413.04,420.14,408.71,385.75,379.08,372.45,383.37,408.28,404.32,404.21,422.48
2001-03-03 21:44:00.567000,L7,311.78,318.90,285.09,285.62,292.26,302.46,302.91,311.16,311.02,317.11,316.75,318.55,318.22,325.55,321.60,322.43,318.53,317.18,318.90,315.46,315.93,321.01,316.85,321.53,323.55,327.11,324.21,326.47,329.34,331.39,336.11,331.02,328.35,323.33,324.50,319.70,316.79,311.75,301.15,298.55,284.20,225.27,,259.89,239.93,238.09,286.80,270.64,294.25,296.12,293.27,315.57,307.58,291.04,268.65,235.60,258.80,297.07,323.23,280.86
2001-03-10 21:50:10.732000,L7,391.68,385.73,396.11,394.41,387.83,383.10,379.85,391.27,394.75,401.40,411.43,407.38,417.15,421.19,406.69,414.94,406.79,401.25,405.56,402.51,373.26,398.32,397.51,406.21,405.78,405.56,405.75,399.41,405.43,409.71,418.77,409.14,407.52,403.30,402.16,415.10,401.15,461.09,,491.67,486.80,361.90,364.77,367.15,370.28,376.95,383.82,373.33,367.28,375.22,381.41,386.41,376.30,368.16,364.44,361.78,375.81,393.11,392.78,399.02
2001-04-04 21:43:43.008000,L7,337.41,340.53,299.59,297.54,305.24,305.14,303.79,310.04,313.54,319.98,327.13,332.52,338.00,345.87,339.97,338.38,336.17,333.32,333.32,333.90,334.58,334.61,337.76,338.84,343.74,343.08,344.74,346.22,345.05,348.43,351.96,346.20,344.78,341.63,341.50,337.31,335.64,332.53,328.89,325.27,316.15,292.48,236.42,291.87,285.06,299.68,331.78,322.08,323.28,320.74,324.40,345.48,333.79,310.85,298.19,304.85,297.92,339.70,345.00,299.55
