dates,satname,nzd0233-0000,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0023,nzd0233-0024
1999-09-22 21:46:36.849000,L7,394.03,380.13,383.71,381.43,386.89,380.19,371.20,362.89,364.28,356.34,359.30,349.65,350.22,349.75,348.38,347.49,339.35,329.47,328.50,330.15,322.77,329.40,321.84,327.39,392.60
1999-09-29 21:52:52.243000,L7,400.15,410.27,430.64,412.39,394.45,371.57,371.68,371.49,382.14,376.38,366.51,379.33,385.46,376.16,360.14,359.28,420.76,424.21,393.82,384.55,374.00,343.94,342.43,335.17,330.45
1999-10-24 21:46:32.266000,L7,417.95,405.17,427.71,403.58,397.49,378.64,388.47,394.44,390.59,387.24,373.01,382.21,387.98,387.49,368.38,382.61,372.01,366.80,370.27,365.44,346.38,351.04,343.34,338.68,351.04
2000-02-20 21:52:29.720000,L7,,,,,248.46,231.33,213.88,245.78,253.62,267.04,254.02,237.17,268.03,267.29,263.46,259.74,250.93,242.74,234.03,235.36,224.85,205.91,230.20,221.25,276.96
2000-03-16 21:46:15.139000,L7,,,,,255.25,224.95,222.33,252.68,256.80,270.06,264.08,265.91,261.36,,251.35,251.02,253.11,243.88,238.44,237.56,,,,,
2000-05-03 21:45:55.224000,L7,277.33,218.11,215.74,,242.75,250.12,202.46,269.41,254.62,,209.70,279.67,271.10,264.50,262.80,,247.26,240.27,231.79,,,,,,
2000-05-26 21:51:48.668000,L7,391.64,392.45,397.21,386.89,391.50,382.69,384.26,396.51,379.59,377.83,370.40,366.13,364.12,356.60,360.62,356.15,349.60,334.67,321.52,327.58,334.51,328.91,320.21,266.52,222.00
2000-08-07 21:44:45.034000,L7,387.57,386.78,403.13,390.86,380.17,380.31,384.89,373.05,371.96,388.86,375.90,364.14,361.09,348.57,344.39,341.81,361.35,328.54,319.79,316.50,322.94,326.17,322.53,292.09,282.50
2000-08-14 21:50:56.232000,L7,392.63,390.14,400.03,387.89,384.33,376.53,380.82,365.78,362.64,361.09,357.52,355.76,356.05,352.81,350.81,345.55,336.71,331.09,322.57,341.09,330.83,328.63,324.78,318.53,331.18
2000-09-15 21:50:25.712000,L7,,,,,,198.60,206.13,274.54,270.02,290.92,280.69,281.20,277.58,279.34,284.79,278.36,262.50,260.04,240.84,255.08,240.33,237.53,237.86,219.26,
2000-12-04 21:50:10.162000,L7,,,,,,,284.68,281.15,260.95,230.86,209.30,286.30,272.62,267.99,260.15,256.09,245.39,234.42,225.62,214.18,223.16,246.92,240.74,243.16,279.70
2001-01-05 21:50:16.585000,L7,,,,,,,,223.15,269.41,263.75,254.09,236.95,271.23,262.93,263.17,206.85,,,,,,,,249.47,290.75
2001-03-03 21:44:00.567000,L7,241.66,252.24,283.89,,245.83,255.76,274.13,278.88,276.62,228.85,268.08,276.68,271.64,266.17,261.69,262.37,254.49,245.48,240.10,224.51,227.95,248.54,236.20,230.36,287.33
2001-03-10 21:50:10.732000,L7,,,,,255.12,217.98,202.41,260.00,244.98,,265.51,272.29,270.21,268.08,266.27,267.97,266.45,255.09,254.47,238.40,,,,,
2001-04-04 21:43:43.008000,L7,,,,,265.26,265.36,287.15,280.65,269.83,279.57,259.55,276.87,265.03,272.84,267.09,259.85,260.22,247.26,245.41,254.42,243.33,251.07,,,
2001-07-25 21:42:54.824000,L7,385.19,377.64,370.91,368.68,362.22,379.72,374.21,379.82,389.94,356.76,351.21,347.85,348.75,355.76,353.17,343.23,345.49,320.21,314.50,319.85,324.85,321.31,321.10,286.10,276.94
2001-08-26 21:42:25.671000,L7,292.81,289.63,288.04,290.40,267.94,279.17,285.53,282.24,267.43,282.57,263.89,276.18,261.89,263.90,273.54,252.29,,,,,,,,,
2001-09-18 21:48:17.356000,L7,,,,,,187.20,198.42,280.44,259.58,278.99,253.88,225.77,200.87,260.28,253.30,192.04,,,,,,,,,263.26
2001-09-27 21:42:05.338000,L7,285.83,255.29,293.38,295.04,297.51,278.49,280.98,293.98,296.43,280.04,255.18,284.72,266.02,266.61,262.97,249.06,239.01,198.79,219.93,218.96,239.79,257.45,256.60,249.74,297.16
2001-10-13 21:41:51.963000,L7,,,,,,,,,,,,,,,,,,,,,,,,,272.16
2002-02-02 21:42:30.783000,L7,,,,,253.60,241.09,212.02,260.03,260.66,256.11,,235.55,200.40,248.56,248.50,,,,,,,,,225.71,276.10
2002-02-09 21:48:45.674000,L7,,,,,,,,,,,,234.28,211.27,210.23,242.47,,,,,,,,,221.55,273.71
2002-02-18 21:42:30.251000,L7,,,,,,,,,,,,,,,,,,,,214.12,219.12,218.47,226.30,215.07,281.62
2002-02-25 21:48:47.943000,L7,,,,,183.33,198.72,211.28,249.64,253.51,240.60,,,,,,,,,,,,,,,
2002-03-22 21:42:28.269000,L7,273.53,283.24,230.62,253.11,264.84,270.13,285.69,270.54,270.32,276.12,271.31,268.90,260.71,255.72,257.33,192.95,227.24,201.65,205.76,244.07,233.01,217.90,204.35,,
2002-04-14 21:48:38.601000,L7,249.76,223.09,213.81,,,,205.63,274.04,269.53,,,,,,,,,,,,,,,,
2002-05-16 21:48:34.178000,L7,396.88,388.59,383.89,388.28,383.91,381.27,382.59,400.86,396.10,378.97,388.43,389.25,381.89,356.88,369.98,361.42,350.66,348.18,342.61,349.63,335.60,352.06,346.15,362.64,372.95
2002-06-01 21:48:28.245000,L7,381.11,379.59,386.99,376.74,369.17,376.60,362.46,365.36,365.12,365.09,364.76,360.54,370.14,350.98,347.03,351.36,347.46,333.41,333.11,340.06,338.42,343.66,331.05,283.87,334.00
2002-08-20 21:47:58.545000,L7,,,,,187.84,271.33,198.18,273.20,270.55,290.02,273.69,278.91,272.04,263.71,271.87,265.20,231.77,238.42,,,,,,,
2002-08-29 21:41:39.340000,L7,387.03,382.35,384.23,381.94,382.01,369.12,366.13,365.21,380.49,386.41,368.83,365.82,376.55,387.55,371.77,356.71,363.48,340.31,344.80,339.27,344.90,349.21,356.29,348.37,336.73
