dates,satname,nzd0559-0000,nzd0559-0001,nzd0559-0002,nzd0559-0017,nzd0559-0018,nzd0559-0019,nzd0559-0020,nzd0559-0021,nzd0559-0022,nzd0559-0023,nzd0559-0024,nzd0559-0025,nzd0559-0026,nzd0559-0029,nzd0559-0030,nzd0559-0031,nzd0559-0032,nzd0559-0033,nzd0559-0034,nzd0559-0035,nzd0559-0036,nzd0559-0037,nzd0559-0038,nzd0559-0039,nzd0559-0040,nzd0559-0041,nzd0559-0042,nzd0559-0043,nzd0559-0044,nzd0559-0045,nzd0559-0046,nzd0559-0047,nzd0559-0048,nzd0559-0049,nzd0559-0050,nzd0559-0051,nzd0559-0052,nzd0559-0053,nzd0559-0054,nzd0559-0055,nzd0559-0056,nzd0559-0057,nzd0559-0058,nzd0559-0059,nzd0559-0060,nzd0559-0061,nzd0559-0073,nzd0559-0074,nzd0559-0075,nzd0559-0076,nzd0559-0077,nzd0559-0079,nzd0559-0080,nzd0559-0081,nzd0559-0082,nzd0559-0083,nzd0559-0084,nzd0559-0085,nzd0559-0086,nzd0559-0087,nzd0559-0088,nzd0559-0089,nzd0559-0090,nzd0559-0091,nzd0559-0092,nzd0559-0093,nzd0559-0094,nzd0559-0095,nzd0559-0096,nzd0559-0097,nzd0559-0098,nzd0559-0099,nzd0559-0100,nzd0559-0101,nzd0559-0102,nzd0559-0103,nzd0559-0104,nzd0559-0105,nzd0559-0106,nzd0559-0003,nzd0559-0004,nzd0559-0005,nzd0559-0006,nzd0559-0007,nzd0559-0008,nzd0559-0009,nzd0559-0010,nzd0559-0011,nzd0559-0012,nzd0559-0013,nzd0559-0014,nzd0559-0015,nzd0559-0016,nzd0559-0027,nzd0559-0028,nzd0559-0062,nzd0559-0063,nzd0559-0064,nzd0559-0065,nzd0559-0066,nzd0559-0067,nzd0559-0068,nzd0559-0069,nzd0559-0070,nzd0559-0071,nzd0559-0072,nzd0559-0078
1999-10-04 22:14:13.777000,L7,403.86,343.39,317.08,233.74,254.40,268.99,263.39,245.46,219.13,216.68,222.14,229.80,219.66,205.53,226.27,231.31,216.02,205.27,216.35,243.35,282.88,242.80,247.05,254.75,267.14,262.43,285.60,302.31,305.36,333.31,332.57,332.78,300.72,319.74,333.40,314.49,348.38,322.29,306.05,299.37,324.53,316.75,329.63,316.00,280.26,193.23,331.54,328.49,288.07,232.56,200.69,440.71,441.91,457.95,457.28,381.45,365.70,421.68,416.82,301.49,408.80,417.21,354.75,371.43,374.23,380.33,401.77,414.34,420.70,421.07,394.76,388.01,437.62,260.62,141.71,422.32,435.91,450.26,468.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-05 22:13:40.966000,L7,431.20,421.01,388.45,315.01,326.92,335.43,347.88,347.16,342.11,322.84,304.17,307.69,298.77,271.74,256.63,260.05,297.95,301.29,293.00,304.25,326.66,340.96,341.81,332.03,322.25,329.13,346.91,369.50,379.04,389.49,268.20,258.53,240.78,166.18,269.52,245.88,219.94,246.83,249.72,217.16,364.48,378.67,359.18,266.14,303.43,327.65,456.41,461.61,444.55,463.22,219.64,473.91,474.55,477.54,470.74,459.75,453.05,446.54,439.11,434.79,428.43,434.25,442.89,457.79,415.29,381.31,447.60,414.80,469.19,494.03,489.12,502.51,481.79,480.70,365.58,260.36,469.36,472.84,488.80,223.74,234.18,223.90,269.63,265.26,286.48,259.27,268.38,275.53,293.80,301.69,305.48,310.70,303.91,285.66,268.73,413.85,425.18,407.84,390.62,416.54,414.56,272.24,297.74,453.42,488.67,355.01,381.10
1999-12-07 22:13:41.663000,L7,430.99,421.56,386.44,311.62,328.30,339.53,347.89,347.08,335.53,318.64,303.12,306.51,293.66,279.22,308.31,318.88,327.79,301.26,298.14,310.68,327.94,344.83,324.99,330.69,313.59,323.56,334.27,361.77,314.39,372.40,355.31,356.09,334.12,333.52,401.73,334.06,380.84,365.01,369.60,363.52,355.81,369.74,365.41,339.43,299.76,227.01,366.14,367.37,431.77,456.14,461.54,468.47,471.09,466.36,460.70,449.58,375.80,445.06,435.50,432.98,421.46,351.88,438.24,,367.84,378.46,436.60,454.75,460.86,481.77,456.69,503.68,472.92,279.22,424.22,273.30,459.37,464.92,477.75,233.01,240.55,228.42,264.55,258.68,274.42,252.72,268.98,280.44,294.92,302.13,335.48,315.47,307.11,275.99,279.03,171.98,425.46,397.34,387.14,264.18,411.22,419.21,436.57,481.65,356.62,467.82,459.25
1999-12-07 22:14:05.637000,L7,303.97,280.96,291.80,301.50,316.42,332.54,334.18,337.36,324.96,313.92,295.96,299.04,284.77,273.03,298.09,316.37,318.57,290.72,290.65,300.11,317.76,333.05,300.94,321.66,308.40,314.64,329.89,349.66,340.35,169.58,159.30,155.79,285.72,325.21,270.38,241.79,237.56,259.47,266.03,192.39,349.99,357.69,355.49,327.88,404.83,397.21,444.77,447.45,430.31,289.54,456.72,461.62,329.12,461.28,452.93,324.67,370.20,434.93,427.68,424.14,416.57,426.17,431.04,,366.81,424.64,425.86,445.71,454.12,476.76,469.65,491.75,466.59,465.83,484.01,458.91,454.38,454.24,473.97,294.56,233.84,222.19,253.28,246.67,269.10,243.18,259.33,273.29,290.55,290.15,326.18,305.19,295.60,267.83,275.08,388.31,410.89,382.31,380.68,416.01,404.35,409.98,430.12,465.40,344.22,352.64,357.88
2000-09-04 22:11:34.434000,L7,195.80,218.75,214.01,315.20,327.16,333.99,342.41,337.98,346.11,325.78,301.10,303.53,302.89,279.66,312.52,322.89,318.93,301.83,322.56,302.16,332.84,335.03,338.12,334.38,315.61,327.36,330.68,364.65,373.26,387.31,365.85,370.79,352.19,348.73,411.85,393.64,388.63,357.42,336.54,340.27,336.55,371.60,347.44,332.90,295.00,234.30,420.37,449.36,438.52,441.07,458.34,456.94,462.08,467.97,463.44,453.90,430.43,366.24,431.04,274.45,425.21,432.34,444.83,455.14,387.16,441.63,441.73,468.58,474.77,481.76,481.10,473.27,474.28,468.25,379.34,449.27,462.80,467.10,486.62,220.43,220.79,229.76,267.22,254.52,278.65,252.39,278.85,274.23,296.55,299.63,332.60,315.70,300.43,294.94,276.95,168.33,384.05,360.64,381.42,404.05,365.26,405.46,421.96,433.71,145.66,437.06,447.94
2000-09-20 22:11:14.930000,L7,417.22,402.84,372.82,,253.09,183.03,265.11,288.36,303.16,228.12,290.89,309.81,311.31,284.67,313.76,333.41,325.14,307.72,309.45,302.36,334.71,336.04,337.24,333.34,316.54,337.40,339.29,370.55,381.78,390.17,374.31,369.89,360.35,415.86,413.80,392.20,200.92,188.03,257.50,211.53,372.48,370.55,345.20,332.61,296.62,228.48,430.33,466.19,443.13,451.26,461.43,467.89,470.17,470.59,471.17,454.21,452.40,387.72,433.99,433.65,426.92,436.56,445.16,448.77,452.02,449.58,453.38,420.79,460.62,301.01,286.11,326.49,476.62,474.66,472.34,463.17,463.26,472.99,487.16,215.61,225.66,236.40,283.76,282.41,290.18,,,,,,,,,308.19,303.20,169.95,401.30,241.57,386.01,409.64,258.57,422.15,426.81,441.66,460.44,457.23,456.58
2000-09-20 22:11:38.892000,L7,419.56,403.47,374.02,,212.31,263.67,266.13,294.52,300.88,231.36,291.44,311.69,312.51,286.34,312.00,332.82,328.12,309.21,312.21,304.31,339.71,339.91,337.36,334.87,319.84,341.29,337.16,372.45,382.91,391.45,372.48,371.53,360.94,415.21,415.48,393.35,391.20,376.77,371.19,378.21,376.47,371.57,349.27,332.69,297.89,230.11,432.12,466.81,401.17,345.74,255.71,327.13,409.77,418.85,415.39,316.44,342.08,327.22,220.84,435.88,429.08,438.49,446.54,452.24,454.99,450.84,454.91,469.16,459.80,482.08,495.01,485.56,479.26,475.01,474.64,464.77,466.83,477.53,488.87,216.04,234.23,233.24,282.77,286.56,292.95,,,,,,,,,318.15,301.60,171.37,395.87,242.91,245.74,413.95,409.11,425.38,429.07,444.80,474.70,462.26,234.07
2001-02-11 22:11:12.788000,L7,430.27,416.24,376.31,,,330.33,341.79,336.84,320.65,310.87,282.22,286.62,282.64,259.20,241.94,254.76,284.82,298.33,270.37,285.62,302.16,326.65,318.80,304.30,305.03,254.46,162.58,160.27,151.77,154.13,166.87,173.59,207.50,282.27,203.26,335.16,374.63,359.78,344.90,363.96,340.14,359.94,340.52,331.10,283.32,207.68,335.99,450.66,358.50,163.95,462.39,472.61,382.81,473.73,461.99,337.44,378.61,445.50,437.91,429.65,423.91,429.28,429.84,443.62,,387.32,450.66,313.86,334.95,481.05,469.79,491.60,471.87,472.05,487.54,475.64,466.55,471.63,484.36,223.83,223.20,217.99,224.04,238.31,274.92,254.03,268.03,274.44,289.53,301.50,306.74,199.36,200.89,265.43,241.57,152.71,410.92,377.80,381.07,396.11,403.74,410.95,427.76,440.23,457.44,277.50,457.99
2001-02-11 22:11:36.766000,L7,436.30,424.95,377.74,240.58,330.90,341.42,351.93,347.18,360.84,353.07,333.93,372.16,312.52,331.45,284.09,345.02,309.13,307.38,297.01,302.54,333.01,334.15,324.22,329.93,319.13,333.63,375.03,377.61,371.71,386.54,378.99,363.81,350.47,373.68,412.93,384.75,386.46,369.53,377.12,381.62,423.53,391.64,352.37,337.03,426.09,211.28,446.19,460.99,440.22,462.90,469.86,478.43,476.06,487.52,504.71,494.45,490.65,451.33,447.78,438.47,432.27,439.72,476.11,448.21,451.99,453.14,463.76,457.00,470.19,491.82,494.64,515.95,490.99,500.42,510.91,493.83,474.55,488.38,494.66,310.05,294.24,231.84,272.87,264.69,284.98,261.37,282.68,283.90,310.85,309.72,338.14,318.78,242.77,311.12,320.51,264.59,254.69,242.24,249.03,259.11,261.46,259.76,273.70,293.86,248.78,478.13,465.61
2001-02-27 22:11:06.137000,L7,454.70,431.08,394.58,338.30,351.80,362.52,457.41,457.87,388.65,446.53,407.74,442.46,446.46,362.66,432.38,448.34,391.15,408.13,350.37,396.63,351.06,352.14,356.91,359.11,398.18,462.87,472.74,470.76,426.00,412.62,472.27,461.73,434.92,426.30,459.75,409.82,414.53,400.50,387.19,405.00,439.81,399.73,363.93,356.30,457.67,495.42,486.27,477.49,466.71,471.48,480.95,481.97,482.29,481.99,478.12,462.89,458.87,455.29,447.12,443.62,449.76,442.86,442.37,442.99,446.51,438.81,444.80,482.00,491.72,,,,,,,,,,487.65,315.21,300.35,299.39,375.73,325.48,336.15,329.95,330.25,320.09,437.89,429.12,419.27,372.66,344.87,393.03,321.16,508.36,506.79,509.39,247.58,260.51,264.09,261.10,273.03,296.37,275.43,486.69,477.93
2001-04-16 22:10:54.636000,L7,421.11,401.59,362.22,261.38,292.52,324.61,294.39,293.32,323.33,245.66,260.85,291.59,285.80,264.07,243.71,257.63,301.96,303.93,296.84,298.03,343.54,342.64,348.84,340.28,325.13,333.93,377.10,376.37,383.00,393.67,395.78,376.59,363.25,369.45,421.05,397.66,392.98,244.74,271.38,218.04,346.63,344.48,334.90,324.08,276.16,195.19,246.09,286.15,243.68,233.20,175.81,460.00,318.90,472.85,469.04,459.82,462.03,444.64,430.78,438.26,431.87,439.72,444.01,445.97,448.08,448.98,453.69,470.08,460.71,475.02,485.62,480.96,477.17,475.39,477.61,459.56,453.86,465.30,478.05,219.05,227.07,230.09,264.68,256.72,271.58,239.11,222.08,227.83,276.65,285.71,258.96,257.01,258.70,267.36,277.19,299.67,385.69,391.01,382.90,414.60,406.64,420.49,319.61,444.67,454.32,451.39,455.90
