dates,satname,nzd0045-0000,nzd0045-0001,nzd0045-0002,nzd0045-0003,nzd0045-0004,nzd0045-0005,nzd0045-0006,nzd0045-0007,nzd0045-0008,nzd0045-0009,nzd0045-0010,nzd0045-0011,nzd0045-0012
1999-08-17 22:10:26.276000,L7,347.79,404.24,400.09,398.93,343.76,341.88,337.68,339.23,338.14,325.20,250.24,291.07,265.09
1999-09-27 22:04:25.056000,L7,440.84,425.50,452.76,450.59,477.51,470.71,435.84,421.97,441.42,442.35,385.99,430.26,498.83
1999-10-04 22:10:38.131000,L7,427.70,434.41,427.04,404.73,409.67,413.77,414.10,344.99,346.86,332.80,330.53,323.92,306.95
1999-11-14 22:04:18.343000,L7,314.13,316.62,313.64,315.25,312.21,311.27,235.85,303.76,325.38,314.39,314.55,313.90,303.90
1999-12-07 22:10:30.042000,L7,346.77,342.55,331.57,328.26,323.38,333.20,313.80,,,,,186.15,215.02
2000-01-01 22:04:13.486000,L7,,567.85,531.92,404.05,412.60,530.67,279.36,282.20,324.39,320.80,338.04,337.68,331.30
2000-01-17 22:04:11.868000,L7,315.85,306.02,229.40,304.82,182.89,266.76,254.87,265.27,,,,,
2000-02-09 22:10:19.398000,L7,338.30,346.69,331.48,328.44,320.83,309.84,237.44,310.54,308.53,300.87,315.39,,
2000-04-29 22:09:53.797000,L7,428.51,430.96,425.09,416.15,382.96,398.35,400.79,343.46,345.36,329.70,349.80,327.73,308.53
2000-05-15 22:09:42.527000,L7,,344.49,306.47,314.48,296.39,306.52,276.84,245.00,303.28,303.44,218.24,195.04,218.40
2000-05-24 22:03:22.722000,L7,,,290.64,286.45,278.14,253.80,239.43,264.61,309.70,279.22,,,
2000-06-16 22:09:26.713000,L7,,352.93,332.07,334.47,343.44,339.31,323.60,338.12,344.37,330.06,301.11,251.51,285.75
2000-08-03 22:08:44.137000,L7,,350.96,334.71,336.58,338.61,345.53,337.42,326.26,326.55,318.75,,,
2000-08-12 22:02:30.151000,L7,,315.67,303.58,304.09,309.98,305.87,295.17,280.61,303.22,321.46,228.04,207.01,245.16
2000-09-04 22:08:22.800000,L7,,346.11,327.14,325.96,328.17,319.37,285.25,257.33,334.17,312.16,221.80,197.44,214.48
2000-10-15 22:01:32.252000,L7,316.35,303.07,298.70,302.91,326.74,306.23,310.93,309.74,322.46,313.79,220.98,,
2000-10-22 22:07:50.487000,L7,416.33,354.66,340.61,353.36,322.50,308.25,297.43,293.57,450.88,331.99,317.38,317.77,327.26
2001-03-08 22:01:45.126000,L7,,309.64,305.11,308.48,311.05,310.38,295.17,316.96,317.70,319.20,,,212.92
2001-03-24 22:01:35.778000,L7,322.23,317.80,314.37,314.57,311.12,314.29,255.54,325.21,322.92,278.60,313.43,312.47,306.62
2001-06-03 22:07:16.736000,L7,370.22,424.28,415.47,401.81,398.95,353.42,344.72,351.84,351.95,337.28,287.09,327.44,325.44
2001-06-19 22:07:05.722000,L7,310.45,178.61,378.54,385.99,376.02,375.60,381.42,401.09,393.73,377.44,370.78,295.19,350.52
2001-06-28 22:00:45.094000,L7,317.25,323.06,310.24,315.91,327.03,320.46,330.66,332.31,342.78,322.43,298.91,293.10,341.71
2001-08-15 22:00:14.727000,L7,325.59,316.47,305.85,313.97,317.81,323.95,323.86,331.26,335.75,325.40,253.34,255.87,280.21
2001-09-07 22:06:11.116000,L7,239.73,346.90,340.14,330.02,343.73,333.84,338.58,332.68,303.85,304.62,,,
2001-09-23 22:06:03.238000,L7,376.78,356.56,375.05,407.67,430.03,405.85,362.54,361.01,347.03,337.13,324.34,212.63,
2001-10-02 21:59:40.713000,L7,,312.39,308.68,312.75,313.35,314.11,248.43,318.49,321.17,317.97,,,
2001-10-18 21:59:42.412000,L7,318.57,319.95,317.34,326.90,333.27,533.90,,,385.20,371.05,292.80,288.36,212.33
2001-11-19 21:59:56.393000,L7,,,,,,,274.91,312.14,314.07,314.88,,,
2001-12-05 21:59:55.034000,L7,336.11,318.61,312.93,315.69,314.26,310.39,240.35,278.15,254.26,279.20,270.94,267.54,300.49
2001-12-21 22:00:05.972000,L7,,319.98,313.97,314.98,312.55,307.63,255.76,317.04,310.79,316.31,293.91,286.31,330.85
2002-01-22 22:00:16.971000,L7,364.84,332.76,326.77,327.55,330.20,323.39,330.17,338.17,348.16,332.68,305.03,294.98,341.80
2002-02-14 22:06:29.522000,L7,422.21,388.57,342.55,372.27,362.19,355.47,387.76,382.85,342.34,323.46,304.02,309.36,
2002-02-23 22:00:19.685000,L7,470.47,309.49,290.60,306.25,300.08,306.54,231.96,249.02,,,,,213.99
2002-03-18 22:06:22.131000,L7,,348.80,332.09,333.69,319.68,319.30,234.33,338.58,306.98,305.63,256.03,204.18,193.75
2002-03-27 22:00:13.634000,L7,,318.13,312.76,311.09,296.12,311.12,244.44,303.14,307.97,319.02,294.61,291.10,221.78
2002-04-28 22:00:14.417000,L7,,287.73,252.28,202.43,325.37,309.46,293.66,301.77,276.49,319.82,287.27,,
2002-06-15 21:59:55.710000,L7,,317.05,295.04,275.25,278.38,261.82,296.39,307.71,314.15,322.35,,,
2002-06-22 22:06:03.573000,L7,420.35,359.54,347.57,350.92,350.48,347.42,349.91,351.80,345.39,325.11,309.78,301.87,323.10
2002-07-01 21:59:51.232000,L7,,313.76,285.56,292.99,277.96,236.81,242.54,283.23,303.47,314.96,,,
2002-07-17 21:59:44.793000,L7,,321.99,307.45,309.49,317.61,324.91,309.38,333.21,329.41,326.86,316.79,307.63,335.44
2002-09-19 21:59:11.129000,L7,337.96,323.75,316.40,321.38,334.77,359.41,314.29,323.78,316.62,325.76,223.32,198.78,212.19
2002-10-12 22:05:14.598000,L7,321.61,350.17,332.47,330.08,315.74,312.81,228.53,327.70,263.91,311.07,,,
2002-10-28 22:05:22.323000,L7,451.81,447.40,453.49,443.19,428.54,433.69,452.93,417.18,431.46,428.06,419.02,430.72,492.57
2002-11-13 22:05:30.425000,L7,412.99,401.33,347.34,348.77,354.97,350.62,350.21,348.75,339.63,320.10,299.57,279.74,295.93
2002-11-22 21:59:33.639000,L7,318.27,317.63,315.87,318.64,315.74,308.19,245.16,324.68,318.38,326.67,320.70,310.05,342.41
2002-12-31 22:05:56.221000,L7,434.41,444.20,422.79,343.48,368.33,370.17,350.50,345.62,350.80,328.14,489.70,486.58,489.67
2003-01-09 21:59:45.950000,L7,,,302.42,306.38,303.42,289.20,226.11,,,300.01,283.34,290.34,198.23
2003-03-30 22:00:07.079000,L7,,,,,,,224.03,311.62,309.72,306.58,,,
2003-04-06 22:06:21.012000,L7,,345.54,322.14,323.89,322.27,310.61,230.52,321.30,314.50,302.66,,,
2003-04-22 22:06:19.091000,L7,,351.86,328.49,320.15,325.84,322.87,287.96,317.55,323.57,314.84,264.21,247.56,219.45
