dates,satname,nzd0422-0000,nzd0422-0001,nzd0422-0002,nzd0422-0003,nzd0422-0004,nzd0422-0005,nzd0422-0006,nzd0422-0007,nzd0422-0008,nzd0422-0009,nzd0422-0010,nzd0422-0011,nzd0422-0012,nzd0422-0013,nzd0422-0014,nzd0422-0015,nzd0422-0016,nzd0422-0017,nzd0422-0018,nzd0422-0019,nzd0422-0020,nzd0422-0021,nzd0422-0022,nzd0422-0023,nzd0422-0024,nzd0422-0025,nzd0422-0026,nzd0422-0027,nzd0422-0028,nzd0422-0029,nzd0422-0030,nzd0422-0031,nzd0422-0032,nzd0422-0033,nzd0422-0034,nzd0422-0035,nzd0422-0036,nzd0422-0037,nzd0422-0038,nzd0422-0039,nzd0422-0040,nzd0422-0041,nzd0422-0042,nzd0422-0043,nzd0422-0044,nzd0422-0045,nzd0422-0046,nzd0422-0047,nzd0422-0048,nzd0422-0049,nzd0422-0050,nzd0422-0051,nzd0422-0052,nzd0422-0053,nzd0422-0054,nzd0422-0055,nzd0422-0056,nzd0422-0057,nzd0422-0058,nzd0422-0059,nzd0422-0060,nzd0422-0061,nzd0422-0062
1999-11-21 22:12:47.994000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.54,217.45,213.78,178.57,,,,,,,,,,,,,,,,,,,,,,,,,,,170.87,203.14,281.41,291.45
1999-12-07 22:12:53.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.69,169.45,210.30,212.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:10:17.299000,L7,443.30,477.02,429.75,377.14,396.29,441.17,338.90,281.86,248.96,216.62,185.77,306.04,297.52,214.32,192.00,289.32,377.68,358.90,384.20,373.98,487.79,490.95,436.76,420.99,319.34,340.22,307.76,265.12,240.61,230.13,218.78,216.36,205.86,185.49,295.68,292.76,294.86,291.41,301.00,303.36,318.09,396.92,380.56,313.79,358.37,290.60,354.94,345.83,343.14,332.74,336.18,254.87,326.27,319.23,324.65,319.98,317.24,321.34,318.48,314.13,362.74,365.75,380.05
2001-02-27 22:10:18.214000,L7,,242.98,244.23,243.94,259.65,243.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.81,205.59,284.67,283.19
2002-10-28 22:07:46.304000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.58,284.84
2002-12-31 22:08:20.096000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.28,280.04
2003-08-20 21:57:03.003000,L5,311.55,304.77,305.59,305.69,303.80,288.06,260.29,196.29,,,,,,,,,,,,,182.75,196.96,196.63,202.58,218.08,216.62,194.41,165.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.70,248.69,246.47,249.15,320.71,337.38
2003-12-10 21:58:29.659000,L5,292.05,297.42,298.46,298.36,284.55,260.13,219.75,165.79,,,,,,,,,,,,,170.79,189.81,191.52,201.12,218.78,215.81,189.41,168.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.10,244.69,242.65,304.12,316.97,326.24
2004-01-27 21:58:50.060000,L5,288.72,287.19,290.61,296.16,290.79,272.64,232.82,179.37,,,,,,,,,,,,,183.37,200.97,201.59,207.78,223.15,211.63,180.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.06,238.60,241.67,315.17,327.33,334.22
2004-05-18 22:00:38.480000,L5,,267.89,266.18,261.04,238.15,233.98,208.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,,256.81,259.64,249.21,220.16,212.59,182.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-09 22:04:22.371000,L5,301.89,299.17,297.58,286.23,258.11,253.12,222.26,216.60,,,,,,,,,,,,186.63,179.46,194.62,195.94,211.38,214.86,225.33,210.74,196.48,168.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.24,239.09,235.18,291.37,321.58,314.22
2004-11-10 22:04:59.688000,L5,291.22,285.47,285.31,277.91,255.54,240.68,207.18,166.23,,,,,,,,,176.77,171.56,215.45,212.34,210.86,210.12,213.70,218.39,238.08,226.55,194.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.88,227.84,228.88,290.87,308.89,316.85
2004-11-26 22:05:17.306000,L5,282.03,286.71,298.93,277.39,254.97,245.95,216.76,171.13,,,,,,,,,,,,173.95,192.68,203.95,208.43,214.41,218.82,212.10,179.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.94,235.55,249.95,320.22,334.66,342.11
2005-02-14 22:06:33.160000,L5,295.87,296.98,293.35,266.58,238.55,231.43,203.28,165.29,,,,,,,,,,,,,169.57,185.42,187.45,192.63,228.06,221.25,189.17,166.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.91,245.67,231.02,291.07,309.60,317.62
2005-03-02 22:06:47.890000,L5,300.19,302.13,297.19,282.78,254.03,243.10,218.08,172.06,,,,,,,,,,,,168.03,188.70,203.26,198.74,200.40,220.30,214.81,185.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.60,247.83,254.88,304.94,328.97,337.50
2005-08-25 22:08:04.916000,L5,,,241.06,261.97,244.55,223.88,201.48,164.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.62,229.13,231.42,249.97,305.96,318.53
2005-09-10 22:08:07.620000,L5,306.27,311.64,302.19,278.28,244.97,232.76,212.45,178.28,,,,,,,,,,,,,186.57,205.34,203.40,206.09,228.12,218.68,185.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.49,250.87,245.39,281.69,332.83,338.41
2005-11-13 22:08:20.468000,L5,301.50,300.42,294.02,263.83,245.81,240.15,215.36,173.50,,,,,,,,,,,,178.71,190.76,197.63,201.42,207.11,223.14,219.69,190.94,170.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.96,260.06,255.71,316.27,331.06,327.67
2006-09-13 22:13:47.312000,L5,214.90,262.96,261.67,233.02,194.65,199.49,177.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.91,198.10,217.76,298.93,303.05
2006-10-31 22:14:17.081000,L5,294.67,292.78,286.03,251.99,217.13,222.60,206.35,167.92,,,,,,,,,,,,,193.09,206.83,208.23,212.82,232.87,228.43,199.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.00,247.01,246.76,309.98,337.87,341.15
2007-02-04 22:14:57.320000,L5,291.95,283.37,281.01,255.28,217.25,223.80,196.18,,,,,,,,,,,,,164.54,184.16,199.80,200.87,218.81,234.92,227.39,197.70,171.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.64,245.83,250.87,309.22,319.08,332.39
2007-10-02 22:12:54.699000,L5,303.41,295.34,292.65,284.06,245.41,239.68,222.16,178.43,,,,,,,,,180.30,196.10,218.64,218.48,217.47,237.05,239.96,225.85,227.13,228.47,211.57,174.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.61,257.46,269.82,307.23,339.07,339.96
2008-12-23 22:04:28.225000,L5,276.03,268.64,263.27,241.90,207.10,216.02,191.26,,,,,,,,,,,,163.86,189.03,195.39,203.05,211.04,217.16,227.17,212.57,175.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.45,245.26,255.48,305.49,309.52,320.83
2010-01-27 22:10:50.221000,L5,291.46,280.50,272.35,240.89,213.55,219.07,200.37,,,,,,,,,,185.37,193.45,191.73,192.29,201.83,206.25,204.67,207.03,214.56,215.87,185.92,166.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.94,256.52,260.31,308.07,320.98,331.58
2011-02-15 22:09:58.365000,L5,283.51,266.65,264.05,246.68,217.85,219.82,199.61,,,,,,,,,,180.26,190.99,195.88,193.34,195.77,200.58,206.47,215.30,223.34,220.97,192.57,167.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.13,242.19,251.51,298.86,313.78,318.68
2013-05-11 22:21:55.010000,L8,298.73,286.83,278.36,274.41,235.15,240.18,231.30,193.78,227.52,222.02,209.22,,,,,,230.50,232.26,244.09,234.70,229.53,220.23,221.74,220.99,227.34,225.84,207.61,180.72,170.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.22,264.18,259.62,328.59,332.96
2013-05-27 22:22:02.838000,L8,307.72,290.42,284.28,280.20,257.84,251.44,236.96,216.15,230.01,222.08,227.05,,,,,,228.85,231.68,255.73,254.93,249.00,253.45,244.25,285.98,304.40,307.31,305.90,183.17,168.84,172.21,181.80,,,,,,,337.95,326.10,320.52,279.35,321.77,334.42,334.85,333.46,338.89,324.99,286.56,309.75,294.53,280.93,284.80,244.06,289.11,319.72,325.08,331.82,352.02,340.22,355.28,366.40,352.23,362.17
2013-06-28 22:21:56.988000,L8,,251.42,247.97,223.72,200.80,202.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-14 22:21:58.456000,L8,299.69,285.25,279.99,275.44,243.26,242.56,233.45,197.31,234.19,222.20,212.75,,,,,,227.01,234.65,248.90,243.26,234.36,229.11,367.54,354.79,356.18,364.35,350.07,357.45,374.53,391.32,,,,,,,,,,,,,,,367.49,356.64,367.01,361.79,350.98,351.56,349.04,313.48,349.06,349.39,356.96,347.68,356.66,351.20,353.63,358.88,362.44,368.67,370.33
2013-09-16 22:21:57.385000,L8,291.57,278.20,273.90,256.62,228.84,234.42,222.04,187.36,219.20,206.33,,,,,,168.18,212.49,218.54,237.77,225.95,218.65,221.73,217.33,218.67,224.85,226.02,196.17,172.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.74,257.27,263.09,342.33,345.08,351.66
2013-10-18 22:21:49.490000,L8,313.44,311.97,316.26,308.73,312.44,302.10,348.69,356.27,362.64,377.83,379.34,,,,294.38,309.67,322.19,332.40,320.27,305.74,298.49,305.03,309.79,306.97,297.65,313.17,331.92,321.43,169.12,174.45,,287.30,301.46,300.54,313.95,338.42,340.07,297.27,315.64,351.88,358.86,343.69,331.84,326.30,323.15,319.46,320.87,315.52,,,,336.23,328.61,319.26,321.69,277.16,303.39,272.93,326.14,325.92,341.01,347.81,351.06
2013-12-21 22:21:27.090000,L8,287.15,274.26,271.94,251.23,230.02,232.20,220.57,185.02,225.28,213.91,202.92,,,,,177.57,215.43,223.83,240.92,229.73,226.24,219.02,222.08,219.72,226.48,227.08,203.93,178.40,168.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.30,335.33,341.62,360.42,354.54,337.82
2014-05-30 22:19:34.937000,L8,293.17,281.41,271.24,255.50,217.62,225.13,211.58,183.32,,,,,,,,,192.00,215.77,232.67,219.91,211.74,199.18,190.37,191.02,206.70,213.20,194.22,173.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.24,329.81
2014-07-01 22:19:46.174000,L8,302.44,289.39,284.71,284.20,234.71,238.62,228.28,191.47,214.92,213.39,208.60,,,,,,218.40,227.45,241.89,230.03,220.15,214.69,215.80,218.10,221.84,226.59,203.92,182.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.95,326.74,325.95,328.13,334.16,340.14
2014-07-17 22:19:52.017000,L8,302.62,288.81,284.78,281.54,247.82,242.19,235.58,196.49,230.28,221.73,214.37,,,,,202.46,226.37,233.39,249.45,241.98,234.00,220.37,227.92,223.13,232.57,230.72,241.08,187.70,171.61,184.95,159.18,369.98,367.75,378.85,390.42,413.57,452.19,,,,,,,,,,,,,364.32,380.19,366.12,365.75,348.14,336.07,,341.75,334.45,335.31,321.18,333.76,337.46,347.08
2014-09-03 22:20:06.649000,L8,300.17,283.88,280.63,267.17,245.45,239.39,235.42,196.98,232.24,222.42,212.27,,,,,177.93,211.96,226.30,241.61,228.90,224.12,219.18,221.56,222.45,228.81,231.32,226.26,185.68,170.98,185.53,157.13,,,,220.19,219.88,216.12,233.33,237.57,,,,,,,,,,,,,,,,,,,200.13,259.75,271.31,258.31,330.96,335.74
2014-11-06 22:20:13.200000,L8,296.97,280.04,275.89,251.75,233.15,235.30,229.85,196.44,224.87,217.63,199.07,207.87,,202.12,167.69,178.62,206.69,215.39,230.93,215.57,216.03,219.49,218.25,218.75,225.30,225.05,205.40,181.85,168.39,176.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.54,260.60,269.42,323.45,331.57,337.33
2014-12-24 22:20:05.791000,L8,289.94,277.38,275.29,251.93,236.54,236.96,231.18,189.42,228.05,218.78,204.99,199.63,,,,190.06,202.00,217.91,222.05,219.63,223.58,223.40,218.37,221.17,224.35,225.41,207.36,186.40,169.70,178.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.69,263.40,274.09,317.54,331.17,336.91
2015-01-25 22:19:56.553000,L8,287.89,276.85,273.77,251.09,232.12,235.78,228.17,191.06,225.47,218.36,200.17,,,,159.10,186.89,204.37,238.94,235.96,231.27,221.00,219.43,218.41,218.47,224.55,222.57,207.19,185.60,171.11,178.38,,,,,,376.96,381.98,399.18,,,,,,,,,,,,,,,,,,,,223.27,257.61,268.51,320.10,330.80,333.56
2015-02-10 22:19:50.748000,L8,292.23,279.01,274.74,255.24,239.15,236.69,231.57,197.79,228.84,218.07,206.17,207.37,,197.70,167.98,191.07,201.76,220.05,247.78,218.09,213.48,216.03,219.40,217.59,222.57,223.07,210.71,184.70,171.07,181.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.11,262.68,269.61,319.54,330.95,331.69
2015-02-26 22:19:46.745000,L8,293.23,280.67,276.72,259.09,239.84,237.26,232.45,196.75,228.94,218.48,211.44,,,,,190.52,199.89,219.16,245.30,219.84,239.06,215.73,214.15,215.11,222.44,223.19,210.91,185.96,170.81,181.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.53,262.04,269.47,320.14,330.50,330.70
2015-03-14 22:19:35.284000,L8,295.29,283.73,280.09,262.18,237.92,238.35,235.89,205.32,229.25,219.95,213.32,209.98,,,166.29,190.26,203.88,228.34,227.41,217.76,219.35,223.65,219.13,225.61,222.10,224.85,209.00,188.53,170.66,179.50,,,,,,,,,,,,,,,,,,,,361.27,369.54,368.15,365.17,,,,,214.80,260.76,268.84,319.26,385.35,377.73
2015-04-15 22:19:22.587000,L8,300.55,285.01,283.47,264.58,256.98,246.96,239.03,211.07,232.83,223.64,188.62,,,,,182.76,197.48,216.10,216.95,209.82,211.99,220.92,216.39,218.59,225.02,225.52,213.02,189.72,176.94,182.15,303.06,314.60,,,,,,,,,,,,,,,,,,,,,,,,,,,260.77,271.46,312.62,332.28,346.30
2015-05-01 22:19:12.426000,L8,325.00,324.00,281.20,271.38,247.90,241.34,238.52,211.34,232.92,223.14,218.52,220.01,,,,188.73,198.76,209.53,232.45,210.67,210.06,218.32,218.09,218.60,222.97,222.16,209.35,187.93,174.59,180.51,164.72,,,,,,,400.65,425.26,416.81,451.75,447.26,,,,,,,,,,,,,,,,192.54,263.21,263.68,336.11,333.94,345.57
2015-07-04 22:19:26.118000,L8,,253.81,252.58,231.53,202.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-06 22:19:50.737000,L8,297.25,285.50,281.07,273.92,242.51,239.49,236.24,206.09,229.60,222.08,214.52,221.97,,,,185.42,203.38,202.50,191.43,189.29,185.91,201.87,219.91,220.82,224.47,306.00,294.31,309.55,313.88,317.90,332.57,356.69,378.67,375.07,204.90,194.23,,,,,,,,,,355.37,330.89,310.65,393.10,379.26,373.79,369.50,378.57,362.84,368.65,367.02,350.76,351.27,350.24,348.83,356.12,347.15,354.06
2015-10-08 22:20:00.596000,L8,311.96,302.27,262.45,261.19,247.72,253.54,235.26,213.92,229.48,221.81,212.52,223.68,329.60,342.95,295.38,307.18,303.80,305.96,190.55,186.48,185.73,201.14,214.01,214.24,220.08,220.03,204.94,187.21,171.03,179.58,325.83,,,,,,,434.05,451.31,470.57,488.84,,,,,,,,341.38,345.40,353.87,348.83,355.26,360.82,351.64,360.25,358.32,338.09,354.22,351.35,358.92,377.17,380.54
2015-12-27 22:20:07.153000,L8,287.73,277.12,272.96,251.24,238.02,236.98,233.70,191.78,228.30,219.63,213.30,,,,,191.18,200.49,201.06,191.92,191.24,187.93,209.77,218.50,223.26,223.58,223.91,205.03,184.68,170.64,303.68,328.59,345.17,,,,,,,,,,,,,,,,,,,,,,,,,,224.15,259.05,270.50,316.91,331.68,332.86
2016-02-13 22:19:56.477000,L8,292.56,280.95,277.02,264.36,255.56,241.09,241.27,221.27,233.04,224.55,226.24,,,,,195.59,202.47,200.57,190.37,189.93,190.92,211.61,221.78,222.21,225.97,227.81,212.86,189.44,177.30,181.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.41,263.33,274.11,323.45,334.25,334.48
2016-02-29 22:19:53.146000,L8,298.80,279.99,274.71,259.95,243.24,239.25,237.17,215.00,228.89,221.32,215.46,,,,,193.43,200.75,200.40,188.60,189.19,187.15,205.03,219.33,220.20,220.65,225.70,209.02,186.20,172.04,179.26,,,,,,,,,,,,,,,,,,,,,,,,354.10,359.71,375.38,389.98,380.71,370.11,383.48,387.92,390.12,382.78
2016-03-16 22:19:48.512000,L8,294.91,278.46,275.15,263.78,238.33,239.78,236.13,186.66,228.94,221.26,221.06,193.34,,,,193.38,199.05,199.58,187.93,188.88,183.31,201.02,216.66,220.31,222.30,223.39,207.33,185.00,171.34,179.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.58,357.20,377.73,377.04,375.91,371.91
2016-04-17 22:19:33.425000,L8,309.83,305.09,311.15,320.92,327.10,348.90,329.03,340.48,321.14,358.49,356.87,,,,,199.42,200.39,199.25,193.57,186.19,180.26,198.91,225.39,227.66,225.90,227.34,219.61,195.89,181.54,184.11,166.18,,,,,,,,,,,,,,,,,,321.73,303.36,292.36,303.68,324.07,336.17,324.41,340.31,336.84,341.71,345.42,273.98,354.97,370.16,350.53
2016-07-06 22:19:53.295000,L8,302.00,292.11,285.94,306.41,319.74,340.94,335.65,341.84,313.43,344.39,239.65,,,,,178.24,197.72,192.10,178.36,177.13,185.03,201.41,220.49,227.67,225.42,230.73,225.51,201.31,181.98,188.71,183.48,,,,,,,,,,,,,,,426.73,420.42,414.91,396.51,377.85,371.22,360.64,356.57,354.28,,,,341.74,331.74,339.90,342.15,353.07,350.80
