dates,satname,nzd0419-0000,nzd0419-0001,nzd0419-0002,nzd0419-0003,nzd0419-0004,nzd0419-0005,nzd0419-0006,nzd0419-0007,nzd0419-0008,nzd0419-0009,nzd0419-0010,nzd0419-0011,nzd0419-0012,nzd0419-0013,nzd0419-0014,nzd0419-0015,nzd0419-0016,nzd0419-0017,nzd0419-0018,nzd0419-0019,nzd0419-0020,nzd0419-0021,nzd0419-0022,nzd0419-0023,nzd0419-0024,nzd0419-0025,nzd0419-0026,nzd0419-0027,nzd0419-0028,nzd0419-0029,nzd0419-0030,nzd0419-0031,nzd0419-0032,nzd0419-0033,nzd0419-0034,nzd0419-0035,nzd0419-0036,nzd0419-0037,nzd0419-0038,nzd0419-0039,nzd0419-0040,nzd0419-0041,nzd0419-0042
2003-08-20 21:57:03.003000,L5,250.30,5496.10,258.90,273.02,278.85,264.12,308.13,319.01,323.09,274.08,330.21,327.59,331.64,194.17,334.00,199.64,207.96,213.50,212.81,225.17,236.67,240.22,259.54,229.38,227.07,197.67,165.56,252.46,261.66,250.72,,,,,,,,,,,,,
2003-12-10 21:58:29.659000,L5,255.97,213.25,272.55,287.19,292.81,283.69,311.68,312.64,317.25,268.76,320.83,324.06,325.91,178.85,335.60,203.10,208.15,208.68,217.01,228.99,249.69,262.55,246.65,,220.65,204.80,166.26,236.41,249.94,245.91,,,,,,,,,,,,,
2004-01-27 21:58:50.060000,L5,239.24,187.12,258.01,273.31,277.26,289.72,315.86,321.46,323.62,274.90,328.74,330.20,322.99,175.04,323.99,188.99,193.97,201.03,204.29,216.49,241.61,259.35,255.17,,219.18,198.48,,245.15,256.08,248.39,,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,245.97,5496.53,261.45,277.17,279.50,268.61,305.60,322.13,326.58,271.00,328.94,330.84,329.80,192.83,333.78,204.80,207.08,214.83,214.99,229.50,241.52,,,,233.89,238.26,253.49,256.79,268.66,263.37,216.37,179.39,,,,,,,,,,,
2004-11-10 22:04:59.688000,L5,252.66,209.49,267.69,268.15,274.17,272.31,305.81,310.17,318.14,267.65,330.87,332.50,335.76,190.26,337.51,201.83,207.72,213.49,217.68,216.83,237.62,250.73,247.33,,226.16,233.35,236.48,248.52,262.55,255.67,209.27,181.48,,,,,,,,,,,
2004-11-26 22:05:17.306000,L5,241.36,193.73,257.66,275.65,287.74,294.70,322.42,328.08,334.18,278.29,339.14,334.82,324.36,178.17,320.98,191.52,195.80,198.73,207.94,218.39,250.96,261.08,256.79,,250.15,247.28,252.44,259.92,263.88,255.86,206.28,174.67,,,,,,,,,,,
2005-02-14 22:06:33.160000,L5,242.25,5497.07,263.70,276.01,279.21,5493.51,296.88,299.07,310.64,5430.87,309.91,307.45,323.52,5401.23,327.95,,,,,,,,,,199.40,,,231.88,190.96,235.90,187.61,165.03,,,,,,,,,,,
2005-03-02 22:06:47.890000,L5,238.12,184.97,258.09,281.09,286.40,289.29,315.36,322.85,326.49,270.58,317.10,319.34,322.90,180.76,324.81,192.85,194.84,202.01,206.42,229.35,249.75,260.58,257.65,,257.61,253.66,253.86,257.15,263.07,256.55,210.86,174.07,,,,,,,,,,,
2005-08-25 22:08:04.916000,L5,223.80,5499.65,238.30,263.71,271.72,274.54,300.91,307.35,314.17,265.55,323.37,322.57,324.81,184.31,325.01,193.46,202.17,204.07,211.52,212.47,234.59,234.48,251.76,214.09,,,,,,,,,,,,,,,,,,,
2005-09-10 22:08:07.620000,L5,285.17,183.03,302.13,286.19,302.95,321.11,328.92,343.69,383.81,288.57,350.91,353.13,352.57,218.00,344.94,217.41,220.56,219.44,224.85,232.89,259.59,263.01,274.53,234.32,284.09,275.46,277.23,276.59,282.10,276.52,276.57,191.65,,,,,,,,,,,
