dates,satname,nzd0221-0000,nzd0221-0001,nzd0221-0002,nzd0221-0003,nzd0221-0004,nzd0221-0005,nzd0221-0006,nzd0221-0007,nzd0221-0008,nzd0221-0009,nzd0221-0010,nzd0221-0011,nzd0221-0012,nzd0221-0013,nzd0221-0014,nzd0221-0015,nzd0221-0016,nzd0221-0017,nzd0221-0018,nzd0221-0019,nzd0221-0020,nzd0221-0021
1999-12-25 21:58:52.197000,L7,,,211.18,203.71,218.71,208.43,,,,,,,201.62,219.48,254.45,250.95,249.64,234.32,243.86,,,
2000-01-10 21:58:52.465000,L7,,291.11,302.66,288.14,292.56,280.88,282.20,296.72,290.52,287.25,297.43,308.02,303.79,331.28,315.37,323.01,308.11,308.55,319.45,368.86,369.08,380.59
2000-02-27 21:58:40.521000,L7,476.15,503.41,296.23,288.50,306.42,506.69,549.38,533.89,533.76,549.37,546.73,302.78,490.55,505.03,515.09,515.44,511.00,496.51,497.10,505.45,488.64,342.75
2000-03-14 21:58:35.291000,L7,482.70,492.16,487.70,252.21,258.73,279.15,245.34,275.57,280.62,,,,,,243.21,279.81,257.13,273.43,269.49,286.70,297.37,316.43
2000-03-30 21:58:33.541000,L7,444.12,443.92,277.70,258.86,264.42,270.47,239.47,285.66,265.12,275.74,289.66,257.77,499.42,446.46,450.82,450.15,287.14,283.05,292.82,297.31,318.26,330.14
2000-07-04 21:57:38.483000,L7,,,,,,,,213.66,244.75,264.22,269.71,245.51,270.28,245.67,277.86,284.21,276.20,281.49,277.44,,,
2000-08-05 21:57:08.715000,L7,,,,,,,,,,,,,,,254.56,252.98,239.37,,,,,
2000-11-09 21:56:21.390000,L7,293.58,300.85,303.47,299.19,293.56,295.34,300.22,319.64,348.46,356.71,312.37,314.44,306.26,318.44,314.74,311.23,299.91,295.79,298.32,315.82,366.03,355.06
2001-01-12 21:56:30.696000,L7,,293.00,217.06,215.13,192.77,186.69,193.41,322.85,250.99,277.84,285.15,312.57,288.12,300.31,312.92,308.67,347.40,349.32,329.26,365.35,350.87,338.25
2001-03-01 21:56:21.596000,L7,310.48,305.86,310.15,376.27,361.97,400.11,426.77,285.77,292.22,315.53,297.39,500.67,319.78,322.92,319.39,313.48,478.29,461.58,505.67,526.70,489.66,493.07
2001-03-17 21:56:16.575000,L7,,282.05,276.69,276.36,280.56,281.07,262.68,289.15,279.60,284.26,292.42,289.01,293.18,296.06,301.08,303.68,289.69,286.52,295.72,304.35,313.89,327.60
2001-06-21 21:55:29.297000,L7,,,,,,,,233.98,250.25,269.57,275.10,246.87,267.60,247.44,279.84,285.69,273.71,273.45,261.26,,,
2001-08-08 21:55:01.113000,L7,,,,,,,,203.42,229.86,246.12,254.57,192.90,265.97,249.68,284.01,278.73,256.92,274.94,256.21,,,
2001-08-24 21:54:48.593000,L7,513.74,512.06,512.12,520.30,507.83,512.22,506.98,496.60,471.13,461.31,453.31,506.00,513.92,502.54,458.27,428.00,444.76,550.68,410.60,,,391.55
2001-09-09 21:54:36.880000,L7,460.61,437.61,423.59,476.55,458.27,448.39,440.22,444.95,434.93,408.98,429.76,462.20,467.57,427.54,430.44,412.78,404.92,413.69,396.19,390.88,382.46,413.42
2001-09-25 21:54:28.694000,L7,508.82,526.84,329.79,325.52,323.35,490.94,509.19,480.31,487.62,504.66,488.19,492.65,537.36,490.20,535.45,544.59,543.69,312.32,327.00,410.01,406.63,422.67
2001-12-30 21:54:37.254000,L7,,295.61,348.48,328.82,326.77,325.18,281.95,295.79,297.10,290.51,299.48,317.48,338.85,345.62,341.68,331.20,331.69,338.44,335.57,337.23,293.26,196.01
2002-02-16 21:54:54.191000,L7,336.73,337.52,340.29,339.11,320.02,316.96,316.12,333.11,330.66,326.74,332.87,338.86,327.96,338.55,332.23,334.24,439.49,456.11,392.31,398.87,450.27,474.52
2002-03-20 21:54:48.224000,L7,,281.08,270.68,263.63,267.09,272.71,248.73,280.76,272.54,280.61,288.50,281.01,281.51,280.55,293.98,300.04,284.61,283.09,289.94,294.15,305.01,318.55
2002-08-27 21:54:00.253000,L7,,,,,,,,,,,,,,244.29,273.13,271.31,261.71,231.77,225.89,,,
2002-10-14 21:53:43.769000,L7,522.71,553.44,554.99,442.20,306.62,306.18,530.31,492.87,441.48,516.46,493.09,431.23,459.41,463.06,458.23,426.47,432.20,441.44,467.09,447.00,427.86,518.64
2002-12-01 21:54:16.937000,L7,403.93,422.94,433.21,464.36,468.64,458.65,307.97,315.29,307.34,306.39,310.78,321.17,313.37,318.94,321.73,314.34,304.77,297.45,299.98,320.58,325.87,338.85
2003-01-18 21:54:30.278000,L7,,299.26,303.31,291.81,283.16,285.68,278.66,299.09,379.91,374.69,337.31,318.54,294.27,307.60,308.28,308.50,296.57,292.77,293.54,340.64,355.47,367.12
2003-03-23 21:54:40.711000,L7,,,,,,,,276.71,239.71,265.73,283.16,302.13,306.57,295.67,300.81,321.24,354.96,313.33,346.78,,268.84,288.59
2003-04-08 21:54:47.577000,L7,495.97,508.90,507.34,506.05,499.49,489.23,246.03,280.58,272.86,285.44,291.35,273.29,289.44,288.62,301.64,536.65,475.47,461.67,292.76,297.23,311.05,326.19
2003-04-24 21:54:46.433000,L7,290.94,274.25,251.33,240.14,267.59,446.62,454.12,459.34,484.13,539.47,516.66,504.36,510.06,527.74,482.53,498.82,477.66,462.52,489.96,506.81,501.81,325.26
2003-07-21 21:42:33.857000,L5,315.37,275.85,274.63,225.12,264.42,295.02,258.69,289.74,289.61,316.08,312.93,288.33,318.85,292.51,314.66,319.77,298.14,298.49,307.48,307.50,332.96,328.83
2003-08-06 21:42:51.203000,L5,,,,,,,,237.64,248.44,264.92,280.05,264.29,287.85,260.00,295.43,302.90,277.92,272.88,273.14,,,
2003-10-25 21:44:04.226000,L5,326.58,329.79,323.82,322.51,318.92,314.44,304.25,316.63,313.02,307.89,324.91,334.82,325.64,333.44,334.77,324.36,314.23,300.36,305.79,314.99,325.53,340.55
2004-03-01 21:45:02.553000,L5,,259.60,269.75,269.03,261.07,268.34,222.38,273.19,267.78,259.30,268.61,279.69,290.82,287.98,300.56,301.38,286.43,286.95,289.23,282.91,288.39,301.57
2004-03-17 21:45:08.368000,L5,,,,,,,,230.05,268.63,269.21,276.98,281.15,287.61,276.93,296.87,293.79,280.75,280.19,286.75,281.63,297.22,314.97
2004-04-02 21:45:18.969000,L5,,268.85,261.55,269.70,273.25,272.82,239.44,273.27,270.68,270.23,277.19,274.91,292.77,268.82,296.57,299.68,271.36,270.16,273.37,286.19,295.28,309.73
2004-04-18 21:45:49.558000,L5,,,,,,,,273.88,259.31,265.46,277.70,265.23,285.75,267.07,289.98,299.22,287.77,283.65,289.78,280.65,303.59,317.69
2004-05-04 21:46:16.049000,L5,,,,,,,,238.71,259.36,250.82,272.38,262.14,285.74,262.85,288.95,289.59,278.62,273.09,274.38,251.18,288.90,292.37
2004-07-07 21:48:09.180000,L5,308.02,241.63,274.36,249.32,287.18,287.09,280.90,292.75,287.70,301.14,296.46,294.83,313.37,279.78,314.56,315.66,297.87,300.50,302.74,305.43,319.31,296.83
2004-07-23 21:48:33.165000,L5,309.31,288.77,275.90,274.11,274.15,303.26,280.84,288.54,286.05,304.73,297.73,283.87,314.66,284.42,311.00,315.37,307.66,300.80,310.07,305.84,321.70,323.80
2004-08-08 21:48:50.888000,L5,,,,,,,,,,,,249.46,241.67,243.36,270.12,275.04,266.31,255.88,,,,
2004-09-25 21:50:07.312000,L5,321.34,325.18,327.23,333.99,323.74,317.31,318.21,320.47,317.24,312.88,318.03,336.28,329.85,336.04,330.82,329.79,317.86,314.75,312.02,325.32,331.26,343.71
2004-10-27 21:50:47.740000,L5,,282.79,290.96,272.82,272.63,273.47,262.62,271.93,266.02,249.33,255.66,284.58,287.26,282.21,294.25,295.42,284.33,274.97,265.17,272.58,277.38,287.06
