dates,satname,nzd0012-0000,nzd0012-0001,nzd0012-0002,nzd0012-0003,nzd0012-0004,nzd0012-0005,nzd0012-0006,nzd0012-0007,nzd0012-0008,nzd0012-0009,nzd0012-0010,nzd0012-0011,nzd0012-0012,nzd0012-0013,nzd0012-0014,nzd0012-0015,nzd0012-0016,nzd0012-0017,nzd0012-0018,nzd0012-0019,nzd0012-0020,nzd0012-0021,nzd0012-0022,nzd0012-0023,nzd0012-0024,nzd0012-0025
1999-08-17 22:10:26.276000,L7,537.88,530.70,350.33,326.07,321.96,314.39,332.89,411.41,423.81,439.97,346.91,339.60,317.76,231.74,252.79,305.64,324.81,331.59,334.88,335.96,334.62,335.98,316.36,309.92,290.46,
1999-10-04 22:10:38.131000,L7,407.58,440.31,363.00,394.07,400.19,398.74,393.88,390.04,349.91,398.38,416.34,401.81,464.14,401.51,346.99,415.35,409.04,413.39,401.99,396.58,395.80,404.59,401.13,404.94,404.55,483.91
1999-11-21 22:10:24.244000,L7,337.80,396.86,377.64,394.23,394.08,395.19,394.50,390.89,386.63,393.78,399.51,402.39,391.07,391.39,346.50,408.31,497.84,,,,,,,,,259.62
2000-02-09 22:10:19.398000,L7,406.48,396.19,399.06,407.42,380.29,417.43,419.85,420.37,415.12,402.91,406.58,442.01,463.71,435.38,459.10,420.14,424.84,464.49,345.61,465.50,418.57,452.02,414.69,476.47,413.24,463.25
2000-03-28 22:10:07.233000,L7,409.94,410.87,412.41,415.57,424.34,419.70,416.07,417.04,409.76,347.57,403.07,402.52,420.31,424.23,429.85,435.19,440.58,442.19,441.38,451.73,539.34,527.35,546.41,541.48,512.77,463.92
2000-05-15 22:09:42.527000,L7,438.45,461.06,459.01,458.04,459.62,460.07,337.71,423.40,441.82,458.83,461.36,458.00,457.67,468.23,310.94,465.26,493.63,464.39,423.60,435.59,522.48,527.11,485.90,484.26,471.86,505.99
2000-08-03 22:08:44.137000,L7,241.57,229.54,237.65,322.45,326.80,312.85,330.75,287.01,323.96,339.58,344.93,338.08,313.27,,,,219.90,282.58,339.60,341.00,339.06,342.01,320.02,311.07,,
2000-08-19 22:08:38.248000,L7,320.50,341.67,383.85,374.59,325.10,313.33,332.31,325.62,342.97,340.92,345.92,339.14,195.80,187.29,235.67,185.33,332.84,338.80,342.27,340.16,339.55,342.19,312.63,296.17,,
2000-09-04 22:08:22.800000,L7,326.02,345.83,399.52,353.89,328.20,316.27,331.82,329.98,342.68,339.91,345.52,339.05,314.30,222.76,269.79,309.28,337.69,336.17,341.72,342.09,341.91,342.02,316.45,338.48,,
2000-09-20 22:08:03.348000,L7,404.66,347.73,409.72,359.33,324.12,315.51,333.07,330.60,344.52,342.41,347.98,340.71,310.10,221.10,265.76,306.54,331.14,337.68,342.97,343.73,341.51,343.43,309.73,308.53,,
