dates,satname,nzd0538-0000,nzd0538-0001,nzd0538-0002,nzd0538-0003,nzd0538-0004,nzd0538-0005,nzd0538-0006,nzd0538-0007,nzd0538-0008,nzd0538-0009,nzd0538-0010,nzd0538-0011,nzd0538-0012,nzd0538-0013,nzd0538-0014,nzd0538-0015,nzd0538-0016,nzd0538-0017,nzd0538-0018,nzd0538-0019
1999-08-17 22:13:37.953000,L7,257.28,263.98,238.33,222.11,274.37,271.55,275.36,282.01,273.52,281.38,289.76,295.92,293.62,301.73,264.04,248.05,257.16,260.65,257.19,215.56
1999-11-05 22:13:40.966000,L7,247.34,272.13,267.33,242.76,280.06,275.80,278.75,276.80,278.25,281.96,262.72,270.51,228.62,266.46,217.70,145.74,222.32,217.53,212.57,205.23
1999-12-07 22:13:41.663000,L7,367.11,353.80,354.40,360.86,357.93,283.68,285.77,284.31,290.76,288.66,296.73,367.76,368.08,377.41,334.21,328.77,329.90,348.03,219.27,211.03
1999-12-16 22:07:33.708000,L7,296.31,276.68,249.16,274.99,282.46,288.72,287.47,286.19,292.43,287.79,298.05,322.56,311.79,308.55,267.85,240.56,232.98,228.13,229.28,216.01
2000-09-20 22:11:14.930000,L7,309.22,271.49,240.85,226.65,214.94,279.21,282.41,283.37,279.83,287.49,284.84,326.86,319.06,295.42,263.34,255.06,259.56,260.08,261.56,214.22
2000-12-18 22:05:01.704000,L7,,,,,,268.45,249.01,256.05,179.44,287.54,294.63,306.79,293.40,294.98,256.73,254.89,221.37,216.66,201.13,
2001-02-11 22:11:12.788000,L7,301.62,277.56,272.12,276.37,283.47,278.29,280.95,290.85,289.84,335.79,333.28,323.04,327.76,297.95,263.79,254.79,275.29,267.76,246.08,253.52
2001-02-20 22:05:00.525000,L7,213.34,239.48,148.92,222.05,271.05,268.10,272.84,278.35,247.90,237.46,173.92,156.43,232.13,267.62,227.17,211.88,199.13,212.51,214.07,202.42
2002-01-29 22:09:33.112000,L7,455.89,270.37,261.84,225.06,152.42,241.42,238.72,194.89,173.58,212.04,349.25,341.47,352.50,403.93,257.20,245.16,225.28,257.94,250.49,205.62
2002-03-11 22:03:31.366000,L7,,,,,,271.00,283.39,299.50,293.60,281.93,277.44,298.56,291.49,289.13,254.02,239.95,223.42,213.78,212.95,204.54
2002-04-12 22:03:25.302000,L7,302.33,269.72,242.08,275.05,280.82,190.55,161.87,151.42,290.58,285.75,249.75,263.21,336.49,302.38,256.51,241.51,225.40,241.12,243.79,213.14
2002-05-14 22:03:19.418000,L7,,,,,,273.15,284.36,283.73,200.65,285.15,286.07,276.55,283.81,269.35,253.92,235.53,230.79,210.18,,
2002-09-10 22:08:43.416000,L7,265.60,264.21,250.04,275.96,280.97,278.00,288.62,207.44,209.65,192.69,285.84,329.41,333.71,300.64,266.80,246.86,260.96,264.01,258.57,212.75
