dates,satname,nzd0326-0000,nzd0326-0001,nzd0326-0002,nzd0326-0003,nzd0326-0004,nzd0326-0005,nzd0326-0006,nzd0326-0007,nzd0326-0008,nzd0326-0009,nzd0326-0010,nzd0326-0011,nzd0326-0012
1999-08-21 21:47:44.927000,L7,,146.85,240.46,223.22,273.05,205.84,296.63,300.60,302.61,276.05,232.71,295.30,302.03
1999-09-22 21:47:24.746000,L7,320.44,428.15,431.78,455.54,403.95,446.29,451.68,460.61,512.38,470.98,485.34,464.55,430.95
1999-09-29 21:53:40.155000,L7,294.43,367.67,382.12,384.43,372.20,418.59,432.76,399.23,323.22,297.85,309.65,324.07,319.89
1999-10-24 21:47:20.173000,L7,339.50,423.65,436.53,457.48,437.55,474.50,486.46,485.35,474.04,475.95,427.02,335.12,349.24
1999-11-25 21:47:14.750000,L7,356.93,385.99,391.14,421.99,437.13,435.83,431.40,456.06,485.02,510.58,480.93,500.98,462.39
2000-01-12 21:47:42.353000,L7,303.04,306.03,297.76,284.17,304.75,282.33,315.97,338.55,296.44,284.57,326.62,462.48,425.18
2000-01-19 21:53:25.812000,L7,458.54,410.43,468.76,491.97,471.30,530.90,347.29,525.45,474.29,345.41,352.11,338.64,359.63
2000-04-17 21:46:44.595000,L7,,303.28,271.69,263.50,284.63,272.94,298.08,303.30,306.36,291.38,287.10,317.16,310.13
2000-05-03 21:46:43.127000,L7,,314.03,296.51,291.83,314.90,296.14,337.68,314.93,349.69,299.32,302.76,326.57,344.49
2000-05-19 21:46:55.786000,L7,,290.17,266.95,234.70,288.65,253.30,304.21,306.68,346.86,291.40,287.64,322.17,332.94
2000-05-26 21:52:36.566000,L7,,298.00,281.26,239.75,284.57,424.13,423.62,420.14,397.73,382.18,262.48,334.06,338.75
2000-06-20 21:46:40.813000,L7,,,,,,,249.08,267.31,302.44,224.33,205.59,283.93,219.06
2000-07-13 21:52:07.753000,L7,,,,,,,,259.40,300.00,259.05,247.19,294.48,299.42
