dates,satname,nzd0463-0000,nzd0463-0001,nzd0463-0002,nzd0463-0003,nzd0463-0004,nzd0463-0005,nzd0463-0006,nzd0463-0007,nzd0463-0008,nzd0463-0009,nzd0463-0010,nzd0463-0011,nzd0463-0012,nzd0463-0013,nzd0463-0014,nzd0463-0015,nzd0463-0016,nzd0463-0017,nzd0463-0018,nzd0463-0019,nzd0463-0020,nzd0463-0021,nzd0463-0022,nzd0463-0023,nzd0463-0024,nzd0463-0025,nzd0463-0026,nzd0463-0027,nzd0463-0028,nzd0463-0029,nzd0463-0030,nzd0463-0031,nzd0463-0032,nzd0463-0033,nzd0463-0034,nzd0463-0035,nzd0463-0036,nzd0463-0037,nzd0463-0038,nzd0463-0039,nzd0463-0040,nzd0463-0041,nzd0463-0042,nzd0463-0043,nzd0463-0044,nzd0463-0045,nzd0463-0046,nzd0463-0047,nzd0463-0048,nzd0463-0049,nzd0463-0050,nzd0463-0051,nzd0463-0052,nzd0463-0053,nzd0463-0054,nzd0463-0055,nzd0463-0056,nzd0463-0057,nzd0463-0058,nzd0463-0059,nzd0463-0060,nzd0463-0061,nzd0463-0062,nzd0463-0063,nzd0463-0064,nzd0463-0065,nzd0463-0066,nzd0463-0067,nzd0463-0068,nzd0463-0069,nzd0463-0070,nzd0463-0071,nzd0463-0072,nzd0463-0073,nzd0463-0074,nzd0463-0075,nzd0463-0076,nzd0463-0077,nzd0463-0078,nzd0463-0079,nzd0463-0080,nzd0463-0081,nzd0463-0082,nzd0463-0083,nzd0463-0084,nzd0463-0085,nzd0463-0086,nzd0463-0087,nzd0463-0088,nzd0463-0092,nzd0463-0093,nzd0463-0094,nzd0463-0095,nzd0463-0096,nzd0463-0097,nzd0463-0098,nzd0463-0099,nzd0463-0100,nzd0463-0101,nzd0463-0102,nzd0463-0103,nzd0463-0104,nzd0463-0105,nzd0463-0106,nzd0463-0107,nzd0463-0108,nzd0463-0109,nzd0463-0110,nzd0463-0111,nzd0463-0112,nzd0463-0113,nzd0463-0114,nzd0463-0115,nzd0463-0116,nzd0463-0117,nzd0463-0118,nzd0463-0119,nzd0463-0120,nzd0463-0121,nzd0463-0122,nzd0463-0123,nzd0463-0124,nzd0463-0125,nzd0463-0126,nzd0463-0127,nzd0463-0128,nzd0463-0129,nzd0463-0130,nzd0463-0131,nzd0463-0132,nzd0463-0133,nzd0463-0089,nzd0463-0090,nzd0463-0091
1999-08-26 22:07:08.722000,L7,,,,,,,,,,,,,,,,,,,,,,,,260.31,252.20,278.31,280.75,290.26,169.11,,,,,,,,,234.66,260.17,233.92,254.28,249.84,318.12,317.72,300.06,257.91,,,,260.40,227.59,251.62,277.81,267.85,260.10,257.08,252.77,246.31,,,,,,,278.65,281.85,292.36,249.45,304.32,294.41,303.19,284.96,247.22,,225.41,183.89,201.62,,,,,,,,,,,,,,,,219.10,281.51,259.90,180.54,197.20,235.08,,,,,,,,,246.42,284.09,276.99,271.67,277.18,284.05,276.91,208.92,290.69,292.62,227.38,,,,,,,,,284.92,299.66,307.16,302.18,285.59,269.61,,,
1999-09-27 22:07:12.757000,L7,339.23,331.55,341.65,342.66,340.19,335.60,330.88,324.48,331.56,313.45,357.80,366.12,164.17,178.72,296.30,265.99,224.13,249.84,206.15,198.70,203.89,205.83,203.00,319.80,345.17,358.65,367.34,362.40,343.55,338.14,338.13,338.10,327.93,325.99,236.25,208.15,302.38,366.52,372.92,374.02,362.15,354.96,359.24,349.98,359.37,362.90,367.21,373.46,371.76,376.86,370.63,373.10,372.98,376.17,375.45,367.16,371.92,365.84,364.09,358.44,354.90,344.29,341.43,341.64,350.11,359.75,368.76,365.70,371.29,372.30,377.04,370.28,381.44,375.82,351.55,338.24,319.15,335.16,331.89,342.98,336.69,337.86,341.32,353.38,333.37,353.66,356.06,328.67,329.07,206.67,344.71,349.26,319.84,351.45,355.03,350.23,344.74,341.69,324.25,317.42,325.47,328.29,316.35,248.65,188.86,169.32,297.28,309.46,306.55,307.38,310.77,324.33,340.02,348.92,351.44,350.40,340.39,337.15,315.43,303.95,316.19,318.68,276.92,318.02,338.37,345.57,348.59,352.77,347.77,354.08,352.00,,,
1999-10-13 22:07:12.582000,L7,343.09,327.71,344.40,351.08,346.96,340.53,338.52,329.82,332.36,297.22,356.91,504.94,346.49,517.24,,,139.49,181.51,369.04,383.91,318.76,420.56,,510.87,328.74,333.94,341.15,342.14,451.56,492.41,502.15,474.02,393.95,,336.44,380.22,472.61,330.76,363.44,354.80,328.28,345.01,324.29,351.98,364.94,361.93,359.95,366.80,365.50,367.16,362.98,361.75,353.25,364.83,360.82,360.95,361.80,357.63,358.51,351.40,358.19,339.31,328.20,329.17,339.92,350.55,355.94,357.54,357.91,359.25,368.24,367.45,362.87,373.43,341.88,322.18,307.17,323.84,322.16,324.77,326.94,322.22,331.75,329.14,276.63,343.34,339.81,161.03,,,,,,468.86,245.14,291.75,225.83,269.11,296.18,,,,367.66,256.31,171.10,166.57,288.30,310.22,300.85,297.95,304.92,318.09,329.31,351.61,346.05,347.92,340.97,342.01,315.57,300.30,311.65,317.49,249.85,156.06,,239.67,312.18,325.94,319.49,346.90,355.51,,,
1999-11-30 22:06:59.059000,L7,370.14,329.86,340.90,350.80,352.09,345.89,352.10,353.87,345.12,338.13,359.84,388.40,380.43,384.03,385.91,348.07,331.33,326.40,328.42,318.73,316.77,316.28,315.80,335.71,349.94,365.58,358.79,359.93,351.66,346.62,335.95,336.47,334.57,344.17,313.30,303.64,307.91,360.29,363.71,353.40,368.48,386.50,387.75,383.35,361.43,350.93,380.50,371.63,380.99,368.27,368.55,366.81,372.26,380.28,389.38,386.19,368.09,366.77,350.64,366.88,362.04,354.50,344.18,345.93,348.70,357.97,363.98,369.97,364.97,377.92,380.47,375.38,377.48,375.89,357.81,353.27,341.78,343.44,343.51,341.37,338.52,340.47,342.28,347.20,330.20,352.58,351.17,348.15,348.62,296.21,344.47,358.24,356.21,363.43,357.61,360.87,359.43,339.27,334.11,307.80,331.12,,,,,146.50,284.07,315.86,309.21,315.13,307.48,340.88,360.19,358.91,360.66,363.23,360.61,348.27,324.40,317.35,325.31,327.32,301.04,331.66,358.00,364.40,367.73,357.36,353.89,366.77,355.79,267.24,,
1999-12-16 22:07:09.748000,L7,375.46,389.89,404.50,411.12,417.40,413.54,416.39,417.46,409.16,399.11,418.48,410.69,407.14,415.72,425.02,417.98,408.15,408.01,394.55,393.15,385.24,393.14,382.87,375.30,377.83,405.40,405.02,422.29,421.34,417.19,419.71,415.04,407.93,410.52,402.26,408.94,411.01,399.76,410.02,414.55,407.60,399.21,407.63,400.83,392.01,399.76,407.52,415.65,417.37,413.55,411.54,414.11,422.54,419.92,416.82,403.84,406.51,398.16,401.33,405.68,417.96,401.63,385.00,384.41,415.62,423.38,423.98,409.93,399.45,421.49,423.47,429.89,430.39,421.70,399.50,410.61,402.37,389.66,394.94,377.28,371.62,369.34,369.60,376.64,386.39,405.96,391.89,393.65,405.39,422.67,424.42,424.34,436.65,430.69,419.84,408.40,427.10,431.51,435.03,440.29,430.93,433.07,418.73,388.65,387.86,411.63,416.43,410.01,397.19,394.56,403.05,419.86,433.24,425.93,419.13,416.74,410.72,401.94,426.47,434.41,428.55,417.26,417.05,420.45,413.42,422.49,415.98,408.89,400.89,415.91,398.77,425.41,433.94,430.41
2000-03-21 22:06:49.022000,L7,325.56,324.54,328.48,331.94,336.93,333.05,327.16,328.29,332.10,323.38,341.85,348.66,208.59,,,231.89,307.61,299.48,308.26,303.86,296.93,298.80,300.99,303.34,325.25,328.05,331.07,333.53,330.73,329.22,328.75,328.94,330.11,322.83,248.22,233.81,287.37,346.43,357.26,355.25,350.53,357.19,358.54,354.60,349.72,353.27,348.51,351.98,353.78,348.72,347.80,349.31,347.00,353.90,350.49,350.88,353.65,351.38,346.40,346.89,341.87,332.62,325.25,319.60,332.97,224.63,221.63,221.00,213.97,347.74,359.79,363.22,357.24,360.68,341.20,337.38,334.11,335.80,333.82,326.68,319.26,320.08,325.95,325.48,302.60,330.56,337.54,,,,199.75,339.17,321.35,336.16,334.42,329.49,328.20,319.79,314.46,303.75,315.77,312.81,178.57,219.98,,139.56,151.44,176.80,291.67,290.90,306.40,310.15,327.04,335.08,332.12,334.11,330.37,321.98,307.05,300.99,311.18,306.69,259.91,302.06,321.61,330.64,330.60,337.77,336.37,343.28,342.30,,,
2000-05-08 22:06:20.956000,L7,336.19,336.83,344.08,345.27,349.27,345.30,335.37,332.45,336.48,336.36,358.49,369.90,150.49,178.09,192.21,190.75,210.86,256.33,191.74,314.25,307.43,307.91,311.58,310.80,339.63,337.38,339.29,337.45,335.08,335.24,336.08,333.99,329.72,329.55,249.39,222.63,295.40,359.37,367.30,358.17,352.07,359.90,366.06,354.08,349.23,356.64,357.61,360.16,361.50,355.07,355.57,354.57,357.92,358.16,355.31,354.07,355.77,355.96,350.49,351.63,349.47,343.20,335.44,333.76,339.66,346.13,355.26,356.59,357.32,357.49,368.47,374.15,368.79,370.75,356.64,353.13,343.66,347.70,347.00,334.35,317.58,325.28,330.43,332.78,328.95,350.12,348.84,145.31,,215.18,340.90,351.96,329.10,350.11,346.30,342.36,339.94,331.02,322.92,314.43,319.95,322.92,285.40,228.19,,190.60,308.32,312.70,305.11,302.35,310.70,321.81,336.32,346.13,347.07,349.02,341.83,332.48,321.05,312.47,326.13,318.34,281.87,318.37,333.84,342.35,346.88,353.81,352.57,354.86,352.27,,,
2000-05-24 22:06:10.472000,L7,,298.06,301.84,294.82,203.29,294.82,213.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.84,320.40,333.55,333.96,327.43,307.82,329.99,,,,,,,,,,,,,,,,,,,232.20,233.17,234.95,236.81,235.23,217.54,216.63,228.92,,,,,,,,,,,,,,,,,,,,,192.35,261.44,217.71,,,,,,,,,,,,233.41,279.43,263.20,251.89,271.58,281.90,,,,,,,,,,,,,,,256.72,259.16,304.69,300.38,307.98,,,
2000-07-11 22:05:41.532000,L7,,,,,,,,,,,,,,,,,,,,,,,,251.30,234.49,286.96,284.03,287.22,,,,,,,,,,198.24,350.41,343.22,337.20,313.24,344.52,338.68,326.69,334.50,337.03,269.48,287.93,339.23,309.88,284.57,298.04,292.17,281.48,300.84,274.07,297.01,267.79,,,,,,277.66,281.16,282.49,298.78,297.02,287.64,285.30,272.64,288.87,272.44,259.63,245.67,230.85,245.98,240.42,213.08,,,,247.88,258.21,232.67,205.97,,,,,,,,,190.18,204.18,233.97,,,,,,,,,197.22,293.21,276.98,280.48,288.85,294.98,272.78,297.16,308.05,280.14,239.41,,,,297.36,274.30,205.67,252.99,292.19,288.26,310.35,316.28,320.04,325.71,327.27,,,
2000-07-27 22:05:24.302000,L7,328.47,149.89,,,345.58,336.35,335.64,330.90,326.46,336.93,356.86,377.74,198.94,,,,,303.59,313.30,313.87,339.98,312.11,315.23,320.85,337.79,355.82,357.63,346.90,328.87,335.57,333.51,331.36,325.78,330.63,220.50,195.37,293.07,370.30,390.75,398.87,362.77,368.85,379.79,363.93,356.25,364.88,367.29,380.99,356.31,358.95,366.50,364.77,363.78,372.41,368.75,366.58,365.81,363.54,362.28,360.50,359.24,357.44,353.01,335.42,355.88,365.80,370.78,371.32,370.10,370.67,372.29,379.12,367.86,371.01,337.54,345.83,319.01,333.62,335.77,344.04,330.26,343.24,338.79,352.09,351.89,347.73,346.67,201.30,,240.84,340.54,353.74,309.00,348.64,354.30,352.49,231.52,328.71,318.48,310.74,310.74,321.50,319.13,236.66,148.14,183.44,313.85,318.04,312.72,310.95,296.46,317.83,338.69,356.91,349.95,348.80,355.21,332.33,316.51,317.57,334.64,321.35,285.47,321.56,337.46,355.13,352.21,350.94,350.85,354.99,355.30,,,312.00
