dates,satname,nzd0353-0000,nzd0353-0001,nzd0353-0002,nzd0353-0003,nzd0353-0004,nzd0353-0005,nzd0353-0006,nzd0353-0007,nzd0353-0008,nzd0353-0009,nzd0353-0010,nzd0353-0011,nzd0353-0012,nzd0353-0013,nzd0353-0014,nzd0353-0015,nzd0353-0016,nzd0353-0017,nzd0353-0018,nzd0353-0019,nzd0353-0020,nzd0353-0021,nzd0353-0022,nzd0353-0023,nzd0353-0024,nzd0353-0025,nzd0353-0026,nzd0353-0027,nzd0353-0028,nzd0353-0029,nzd0353-0030,nzd0353-0031,nzd0353-0032,nzd0353-0033,nzd0353-0034,nzd0353-0035,nzd0353-0036,nzd0353-0037,nzd0353-0038,nzd0353-0039,nzd0353-0040,nzd0353-0041,nzd0353-0042,nzd0353-0043,nzd0353-0044,nzd0353-0045,nzd0353-0046,nzd0353-0047,nzd0353-0058,nzd0353-0059,nzd0353-0060,nzd0353-0061,nzd0353-0062,nzd0353-0063,nzd0353-0064,nzd0353-0065,nzd0353-0066,nzd0353-0067,nzd0353-0068,nzd0353-0069,nzd0353-0070,nzd0353-0071,nzd0353-0072,nzd0353-0088,nzd0353-0089,nzd0353-0090,nzd0353-0091,nzd0353-0092,nzd0353-0093,nzd0353-0094,nzd0353-0095,nzd0353-0096,nzd0353-0097,nzd0353-0098,nzd0353-0099,nzd0353-0100,nzd0353-0101,nzd0353-0102,nzd0353-0103,nzd0353-0104,nzd0353-0105,nzd0353-0106,nzd0353-0107,nzd0353-0108,nzd0353-0109,nzd0353-0138,nzd0353-0139,nzd0353-0140,nzd0353-0141,nzd0353-0142,nzd0353-0143,nzd0353-0144,nzd0353-0145,nzd0353-0146,nzd0353-0147,nzd0353-0148,nzd0353-0149,nzd0353-0150,nzd0353-0151,nzd0353-0152,nzd0353-0153,nzd0353-0154,nzd0353-0155,nzd0353-0156,nzd0353-0157,nzd0353-0158,nzd0353-0054,nzd0353-0055,nzd0353-0056,nzd0353-0057,nzd0353-0073,nzd0353-0074,nzd0353-0075,nzd0353-0076,nzd0353-0077,nzd0353-0078,nzd0353-0079,nzd0353-0080,nzd0353-0081,nzd0353-0082,nzd0353-0083,nzd0353-0084,nzd0353-0085,nzd0353-0086,nzd0353-0087,nzd0353-0110,nzd0353-0111,nzd0353-0112,nzd0353-0113,nzd0353-0114,nzd0353-0118,nzd0353-0119,nzd0353-0120,nzd0353-0121,nzd0353-0122,nzd0353-0123,nzd0353-0125,nzd0353-0126,nzd0353-0127,nzd0353-0128,nzd0353-0129,nzd0353-0130,nzd0353-0131,nzd0353-0132,nzd0353-0133,nzd0353-0134,nzd0353-0135,nzd0353-0136,nzd0353-0137,nzd0353-0051,nzd0353-0052,nzd0353-0053,nzd0353-0115,nzd0353-0116,nzd0353-0124,nzd0353-0162,nzd0353-0159,nzd0353-0160,nzd0353-0117,nzd0353-0161,nzd0353-0048,nzd0353-0049,nzd0353-0050
1999-08-28 21:53:59.920000,L7,,,,,,,,,,,,,,,,286.79,322.77,318.35,290.33,,,,254.62,328.67,,212.94,221.36,307.06,269.12,331.17,345.43,261.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.86,350.15,249.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.19,419.35,449.75,442.11,,,,,,,,,,,334.69,377.01,373.31,363.78,161.58,,,,,,,,,,,,,,
1999-09-29 21:54:04.102000,L7,479.91,485.30,479.58,487.96,491.95,487.82,484.39,487.95,485.20,491.24,498.85,494.84,517.56,510.98,511.76,517.35,503.83,514.78,528.29,523.89,512.52,506.02,508.96,492.96,453.00,454.85,486.79,482.83,506.41,508.62,496.37,506.31,494.36,497.03,443.79,482.36,458.19,381.91,380.10,388.99,384.33,386.09,397.69,408.79,415.64,379.63,233.96,211.01,263.77,285.17,287.26,380.35,421.20,440.51,293.10,446.57,384.23,346.70,332.97,331.14,330.91,295.07,340.43,388.70,384.85,379.43,381.62,385.20,246.34,262.00,240.43,246.78,241.31,260.49,269.82,378.01,380.93,396.21,416.91,419.05,423.14,519.88,529.13,535.61,534.42,532.68,527.27,518.92,435.89,316.80,368.86,475.10,480.87,486.58,495.01,501.64,514.43,510.23,533.72,525.28,483.26,471.73,496.78,482.70,503.32,536.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.08,,206.82,415.55,201.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.47,352.73,,,,,,,,,154.44,252.85,231.61,231.36,217.89,164.59,,,,,,,,338.36,,,,,317.23,,,,
2000-01-19 21:53:49.771000,L7,,,,,,367.57,365.99,436.73,437.55,404.67,335.50,218.94,336.92,392.51,350.52,356.37,406.03,415.18,405.05,401.48,375.96,410.07,400.19,416.87,412.62,289.18,229.84,297.75,365.17,182.26,302.38,271.89,324.28,212.90,198.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.09,207.10,253.58,305.88,293.54,314.28,329.10,357.11,393.59,385.54,396.29,345.66,255.17,463.00,344.35,,,,324.82,267.33,318.20,208.32,314.82,320.81,329.02,291.79,290.13,,,,,,,,,,,,,,,,,,,,,,,,,,402.93,265.95,399.40,418.13,416.58,456.65,389.97,323.05,464.15,411.69,,463.70,412.26,327.59,436.55,435.77,434.27,279.58,417.87,412.39,405.75,228.96,237.83,366.75,,,,430.52,430.34,,223.49,,461.47,363.34,285.97,,,
2000-01-26 22:00:02.226000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.58,435.42,444.64,471.66,476.13,477.34,482.53,516.52,491.00,511.41,527.67,486.72,472.67,,,447.76,448.56,431.08,415.37,417.48,266.74,273.02,258.88,272.33,397.07,401.69,397.96,408.08,418.30,415.38,467.60,504.18,502.38,503.14,498.03,496.05,499.38,338.18,232.37,198.87,196.93,278.88,253.39,242.07,252.84,266.62,273.49,262.95,282.51,274.45,233.15,214.31,225.59,218.04,215.13,237.76,241.10,269.46,,,491.60,492.55,,,,,,,,,,,,,448.07,460.53,457.76,497.03,502.36,507.68,513.63,510.59,479.40,468.43,475.99,439.95,411.93,480.74,472.48,467.20,448.84,453.54,459.23,432.40,403.04,387.55,389.38,380.64,381.88,365.42,357.40,,,,525.43,513.91,486.73,432.83,269.57,364.31,500.77,401.81,,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.73,440.22,448.64,479.94,483.12,484.03,485.80,457.95,445.20,428.86,540.06,495.59,473.64,,,450.86,449.02,436.70,420.22,258.27,265.73,272.90,260.00,279.23,397.36,403.46,403.98,412.73,424.86,417.48,497.88,507.26,505.77,508.36,506.73,498.62,499.79,344.81,236.93,208.76,198.97,290.78,280.98,272.45,278.24,269.25,283.31,268.02,287.61,277.33,232.73,216.78,231.88,230.37,231.82,254.17,261.92,269.20,,,498.74,505.89,,,,,,,,,,,,,456.52,465.23,464.54,501.68,507.62,515.82,512.39,524.71,489.65,481.85,483.34,460.17,428.68,494.82,483.04,471.39,454.78,458.73,471.25,440.31,408.83,395.59,393.88,384.21,384.70,372.81,359.26,,,,520.52,516.57,496.92,320.22,274.05,296.64,502.96,330.35,,,
2000-02-27 21:59:52.393000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.44,480.61,447.58,,,440.03,435.94,445.19,470.64,475.09,479.53,477.50,454.03,440.47,423.58,541.91,492.91,484.34,484.22,,448.19,450.71,441.50,422.18,417.01,419.76,400.55,401.57,403.99,401.21,405.30,397.92,423.10,413.15,413.35,479.47,501.53,501.71,501.53,492.11,498.87,487.19,339.39,229.31,437.01,440.15,427.76,425.82,408.77,405.04,395.38,388.56,392.06,393.95,395.71,226.29,207.68,226.54,367.55,363.33,355.34,263.46,270.52,,,502.01,499.97,,,,,,,,,,,,,461.24,465.90,466.32,498.18,501.31,509.85,508.89,,485.08,473.92,485.27,488.10,508.56,493.07,479.95,465.78,449.93,457.68,461.28,528.39,521.77,493.79,504.57,385.58,383.89,368.85,358.54,,,,519.87,522.36,492.08,311.12,271.07,289.19,519.64,321.88,,,
2000-03-14 21:59:47.162000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.30,446.04,454.93,482.95,484.26,483.39,490.18,460.46,453.38,436.40,543.27,504.73,,,,460.41,286.57,445.09,436.97,438.64,441.13,502.59,518.58,322.49,312.11,,,,,,,,,,,,,457.78,453.49,452.27,435.15,417.56,408.89,403.10,400.44,388.82,388.69,394.32,396.66,395.93,393.11,398.98,360.42,355.30,377.78,370.71,370.93,370.16,,,500.49,502.53,,,,,,,,,,,,,462.85,475.11,469.95,,,,,,497.61,490.18,488.40,478.43,441.37,496.83,483.41,474.06,537.33,526.89,519.81,507.83,492.65,493.78,529.80,505.17,502.53,486.29,414.96,,,,,,502.32,399.41,374.05,354.42,,413.49,,,
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.60,477.25,445.70,,,519.23,444.23,447.81,478.21,477.56,481.48,480.38,455.19,447.64,430.30,542.96,494.85,485.06,,,453.59,449.38,434.34,421.76,420.41,419.52,403.12,402.56,401.61,396.62,396.67,387.82,396.46,415.51,410.19,472.03,502.90,501.55,499.26,493.24,490.87,495.24,335.24,,,,288.76,202.54,195.38,272.92,269.25,273.22,265.69,282.98,232.13,222.19,374.89,222.21,222.00,219.03,243.87,345.73,363.62,,,493.10,507.63,,,,,,,,,,,,,419.16,470.78,466.31,498.10,501.94,509.04,509.80,512.28,480.29,473.90,477.01,453.23,442.69,489.73,474.97,466.50,448.39,454.85,457.48,437.45,408.03,395.73,390.11,384.94,383.66,371.35,360.00,,,,516.25,509.95,490.51,315.29,365.75,376.25,500.59,323.84,,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.77,440.19,449.05,475.92,480.05,485.68,490.02,465.82,449.45,434.51,442.75,499.55,,,,444.43,428.44,398.65,392.88,386.31,379.43,192.14,203.24,252.77,267.79,329.77,337.19,352.93,386.71,343.13,347.92,322.22,375.41,349.37,336.94,394.96,414.52,333.15,,,,,,177.80,262.49,274.68,278.31,271.56,293.22,217.36,226.41,215.90,229.67,189.12,222.46,247.77,257.48,269.72,,500.90,507.27,513.72,,,,,,,,,,,,,,466.42,451.93,413.12,377.07,438.77,438.37,494.33,389.98,392.67,395.36,392.10,401.01,421.82,464.67,468.92,453.88,470.74,466.83,441.97,410.19,393.61,388.20,384.22,386.02,286.73,363.53,,,,487.03,421.32,503.46,302.51,269.73,297.21,488.71,340.42,,,
