dates,satname,nzd0443-0000,nzd0443-0001,nzd0443-0002,nzd0443-0003,nzd0443-0005,nzd0443-0006,nzd0443-0007,nzd0443-0008,nzd0443-0009,nzd0443-0010,nzd0443-0011,nzd0443-0012,nzd0443-0013,nzd0443-0014,nzd0443-0015,nzd0443-0016,nzd0443-0017,nzd0443-0018,nzd0443-0019,nzd0443-0020,nzd0443-0021,nzd0443-0022,nzd0443-0023,nzd0443-0024,nzd0443-0025,nzd0443-0026,nzd0443-0027,nzd0443-0028,nzd0443-0004
1999-11-21 22:12:47.994000,L7,,,,,208.01,220.23,238.37,243.84,254.47,247.03,258.50,257.70,272.03,271.40,267.95,266.52,271.29,260.41,289.22,287.38,299.82,290.03,277.70,294.16,266.87,265.12,275.94,290.77,
2000-11-07 22:10:17.299000,L7,,,,,,,,,,,,,,,,,,,,,,258.09,243.18,,,,,,
2001-02-27 22:10:18.214000,L7,,,,,,,,,,,,,,,,,,,,246.86,277.27,252.99,241.72,,,,,,
2002-01-20 22:15:01.686000,L7,,,,,,,,,,,,,,,,,,,,272.60,285.27,270.24,263.19,276.19,269.37,260.82,270.76,289.23,
2002-01-29 22:08:45.213000,L7,,,,,,,,,,,,,,,,,,,,249.25,271.03,255.91,241.60,,,,,,
2002-10-28 22:07:46.304000,L7,,,,,,,,,,,,,,,,156.89,224.60,182.77,,,242.99,218.69,229.72,,,,256.94,244.23,
2002-12-31 22:08:20.096000,L7,,,,,,,,,,,,,,,,,,,,260.88,274.35,252.58,244.92,259.70,,,,,
2003-02-24 22:14:49.328000,L7,,,,,,,,,,,,,,,,,,,,220.40,283.69,268.81,248.73,,,,,233.78,
2003-08-11 22:03:03.501000,L5,,,,,,,,,,,,,,219.16,224.80,226.13,206.13,230.30,,,,,,,,,,,
2003-08-27 22:03:21.662000,L5,,,,,,225.12,215.73,218.71,219.93,211.08,216.72,238.47,155.24,220.20,226.73,220.84,221.89,235.32,,229.40,242.44,237.15,223.26,219.88,229.94,220.22,216.78,,
2003-12-10 21:58:29.659000,L5,,,,,195.97,231.54,255.65,265.78,263.81,264.30,264.18,268.68,268.99,266.66,260.53,259.21,260.92,264.59,254.87,274.55,279.52,265.89,264.53,266.47,264.73,260.72,260.96,266.43,
2004-01-18 22:04:57.325000,L5,,,,,,181.08,214.26,223.24,227.83,228.84,232.44,230.97,205.89,,,,,,,,,,,,,,,,
2004-01-27 21:58:50.060000,L5,,,,,,196.00,224.91,237.35,242.03,245.74,247.24,257.79,257.50,251.05,246.20,244.14,213.19,,,,,,,223.03,227.42,230.12,228.42,250.11,
2004-02-19 22:05:07.713000,L5,,,,,,,219.91,235.13,224.22,227.42,231.52,239.78,232.08,228.37,227.16,228.49,226.40,230.10,,,,,,,,,,,
2004-05-18 22:00:38.480000,L5,,,,,,,,,,,,,,,231.95,237.74,227.29,187.88,,234.32,244.76,240.52,225.39,233.09,234.58,225.64,222.63,,
2004-08-22 22:03:12.259000,L5,,,,,,,,,,,,,,,,,,,,171.13,242.61,233.63,211.51,223.30,234.45,222.81,224.01,,
2004-09-30 22:10:21.832000,L5,,,,,,,,214.02,218.33,176.33,212.44,225.30,154.10,,,,,,,,,,,,,,,,
2004-10-09 22:04:22.371000,L5,,,,,,,,,,,,,,,,,,,,,237.93,224.62,220.94,223.77,228.97,221.49,218.44,,
2004-11-26 22:05:17.306000,L5,347.97,329.89,305.51,290.56,187.61,225.07,239.58,299.49,327.50,310.75,313.88,311.79,328.14,317.50,321.50,335.25,327.37,329.50,346.81,307.92,320.93,336.91,293.26,308.78,306.58,293.80,344.73,357.88,
2005-02-14 22:06:33.160000,L5,,,,,,196.29,215.27,253.12,262.32,265.42,260.68,265.85,267.78,259.94,253.28,252.32,247.47,252.66,235.43,266.31,277.22,265.15,259.26,259.55,257.91,252.41,253.15,256.04,
2005-02-21 22:12:51.062000,L5,,,,,,,,228.91,239.15,236.07,234.88,247.44,248.64,241.28,240.17,238.02,231.16,240.89,,,,,,,,,,,
2005-03-02 22:06:47.890000,L5,,,,,,,,216.28,231.07,232.34,232.23,243.04,240.56,239.98,235.76,233.09,231.42,234.79,,198.01,239.59,227.79,216.57,220.02,229.65,223.26,217.44,,
2005-06-13 22:13:43.158000,L5,,,,,,,,,,,,,,,,,,,,232.50,249.80,242.91,236.60,227.87,236.23,224.85,213.20,,
2005-06-29 22:13:46.730000,L5,,,,,,,,,,,,,,226.11,226.96,228.79,228.58,238.82,,243.16,258.21,255.32,245.38,241.46,247.14,238.25,227.19,,
2005-07-08 22:07:39.349000,L5,,,,,,,,,,,,,,,,,,,,196.12,249.33,241.85,225.32,229.63,236.81,219.14,209.45,,
2005-08-09 22:07:58.986000,L5,,,,,,,,,223.03,230.45,241.89,246.66,241.61,235.33,230.21,229.24,229.74,244.26,,230.29,253.95,244.64,236.89,242.48,228.67,228.70,227.97,,
2005-09-10 22:08:07.620000,L5,,,,,,189.19,195.08,224.22,265.44,274.08,277.29,291.87,288.16,283.26,273.98,271.85,271.30,274.81,270.92,277.83,282.01,273.50,264.23,268.12,264.66,260.59,257.25,265.39,
2005-11-13 22:08:20.468000,L5,,,,,164.91,207.57,195.58,245.88,277.74,283.72,284.88,291.56,296.44,284.76,277.55,277.50,277.73,286.52,278.18,282.42,287.37,280.12,275.11,277.25,278.75,269.24,270.29,288.42,
2006-01-23 22:16:11.550000,L5,,,,,,190.63,192.79,223.55,263.09,267.75,263.67,270.24,276.13,268.78,264.95,264.17,263.86,269.89,257.02,268.39,276.08,263.63,260.20,265.52,259.91,255.50,254.46,264.25,
