dates,satname,nzd0320-0000,nzd0320-0001,nzd0320-0002,nzd0320-0003,nzd0320-0004,nzd0320-0005,nzd0320-0006,nzd0320-0007,nzd0320-0008,nzd0320-0009,nzd0320-0010,nzd0320-0011,nzd0320-0012,nzd0320-0013,nzd0320-0014,nzd0320-0015,nzd0320-0016,nzd0320-0017,nzd0320-0018,nzd0320-0019,nzd0320-0020,nzd0320-0021,nzd0320-0022,nzd0320-0023
1999-08-17 22:12:02.089000,L7,411.96,391.72,412.47,437.15,434.29,452.60,508.97,390.76,424.98,414.16,409.76,390.14,421.78,399.12,401.39,413.43,401.33,391.42,395.77,424.00,430.06,430.05,415.48,429.42
1999-08-26 22:05:56.841000,L7,198.96,218.71,252.33,255.61,244.32,227.54,,,,,,,253.58,308.67,277.96,282.28,214.88,255.59,270.01,316.90,316.12,252.70,,
1999-09-27 22:06:00.877000,L7,191.04,205.76,241.77,241.33,237.30,204.81,,,,,,,,,,,,,,,,,,
1999-11-21 22:12:00.068000,L7,285.49,305.23,291.80,272.15,267.75,267.11,246.19,279.92,274.99,286.57,308.08,310.49,329.54,329.22,301.79,311.05,310.60,300.58,312.24,331.81,336.70,281.13,239.80,314.13
1999-12-16 22:05:57.846000,L7,329.94,296.06,277.39,259.17,246.09,207.50,198.48,232.28,257.92,270.06,289.66,284.68,306.67,311.08,281.45,279.27,284.69,275.73,297.54,,,,,
2000-02-25 22:11:49.490000,L7,328.23,307.69,295.62,270.25,265.13,283.28,331.80,295.81,296.37,302.52,324.25,316.06,337.47,340.30,309.56,309.90,318.19,317.43,322.29,358.03,354.71,311.06,259.59,264.95
2000-03-05 22:05:36.285000,L7,191.09,189.36,219.79,239.56,230.43,204.04,,,,,,,,,,,,,,,,,,
2000-03-21 22:05:37.143000,L7,204.11,202.34,248.32,250.37,244.47,222.38,,,,,,,,,,,245.94,251.64,209.21,,,,,
2000-04-13 22:11:30.253000,L7,286.54,307.91,292.53,263.59,260.70,272.28,210.98,288.19,259.29,278.82,303.13,293.03,319.66,317.22,287.07,302.98,299.80,284.69,307.34,320.28,315.20,230.75,256.35,255.80
2001-01-03 22:03:24.303000,L7,325.95,306.95,322.54,276.81,286.27,325.79,280.47,314.08,306.46,341.56,334.58,316.23,350.01,330.11,310.50,335.13,333.37,294.81,322.39,357.72,337.28,249.43,255.53,271.95
2001-01-10 22:09:39.742000,L7,283.02,311.46,270.08,286.21,284.59,246.33,240.11,288.47,272.76,303.20,320.14,311.27,330.89,332.63,316.40,295.74,317.95,304.88,313.70,362.08,328.72,266.24,,
2001-01-19 22:03:31.103000,L7,350.71,345.05,343.72,343.94,354.79,298.07,300.68,344.29,333.94,327.06,355.65,357.56,358.00,357.55,354.34,361.61,357.09,360.13,371.26,438.11,379.61,412.02,381.79,406.24
2001-02-20 22:03:24.667000,L7,323.35,304.33,277.16,265.25,253.84,283.99,275.67,283.40,282.85,285.70,294.41,310.41,330.32,334.67,328.69,297.79,295.59,281.46,356.49,351.40,320.62,300.32,256.92,266.25
2001-03-31 22:09:19.667000,L7,279.85,308.04,269.25,265.47,260.90,288.67,232.36,241.09,230.20,251.70,298.08,257.73,315.69,311.23,282.34,290.98,294.91,276.32,307.34,289.66,,,,
2001-06-19 22:08:41.548000,L7,208.10,203.09,246.36,250.41,,,,,,,,,,,,,,,,,,,,
2001-07-05 22:08:33.658000,L7,334.34,315.98,282.41,277.51,300.84,308.78,341.01,339.16,285.09,336.99,333.96,331.35,339.45,329.87,310.10,305.60,312.69,305.35,333.85,358.77,326.61,357.30,329.99,293.61
2001-08-31 22:01:41.241000,L7,325.57,295.74,288.33,265.86,261.82,280.36,236.47,289.23,269.99,299.47,313.58,309.67,319.78,320.36,290.69,323.14,323.95,317.05,336.88,367.03,359.73,360.11,300.51,329.14
2001-10-02 22:01:16.521000,L7,315.01,292.62,265.92,263.79,264.76,251.22,191.75,284.81,261.69,292.07,295.39,306.43,313.14,319.84,292.49,297.85,284.53,280.85,299.85,338.44,188.24,270.51,255.37,257.52
2001-11-03 22:01:22.838000,L7,276.22,296.10,280.37,262.53,264.38,256.69,213.89,244.70,267.52,272.13,295.73,295.89,317.71,327.85,284.06,299.38,292.14,287.81,306.18,282.83,,,,
2002-01-22 22:01:52.791000,L7,,,,,,,,,231.19,259.52,264.12,,,298.34,272.96,245.86,238.13,271.06,290.45,,,,,
2002-01-29 22:07:57.272000,L7,277.05,222.61,239.73,244.39,237.94,205.93,,,,,,,,,,,,,,,,,,
2002-02-07 22:01:54.032000,L7,265.94,287.65,290.62,,,,212.48,221.10,227.33,259.41,262.76,255.67,300.07,,,,213.67,264.06,161.83,184.62,316.02,174.53,213.13,255.25
2002-03-02 22:08:08.883000,L7,,,,,,,,,237.24,304.43,334.68,421.08,427.61,421.76,419.16,442.14,438.48,434.26,444.14,460.04,475.77,465.75,494.58,508.70
2002-07-24 22:07:26.560000,L7,227.94,235.37,264.25,264.76,261.02,221.64,,,,,,,,302.67,284.93,284.28,200.72,257.10,231.92,298.17,314.98,243.39,258.98,269.72
2002-10-28 22:06:58.141000,L7,272.72,289.47,,,,,,,,,,,,,,,,,,,,,,
2002-12-15 22:07:26.545000,L7,234.56,282.51,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 22:07:32.046000,L7,210.99,211.85,253.31,259.43,,,,,,,,278.38,301.37,312.89,296.56,272.15,269.61,268.98,296.44,330.21,323.56,248.98,261.53,265.96
2003-01-25 22:01:30.681000,L7,,,,,283.89,275.54,322.51,547.76,372.05,381.22,558.93,418.03,531.93,536.29,541.34,532.98,506.51,503.45,375.14,407.54,401.75,389.87,297.91,361.86
2003-03-14 22:01:44.544000,L7,282.46,294.75,253.82,255.51,244.99,211.33,,,,,251.36,297.46,309.57,304.89,294.65,285.08,288.58,275.16,300.16,320.02,313.88,246.45,,
2003-03-21 22:07:51.717000,L7,201.44,202.51,245.59,234.98,236.29,209.90,,,,,,,,,,,,,,,,,,
2003-04-15 22:01:45.971000,L7,331.15,304.44,299.43,297.57,296.53,292.53,233.99,293.24,296.98,295.23,304.28,324.08,338.43,324.52,293.57,287.72,290.66,276.71,301.84,370.96,379.75,359.80,264.54,270.65
2003-05-24 22:07:53.001000,L7,394.91,382.80,383.13,411.13,413.89,399.91,397.39,392.19,356.26,348.22,317.80,324.47,338.66,395.52,418.95,407.03,309.45,301.50,372.41,441.14,410.29,420.26,449.71,440.52
2003-08-13 21:49:56.757000,L5,314.48,282.52,264.63,258.07,251.13,245.10,184.17,,,,,217.00,278.85,299.99,285.75,272.66,262.44,258.49,269.96,318.15,334.37,304.22,251.95,294.95
2003-08-29 21:50:14.179000,L5,,361.69,334.90,321.41,316.33,327.53,310.15,316.17,300.47,307.00,312.14,323.04,326.13,330.44,320.62,303.45,298.94,294.33,317.55,375.56,393.39,380.80,323.19,331.89
2003-09-05 21:56:31.676000,L5,369.86,347.20,333.74,309.70,287.90,320.57,293.57,315.09,304.25,314.13,317.52,327.71,328.78,342.58,326.33,307.07,310.28,295.90,311.30,378.19,382.01,377.99,306.46,333.89
2003-10-16 21:50:55.996000,L5,342.97,323.80,286.59,283.52,272.26,268.41,226.84,289.58,276.24,294.90,306.72,319.91,341.48,356.91,330.65,310.40,308.59,300.45,327.17,389.33,396.55,389.61,301.49,342.23
2003-10-23 21:57:12.504000,L5,355.60,339.94,311.92,293.60,276.67,313.20,309.60,307.66,293.95,308.72,318.76,327.78,338.36,334.20,316.95,306.32,306.08,285.74,296.52,334.55,342.15,331.67,292.87,322.81
2004-01-04 21:51:46.048000,L5,384.88,377.61,374.00,384.76,413.18,394.58,380.10,382.47,357.68,348.91,333.55,340.35,342.33,346.64,326.35,317.32,329.11,309.27,307.80,405.50,391.44,376.83,321.10,340.67
2004-01-27 21:58:02.115000,L5,372.38,360.31,294.60,291.16,283.94,264.82,224.24,285.53,270.26,291.88,311.82,327.65,338.63,348.85,326.49,314.85,305.89,287.71,303.25,335.28,339.99,322.69,283.69,328.64
2004-04-09 21:52:31.725000,L5,345.36,325.54,285.99,288.13,273.53,269.50,229.75,292.25,276.45,291.51,302.07,317.84,324.93,336.91,320.74,299.82,297.55,291.06,305.55,378.85,378.70,371.45,292.34,334.39
2004-05-18 21:59:50.535000,L5,237.30,255.08,268.15,264.82,256.34,244.55,,,,,,180.97,281.62,297.79,294.69,267.52,255.19,240.17,265.93,320.02,326.68,231.66,253.35,292.99
2004-06-12 21:54:23.537000,L5,,,,,,,,,,,,,,,,,,205.12,231.04,304.33,307.99,196.42,,
2004-07-14 21:55:18.989000,L5,232.67,230.28,262.46,259.98,250.49,242.96,,,,,,,,,278.42,215.67,247.53,215.70,247.91,305.14,318.33,215.31,236.14,233.44
2004-08-15 21:56:01.630000,L5,236.64,241.42,262.11,260.57,249.96,239.82,,,,,,180.41,265.59,282.67,273.84,261.57,245.61,233.02,250.55,306.26,318.20,222.75,257.28,285.10
2004-08-22 22:02:24.313000,L5,210.95,229.17,246.42,245.04,234.17,223.78,,,,,,,268.24,276.47,263.99,252.33,201.88,224.00,247.98,285.80,301.48,209.77,237.13,273.37
2004-10-02 21:57:14.880000,L5,307.68,253.91,251.24,251.41,251.70,240.77,197.24,257.26,237.00,253.21,260.74,283.03,283.39,288.73,271.19,,,208.32,253.63,299.37,307.08,218.50,252.04,285.69
2004-10-18 21:57:35.668000,L5,312.13,253.14,257.28,255.64,243.54,228.34,189.07,253.21,,,,,271.15,286.19,269.32,184.79,232.89,220.35,248.12,302.87,303.97,209.80,256.22,287.13
2004-12-21 21:58:48.236000,L5,304.02,278.91,245.19,236.42,235.26,228.58,,,,,,,,,186.79,261.38,247.54,228.41,241.11,285.35,298.84,193.12,235.83,274.20
2005-01-29 22:05:29.709000,L5,293.43,229.20,244.41,242.53,232.09,222.35,178.86,243.71,219.68,247.58,175.60,,283.74,286.53,272.24,200.26,246.90,232.24,246.14,290.73,298.88,194.71,215.98,266.79
2005-02-14 22:05:45.214000,L5,338.49,314.51,285.43,284.70,270.70,261.93,244.80,291.45,282.05,285.26,298.53,308.17,314.75,323.22,309.46,287.50,283.48,286.14,308.66,348.19,347.13,338.16,290.85,326.19
