dates,satname,nzd0303-0000,nzd0303-0001,nzd0303-0002,nzd0303-0003,nzd0303-0004,nzd0303-0005,nzd0303-0006,nzd0303-0007,nzd0303-0008,nzd0303-0009,nzd0303-0010,nzd0303-0011,nzd0303-0012,nzd0303-0013,nzd0303-0014,nzd0303-0015,nzd0303-0016,nzd0303-0017,nzd0303-0018,nzd0303-0019,nzd0303-0020,nzd0303-0021,nzd0303-0022,nzd0303-0023,nzd0303-0024,nzd0303-0025,nzd0303-0026,nzd0303-0027,nzd0303-0028,nzd0303-0029,nzd0303-0030,nzd0303-0031,nzd0303-0032,nzd0303-0033,nzd0303-0034,nzd0303-0035,nzd0303-0036,nzd0303-0037,nzd0303-0038,nzd0303-0039,nzd0303-0040,nzd0303-0041,nzd0303-0042,nzd0303-0043,nzd0303-0044,nzd0303-0045,nzd0303-0046,nzd0303-0047,nzd0303-0048,nzd0303-0049,nzd0303-0050,nzd0303-0051,nzd0303-0052,nzd0303-0053,nzd0303-0054,nzd0303-0055,nzd0303-0056,nzd0303-0057,nzd0303-0058,nzd0303-0059,nzd0303-0060,nzd0303-0061,nzd0303-0062,nzd0303-0063,nzd0303-0064,nzd0303-0065,nzd0303-0066,nzd0303-0067,nzd0303-0068,nzd0303-0069,nzd0303-0070,nzd0303-0071,nzd0303-0072,nzd0303-0073,nzd0303-0074,nzd0303-0075,nzd0303-0076,nzd0303-0077,nzd0303-0078,nzd0303-0079,nzd0303-0080,nzd0303-0081,nzd0303-0082,nzd0303-0083,nzd0303-0084,nzd0303-0085,nzd0303-0086,nzd0303-0087,nzd0303-0088,nzd0303-0089,nzd0303-0090,nzd0303-0091,nzd0303-0092,nzd0303-0093,nzd0303-0094,nzd0303-0095,nzd0303-0096,nzd0303-0097,nzd0303-0098,nzd0303-0099,nzd0303-0100,nzd0303-0101,nzd0303-0102,nzd0303-0103,nzd0303-0104,nzd0303-0105,nzd0303-0106,nzd0303-0107,nzd0303-0108,nzd0303-0109,nzd0303-0110,nzd0303-0111,nzd0303-0112,nzd0303-0113,nzd0303-0114,nzd0303-0115,nzd0303-0116,nzd0303-0117,nzd0303-0118,nzd0303-0119,nzd0303-0120,nzd0303-0121,nzd0303-0122,nzd0303-0123,nzd0303-0124,nzd0303-0125,nzd0303-0126,nzd0303-0127,nzd0303-0128,nzd0303-0129,nzd0303-0130,nzd0303-0131,nzd0303-0132,nzd0303-0133,nzd0303-0134,nzd0303-0135,nzd0303-0136,nzd0303-0137,nzd0303-0138,nzd0303-0139,nzd0303-0140,nzd0303-0141,nzd0303-0142,nzd0303-0143,nzd0303-0144,nzd0303-0145,nzd0303-0146,nzd0303-0147,nzd0303-0148,nzd0303-0149,nzd0303-0150,nzd0303-0151,nzd0303-0152,nzd0303-0153,nzd0303-0154,nzd0303-0155,nzd0303-0156,nzd0303-0160,nzd0303-0161,nzd0303-0162,nzd0303-0163,nzd0303-0164,nzd0303-0165,nzd0303-0166,nzd0303-0167,nzd0303-0168,nzd0303-0169,nzd0303-0170,nzd0303-0171,nzd0303-0172,nzd0303-0173,nzd0303-0174,nzd0303-0175,nzd0303-0176,nzd0303-0177,nzd0303-0178,nzd0303-0179,nzd0303-0157,nzd0303-0158,nzd0303-0159,nzd0303-0180,nzd0303-0181
1999-08-03 21:59:44.522000,L7,360.59,387.15,431.93,398.37,424.83,467.34,469.01,473.12,467.17,454.72,459.47,426.18,422.72,415.94,422.47,414.91,425.95,432.73,447.86,435.40,435.42,431.48,428.70,363.61,402.28,402.87,393.48,430.36,444.69,440.79,446.21,452.46,436.88,452.79,444.87,449.50,448.84,446.63,438.49,451.78,311.46,348.35,322.93,299.88,297.51,352.20,432.24,393.52,440.52,459.16,465.58,466.52,466.63,451.26,442.08,469.17,469.60,450.10,456.50,455.14,442.69,445.68,435.38,434.15,437.94,434.94,449.84,450.58,461.12,460.41,460.66,460.59,450.54,452.34,451.07,453.17,430.45,431.91,411.84,416.49,427.54,439.06,426.29,417.84,428.06,345.99,387.04,374.47,399.46,394.23,429.41,445.32,471.30,479.63,486.15,492.58,491.84,483.77,493.62,484.42,487.98,488.23,483.55,485.16,486.88,495.07,491.42,485.32,491.05,492.27,482.80,474.67,491.00,494.19,497.57,498.57,495.21,493.02,479.28,472.79,479.28,455.72,441.02,443.45,422.54,424.98,454.02,446.76,457.88,448.75,441.56,450.16,458.25,458.74,454.86,447.03,462.37,429.97,441.59,442.02,442.00,441.60,432.87,440.99,402.87,414.92,436.20,406.57,395.28,381.84,262.46,380.55,326.24,296.78,328.29,262.61,279.13,307.87,319.78,320.15,321.85,326.63,351.99,357.36,369.93,377.15,394.29,400.24,404.45,406.19,408.34,415.37,444.68,446.38,297.12,383.27,414.28,,,,,
1999-08-28 21:53:35.950000,L7,346.99,421.20,421.47,439.70,441.08,467.84,469.29,471.22,471.74,474.27,467.52,419.37,418.70,403.55,420.29,416.81,429.42,434.51,441.36,432.22,436.30,424.41,428.82,364.93,403.37,405.34,394.31,434.51,443.48,438.35,456.64,452.35,444.91,450.87,449.14,451.45,466.13,456.09,439.40,447.15,438.85,435.62,415.92,422.47,416.81,443.69,438.75,405.69,448.47,463.52,479.37,471.94,474.31,459.09,446.67,476.98,489.21,449.62,458.77,455.73,465.92,449.98,472.49,463.87,455.81,523.48,463.52,454.65,470.16,520.94,466.83,471.12,462.97,457.44,454.08,454.15,436.19,436.28,427.34,432.02,422.60,440.89,439.96,438.31,452.10,359.96,388.59,383.09,414.38,466.56,461.70,452.19,465.67,495.38,500.97,496.62,503.29,488.39,488.84,485.24,487.53,490.53,488.79,488.36,491.75,495.34,496.95,489.92,490.19,487.51,487.67,474.20,490.72,521.12,521.79,513.23,502.82,497.23,480.03,471.40,477.26,438.27,430.51,440.43,432.95,451.36,443.22,461.03,462.57,450.02,450.10,448.39,448.36,457.40,463.32,456.86,472.32,468.48,475.36,457.55,459.57,476.90,467.46,457.32,443.02,440.09,441.70,414.22,417.85,493.78,478.36,493.11,433.15,462.26,418.66,394.41,371.00,432.07,443.07,441.52,444.86,336.66,368.23,414.89,429.13,417.05,493.73,483.51,487.11,462.50,415.04,461.33,460.07,284.09,298.90,313.57,367.33,417.09,353.99,316.00,468.84,
1999-09-29 21:53:40.155000,L7,289.61,367.11,378.88,377.26,402.28,443.72,445.56,437.12,449.51,447.73,408.63,408.90,404.61,398.92,403.87,398.08,416.03,425.76,421.20,422.80,419.79,411.26,417.95,353.48,394.78,382.92,389.62,418.93,432.36,429.48,437.39,435.84,428.39,438.93,435.62,437.58,433.53,430.20,425.84,427.82,421.30,408.20,392.99,337.99,389.67,424.17,432.32,397.25,436.86,450.08,464.56,463.61,468.29,452.93,436.96,463.39,308.79,357.99,357.03,450.74,450.04,451.05,433.23,415.67,442.53,432.72,450.66,454.54,459.17,461.32,465.25,464.57,453.37,454.25,453.52,448.59,430.57,431.91,422.51,418.70,431.71,443.55,437.61,443.31,438.17,346.73,388.61,379.02,408.86,430.94,441.76,420.01,445.50,466.25,483.25,486.51,482.65,478.11,479.75,475.74,477.55,483.89,479.76,480.81,483.06,485.43,489.33,486.34,485.85,489.02,482.20,475.21,489.14,494.90,500.74,503.65,499.85,494.22,478.24,464.61,472.83,434.83,414.80,426.26,423.73,433.38,436.27,441.81,435.67,435.41,438.90,440.55,444.79,446.09,452.82,446.75,441.89,441.70,444.14,443.67,442.94,438.72,441.83,436.02,423.63,431.87,432.44,419.55,408.00,408.62,407.15,400.01,380.95,363.40,354.19,274.81,279.63,,,,320.74,325.78,344.03,350.29,367.17,372.32,224.72,395.49,395.90,398.26,281.13,419.60,441.28,428.31,308.78,374.89,,,,,,
1999-11-16 21:53:32.114000,L7,417.05,455.10,449.62,452.73,464.66,478.81,483.27,483.91,488.29,486.08,482.83,477.98,459.58,451.62,440.40,436.09,449.97,455.89,456.26,452.56,451.10,448.64,448.90,433.42,426.24,428.33,438.41,451.27,455.67,457.01,459.47,458.56,451.11,451.87,456.21,464.87,468.87,467.81,454.55,458.09,451.84,457.05,454.56,451.46,447.10,462.38,455.25,443.17,462.82,468.49,479.13,479.82,476.52,478.27,474.61,481.59,486.20,473.00,468.49,473.96,472.01,475.97,470.41,471.65,464.93,465.21,473.94,475.99,475.11,477.92,477.10,478.29,474.11,472.70,476.61,472.79,462.43,471.63,461.29,468.04,477.96,476.98,476.98,475.28,476.98,468.19,466.25,468.05,469.43,473.81,474.25,471.67,480.96,491.53,505.03,511.87,508.83,507.31,508.22,500.79,504.20,503.60,500.51,500.03,503.25,505.50,506.92,500.86,506.17,502.70,501.01,498.92,505.39,512.50,518.75,518.61,519.56,516.00,498.59,494.94,494.19,476.34,459.35,465.35,472.76,466.04,458.26,466.05,464.19,458.59,462.11,470.31,474.78,480.97,481.64,482.70,479.17,482.21,486.32,494.88,483.76,475.27,464.82,453.45,454.97,440.92,446.46,451.99,446.50,451.21,451.94,,,511.84,387.66,395.83,479.05,477.03,437.62,,,,363.85,379.53,425.77,460.25,469.63,482.63,510.71,498.03,511.37,273.46,518.29,284.71,304.18,312.16,359.15,483.31,461.26,468.02,449.37,
1999-12-09 21:59:45.569000,L7,365.86,401.66,427.30,402.91,439.33,473.44,474.19,461.47,475.00,468.22,457.25,459.15,435.37,426.18,425.99,421.24,434.15,437.48,438.34,429.85,432.68,431.58,428.91,360.17,404.69,404.51,399.72,440.18,452.41,444.89,454.29,453.34,438.88,447.84,450.38,450.36,453.73,442.34,438.78,442.76,434.61,431.49,422.07,410.62,502.91,510.87,513.08,419.16,457.84,475.14,484.43,475.84,477.86,475.14,455.75,475.50,480.31,459.42,460.44,464.54,458.39,461.97,456.60,464.95,461.87,446.76,465.75,464.64,463.13,476.42,487.72,469.50,465.48,464.44,464.90,461.22,445.09,451.09,435.21,448.90,459.37,471.60,470.30,468.05,465.91,465.73,457.20,448.44,448.71,459.58,462.43,453.18,474.13,484.04,501.51,497.67,497.54,493.82,493.86,491.01,493.79,506.35,492.43,499.10,503.62,502.82,513.85,498.68,506.41,510.79,515.62,492.65,504.17,512.75,520.24,517.24,512.19,504.72,489.66,479.44,477.29,434.37,441.79,447.10,447.35,448.30,442.13,447.77,443.55,442.87,447.37,449.72,455.40,456.78,455.60,459.86,463.26,466.73,467.98,460.89,460.46,462.26,451.78,444.39,432.65,422.52,433.28,429.04,419.19,415.66,413.26,409.26,381.97,364.30,174.64,344.80,304.54,320.16,330.04,327.23,340.10,335.63,346.87,362.60,374.31,382.48,407.27,408.17,411.54,410.15,415.92,426.75,448.90,291.06,420.55,382.63,,,,,,
1999-12-25 21:59:40.109000,L7,369.67,413.78,424.32,437.19,455.94,477.66,472.67,465.75,483.36,468.93,460.92,450.01,446.67,437.64,424.77,421.14,427.74,437.06,437.60,432.95,433.50,436.31,404.53,387.17,403.19,407.78,408.39,439.83,449.88,452.95,451.95,443.39,431.06,449.39,466.63,456.62,,,,,288.22,312.88,308.31,346.16,336.10,349.62,,,,,475.79,345.22,342.68,348.72,219.56,249.89,454.71,458.30,451.76,453.90,457.44,472.88,455.10,458.62,454.84,447.73,463.18,460.47,463.90,455.05,,,214.31,454.19,450.21,433.01,427.32,442.35,441.13,449.96,,,,,,445.72,450.74,437.43,440.54,421.90,370.77,512.57,480.79,,490.87,484.93,490.01,480.76,492.84,482.47,482.63,460.23,360.52,331.87,429.47,489.71,491.86,490.17,494.57,489.47,490.01,485.44,498.39,512.37,523.04,508.30,506.44,504.60,483.20,470.57,478.33,440.52,440.34,442.63,440.40,438.86,438.22,443.77,446.49,444.25,449.24,450.03,450.91,455.92,454.52,458.67,460.95,466.44,466.29,457.81,457.42,455.61,442.65,440.14,432.24,425.53,432.84,422.39,426.33,410.32,415.54,402.11,384.93,367.59,165.43,352.41,340.10,280.12,332.56,350.50,346.42,338.07,355.43,271.39,381.07,392.68,445.77,467.38,221.25,423.50,421.90,449.12,455.06,454.61,306.01,312.95,424.10,304.53,339.67,328.99,,
2000-01-19 21:53:25.812000,L7,515.39,523.12,535.13,519.64,530.84,527.69,516.58,523.95,524.91,525.75,526.28,518.45,505.11,512.16,495.20,486.52,474.99,476.90,499.21,508.82,493.71,499.72,495.25,488.80,497.46,495.37,485.53,483.03,487.17,528.17,539.00,520.17,494.15,506.27,497.41,498.88,532.13,531.72,532.17,533.88,533.88,527.56,535.33,512.79,511.87,498.44,506.92,512.80,502.85,,,,,,,,,,,,,,,,,,,,,,533.11,513.81,513.70,519.03,504.14,490.73,516.68,517.81,525.40,523.34,535.41,525.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.56,,520.93,508.38,521.22,242.90,243.71,248.55,231.25,218.42,195.82,195.12,207.36,213.05,231.48,249.40,215.47,245.50,238.07,271.11,288.13,503.07,461.15,,355.99,460.77
2000-01-26 21:59:38.265000,L7,319.95,252.65,203.98,230.80,249.55,533.61,465.99,,,505.50,489.98,482.92,482.55,465.42,441.94,434.75,444.44,450.20,452.98,397.09,,,334.93,349.13,295.22,351.52,377.12,391.91,446.34,454.00,461.80,459.82,448.20,460.52,455.66,467.31,469.07,452.08,448.88,455.93,448.88,470.95,452.76,489.25,,,,,,,538.13,495.89,507.89,494.30,500.47,482.32,490.71,471.05,482.86,472.46,478.38,479.60,475.18,478.44,478.69,478.35,474.02,468.78,471.83,482.12,481.42,474.62,478.72,480.73,477.08,481.17,464.67,470.61,473.97,439.76,307.10,298.85,319.30,182.47,234.59,481.00,476.25,478.39,481.98,484.64,483.38,484.67,500.33,499.88,503.61,512.37,519.49,533.14,532.61,519.91,520.35,521.69,508.25,518.65,515.95,515.81,520.68,508.56,510.90,518.52,510.25,508.16,,,,,,532.12,509.78,508.84,530.65,470.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.98,379.87,312.36,354.98,497.68,535.03,,,,281.99,392.77,536.19,212.71,199.15,214.96,245.43,256.67,244.71,234.53,259.98,309.87,307.97,331.91,406.25,,,415.22,516.32
2000-03-14 21:59:23.204000,L7,462.63,479.04,471.13,476.89,480.00,482.45,485.03,491.89,492.25,483.03,486.79,478.35,469.01,462.40,454.31,459.11,471.95,463.13,475.21,469.82,465.47,465.77,461.91,469.69,477.70,467.85,508.87,489.34,473.18,476.55,486.00,473.05,466.09,478.00,469.28,467.01,465.68,466.66,457.01,462.66,470.48,458.56,458.22,457.81,469.29,471.57,456.55,455.23,469.26,476.41,481.71,487.41,486.80,492.45,471.89,488.71,490.08,481.01,479.77,472.89,481.44,487.26,477.56,476.28,415.54,354.40,317.01,398.31,442.36,384.51,449.93,446.23,441.28,450.05,478.44,483.10,467.18,468.19,456.73,456.64,469.11,480.36,493.82,489.39,496.52,504.14,501.88,498.36,496.12,493.95,490.23,492.97,499.12,505.30,506.75,512.82,512.09,516.73,517.60,510.25,512.86,511.43,510.65,506.48,508.57,512.39,509.31,500.82,503.64,501.96,495.17,490.30,513.24,508.03,520.52,516.31,518.78,521.21,507.46,499.67,509.54,504.88,488.62,493.11,518.68,520.70,514.56,507.05,521.47,515.27,484.87,460.04,485.44,499.89,477.48,477.14,492.13,522.68,519.11,527.13,521.54,513.54,509.84,478.53,478.43,463.63,460.86,477.95,484.74,484.32,481.82,482.15,474.59,470.04,165.24,194.87,224.71,269.74,269.10,272.59,278.78,274.79,274.43,263.25,233.68,219.63,215.51,209.26,219.90,254.89,276.19,280.71,532.56,485.54,491.51,467.95,480.27,250.49,259.51,270.74,495.30,
2000-03-30 21:59:21.444000,L7,388.22,432.49,429.02,431.26,448.05,470.19,495.60,479.46,370.71,289.76,,,,,,,,,,,,,,,,,,442.00,447.74,469.22,465.33,450.04,,,,,,,,,,460.08,459.55,460.91,463.49,469.18,459.54,456.73,466.51,471.55,480.77,484.58,482.82,479.47,474.75,482.54,483.82,471.61,468.93,465.61,470.12,467.32,470.60,466.72,472.36,469.68,461.04,449.80,448.54,465.32,467.28,468.99,470.57,470.96,467.04,467.38,468.17,466.63,457.47,461.78,461.37,468.09,468.83,475.96,487.68,478.33,482.31,481.52,486.37,484.39,480.63,479.22,488.46,491.22,502.66,502.19,503.85,484.49,477.28,534.79,,,,,,,,,,,,,,523.77,509.99,505.20,507.59,501.71,478.71,,,,520.06,482.13,483.82,471.56,475.64,458.03,466.17,455.21,470.92,469.92,486.17,486.18,485.81,476.44,483.91,493.11,502.67,483.87,497.55,485.12,482.20,462.51,460.51,458.93,455.55,455.18,462.28,457.31,456.06,460.08,472.86,447.61,449.99,458.94,451.46,457.75,453.37,451.36,446.75,454.85,457.93,465.83,477.36,514.89,505.27,501.57,458.56,276.88,270.03,274.49,253.24,288.79,303.16,502.06,506.96,453.61,453.67,460.75,518.05,
