dates,satname,nzd0016-0000,nzd0016-0001,nzd0016-0002,nzd0016-0003,nzd0016-0004,nzd0016-0005,nzd0016-0006,nzd0016-0007,nzd0016-0008,nzd0016-0009,nzd0016-0010,nzd0016-0011,nzd0016-0012,nzd0016-0013,nzd0016-0014,nzd0016-0015,nzd0016-0016,nzd0016-0017,nzd0016-0018,nzd0016-0019,nzd0016-0020,nzd0016-0021,nzd0016-0022,nzd0016-0023,nzd0016-0024,nzd0016-0025,nzd0016-0026,nzd0016-0027,nzd0016-0028,nzd0016-0029,nzd0016-0030,nzd0016-0031,nzd0016-0032,nzd0016-0033,nzd0016-0034,nzd0016-0035,nzd0016-0036,nzd0016-0037,nzd0016-0038,nzd0016-0039,nzd0016-0040,nzd0016-0041,nzd0016-0042,nzd0016-0043,nzd0016-0044,nzd0016-0045,nzd0016-0046,nzd0016-0047,nzd0016-0048,nzd0016-0049,nzd0016-0050,nzd0016-0051,nzd0016-0052,nzd0016-0053,nzd0016-0054,nzd0016-0055,nzd0016-0056,nzd0016-0057
1999-08-17 22:10:26.276000,L7,438.53,435.01,428.06,418.11,516.02,532.42,528.61,488.30,505.51,490.24,516.35,523.28,320.66,248.47,282.07,269.51,269.13,210.42,460.61,235.71,216.66,303.44,252.81,478.98,479.52,459.83,450.22,455.58,472.43,456.61,460.08,468.78,467.49,475.13,463.85,472.38,443.85,452.89,449.43,477.00,476.35,484.50,484.23,220.44,249.34,278.63,225.64,227.59,247.16,267.83,261.38,266.23,301.33,303.16,485.50,455.14,460.85,452.06
1999-10-04 22:10:38.131000,L7,434.47,429.49,389.94,416.30,411.43,419.94,430.05,431.34,443.79,443.68,425.98,423.12,432.83,426.17,445.70,410.72,399.01,406.84,554.76,535.22,470.66,493.65,503.42,492.51,491.31,481.56,492.88,469.86,475.83,497.76,486.05,481.24,475.87,484.64,519.68,547.94,481.67,486.65,500.09,510.90,516.11,501.57,500.94,516.43,241.98,279.48,223.92,224.02,228.51,264.30,254.45,264.94,259.37,547.43,550.41,555.19,492.35,539.43
2000-02-09 22:10:19.398000,L7,472.66,468.94,455.17,445.36,465.33,494.56,459.15,464.65,519.32,505.23,467.28,459.95,480.87,471.06,454.22,454.02,437.82,434.32,452.14,452.18,451.65,457.48,436.00,429.33,430.97,444.12,450.31,450.90,478.69,521.46,202.06,409.56,385.96,414.64,438.89,414.58,408.18,407.31,400.49,419.73,420.54,416.34,409.95,419.82,408.95,416.79,414.06,408.49,403.74,398.27,391.46,396.69,419.54,427.00,423.92,415.36,405.73,395.50
2000-03-28 22:10:07.233000,L7,435.85,436.67,427.51,415.48,416.29,427.79,425.09,431.41,435.60,428.72,425.93,435.24,426.88,517.71,516.39,511.13,518.73,506.99,477.23,469.75,472.07,526.21,505.82,489.01,498.18,518.94,538.88,527.78,448.30,456.04,398.06,406.01,516.47,528.58,536.87,550.91,510.65,491.18,484.49,490.38,499.23,489.81,467.15,470.69,251.72,282.80,224.78,221.94,224.35,296.09,248.33,263.21,256.87,516.65,516.80,506.80,483.76,480.19
2000-04-29 22:09:53.797000,L7,427.29,430.13,428.43,419.48,414.40,423.05,523.98,481.20,283.24,334.30,333.78,283.09,477.81,516.78,544.08,523.59,513.97,482.85,458.75,516.09,474.87,465.42,438.76,514.60,453.63,440.81,417.08,343.20,374.71,447.87,424.67,427.27,413.67,419.93,423.86,418.51,450.10,506.62,526.49,511.43,543.18,466.40,481.28,463.36,417.83,460.31,456.36,449.81,228.02,250.92,249.87,264.18,260.00,457.24,464.05,453.83,450.80,427.85
2000-05-15 22:09:42.527000,L7,436.38,430.80,427.32,415.73,408.42,409.02,426.21,434.41,452.81,424.28,545.82,499.06,541.95,524.97,529.70,467.40,478.13,485.52,469.84,532.24,433.69,445.54,427.47,458.96,459.06,411.78,413.33,432.88,435.54,420.61,404.59,495.21,491.14,485.11,419.51,499.14,532.33,485.07,538.01,519.76,510.79,417.62,518.16,433.72,514.02,510.83,451.12,466.60,483.93,466.03,477.13,494.02,401.05,515.16,532.70,508.52,487.88,458.40
2000-08-03 22:08:44.137000,L7,,218.69,353.43,265.15,,,,,,446.07,345.04,447.05,455.30,422.49,445.86,437.06,414.02,236.38,457.11,438.36,256.81,388.22,433.04,434.84,436.09,434.60,438.86,433.30,375.30,384.14,377.01,512.69,382.80,260.88,262.57,,,198.01,248.71,212.23,218.68,,,,,555.89,403.17,411.25,411.05,388.32,376.36,396.35,416.98,427.80,425.40,417.91,408.96,394.82
2000-08-19 22:08:38.248000,L7,478.90,486.12,473.60,462.97,457.09,456.71,526.78,458.84,492.82,512.80,502.24,451.60,451.11,443.83,437.20,430.57,450.02,436.10,438.19,424.47,451.89,465.73,434.81,436.81,428.51,436.83,432.28,429.59,451.22,437.42,423.05,427.78,421.39,422.21,438.61,437.69,426.49,448.86,434.98,442.19,450.23,449.33,454.63,464.84,456.03,442.44,420.09,434.27,438.33,413.68,403.86,411.80,434.41,447.74,434.02,431.69,433.09,413.86
2000-09-04 22:08:22.800000,L7,432.53,432.76,392.48,412.94,397.09,404.69,404.74,414.24,300.53,427.10,397.16,396.87,318.81,300.13,295.19,273.35,282.38,224.65,301.42,252.71,232.98,311.16,290.17,277.87,381.41,388.97,217.51,286.89,204.24,252.48,277.72,275.14,227.66,262.41,383.20,387.91,391.09,395.46,390.16,393.35,388.39,393.27,210.72,236.15,313.49,298.88,243.92,243.85,264.57,283.81,270.61,273.80,308.12,358.52,308.74,304.76,316.38,324.89
2000-09-20 22:08:03.348000,L7,427.46,427.31,391.33,375.97,401.16,409.51,404.05,417.83,435.78,418.97,405.64,404.55,408.26,393.21,401.94,396.52,391.60,394.96,379.20,385.15,231.10,299.17,391.72,393.77,396.38,388.31,388.61,374.04,389.05,230.12,230.00,387.67,391.20,390.31,396.86,399.42,403.36,406.53,402.83,408.29,408.65,404.37,196.84,222.17,252.97,295.92,231.66,225.60,259.37,275.69,259.32,265.47,216.32,409.51,411.36,400.26,395.56,384.61
