dates,satname,nzd0154-0000,nzd0154-0001,nzd0154-0002,nzd0154-0003,nzd0154-0004,nzd0154-0005,nzd0154-0006,nzd0154-0007,nzd0154-0008,nzd0154-0009,nzd0154-0010,nzd0154-0011,nzd0154-0012,nzd0154-0013,nzd0154-0014,nzd0154-0015,nzd0154-0016,nzd0154-0017,nzd0154-0018,nzd0154-0019,nzd0154-0020
1999-09-20 21:58:32.521000,L7,,,,218.32,186.09,228.48,186.90,224.22,200.21,248.04,245.83,254.07,258.18,255.18,259.66,263.30,249.66,258.88,253.52,249.14,248.35
1999-10-22 21:58:28.758000,L7,372.98,252.26,253.07,221.16,270.57,266.89,228.90,262.80,278.15,289.31,286.42,291.70,296.38,296.21,301.25,266.57,260.07,330.02,306.62,309.68,304.75
1999-12-09 21:58:33.708000,L7,244.72,195.96,,203.94,184.89,228.72,193.83,212.33,198.94,246.19,241.17,223.35,250.36,257.53,257.90,261.33,247.08,261.32,256.26,252.60,188.13
1999-12-09 21:58:57.676000,L7,244.07,196.07,,204.07,185.77,229.36,192.63,213.76,197.80,246.52,242.53,220.31,251.08,256.33,257.40,261.87,248.50,261.29,257.43,253.13,187.52
1999-12-25 21:58:52.197000,L7,270.03,199.90,178.32,232.11,309.34,302.85,281.68,289.36,268.76,278.70,261.48,256.37,282.58,282.01,285.44,279.27,274.18,522.46,505.89,375.03,417.00
2000-02-27 21:58:16.566000,L7,188.04,193.97,,204.35,182.62,221.87,248.53,226.68,231.49,,,,258.25,216.17,204.11,253.08,226.18,258.31,253.07,514.80,453.81
2000-02-27 21:58:40.521000,L7,264.58,264.80,266.68,270.37,282.22,280.11,295.78,273.04,261.42,322.07,336.19,328.92,337.90,350.76,516.77,320.31,320.31,319.22,318.41,312.76,
2000-03-14 21:58:11.336000,L7,216.97,195.32,,209.87,186.62,224.21,184.77,220.52,201.31,244.09,239.05,222.52,256.78,247.62,255.98,252.60,249.02,257.36,250.35,245.06,193.90
2000-03-14 21:58:35.291000,L7,217.47,195.67,,210.40,186.26,224.52,184.77,221.11,200.19,243.68,238.59,224.11,256.60,248.82,255.92,252.66,245.29,257.11,250.23,245.42,194.03
2000-03-30 21:58:09.573000,L7,217.70,194.48,,213.14,190.13,224.03,215.21,220.47,211.25,242.73,240.36,236.24,253.19,245.04,256.56,257.44,250.21,258.34,247.93,245.44,232.12
2000-03-30 21:58:33.541000,L7,217.61,194.71,,213.22,187.57,224.36,201.97,221.10,213.94,240.58,240.34,237.41,252.77,243.87,256.20,255.17,250.23,257.79,246.93,244.99,233.93
2000-08-05 21:56:44.750000,L7,,,,,,225.88,213.86,224.09,200.55,244.62,226.66,207.20,251.65,242.27,206.92,204.50,241.89,250.54,237.67,241.78,187.72
2000-08-05 21:57:08.715000,L7,,,,,,225.48,209.39,222.10,199.76,188.21,,,200.46,240.62,206.38,199.80,240.76,248.80,236.72,238.02,186.81
2000-09-22 21:56:05.544000,L7,181.73,,,,,,,,,,,,,,,,168.93,249.92,242.87,242.77,184.15
2000-09-22 21:56:29.431000,L7,190.40,,,,,,,,,,,,,,,,,247.28,249.83,243.09,190.17
2000-12-11 21:56:00.959000,L7,378.88,243.80,257.50,270.22,276.97,281.92,283.90,285.88,311.28,321.67,392.34,328.66,285.86,397.82,443.76,535.36,525.59,,417.47,503.56,516.36
2001-01-12 21:56:06.772000,L7,257.28,218.47,177.62,224.39,194.40,238.60,218.15,231.57,246.02,252.47,250.80,244.62,312.19,312.64,323.55,322.82,306.25,314.55,315.19,417.05,403.62
2001-01-12 21:56:30.696000,L7,190.08,192.97,,210.30,184.83,227.71,190.67,217.04,196.79,245.40,240.31,211.88,202.42,252.01,210.35,,,259.02,252.14,245.36,197.80
2001-03-17 21:56:16.575000,L7,189.54,202.79,160.05,210.85,189.81,197.78,196.25,218.83,205.83,246.03,246.71,249.09,,,,,,257.57,259.88,258.12,221.36
2001-06-05 21:55:16.607000,L7,272.50,,,222.88,197.35,234.79,222.84,228.61,236.92,248.60,246.92,252.46,261.21,253.39,260.88,266.56,257.29,261.61,256.06,248.12,237.89
