dates,satname,nzd0017-0000,nzd0017-0001,nzd0017-0002,nzd0017-0003,nzd0017-0004,nzd0017-0005,nzd0017-0006,nzd0017-0007,nzd0017-0008,nzd0017-0009,nzd0017-0010,nzd0017-0011,nzd0017-0012,nzd0017-0013,nzd0017-0014,nzd0017-0015,nzd0017-0016,nzd0017-0017,nzd0017-0018,nzd0017-0019,nzd0017-0020,nzd0017-0022,nzd0017-0023,nzd0017-0024,nzd0017-0025,nzd0017-0026,nzd0017-0027,nzd0017-0028,nzd0017-0029,nzd0017-0030,nzd0017-0031,nzd0017-0032,nzd0017-0033,nzd0017-0034,nzd0017-0035,nzd0017-0036,nzd0017-0037,nzd0017-0040,nzd0017-0041,nzd0017-0042,nzd0017-0043,nzd0017-0044,nzd0017-0045,nzd0017-0046,nzd0017-0047,nzd0017-0048,nzd0017-0049,nzd0017-0050,nzd0017-0051,nzd0017-0052,nzd0017-0053,nzd0017-0054,nzd0017-0055,nzd0017-0056,nzd0017-0057,nzd0017-0058,nzd0017-0059,nzd0017-0060,nzd0017-0061,nzd0017-0062,nzd0017-0063,nzd0017-0064,nzd0017-0065,nzd0017-0066,nzd0017-0067,nzd0017-0068,nzd0017-0069,nzd0017-0070,nzd0017-0071,nzd0017-0072,nzd0017-0073,nzd0017-0074,nzd0017-0075,nzd0017-0076,nzd0017-0077,nzd0017-0078,nzd0017-0079,nzd0017-0080,nzd0017-0081,nzd0017-0082,nzd0017-0083,nzd0017-0084,nzd0017-0085,nzd0017-0086,nzd0017-0087,nzd0017-0088,nzd0017-0089,nzd0017-0090,nzd0017-0091,nzd0017-0092,nzd0017-0093,nzd0017-0021,nzd0017-0038,nzd0017-0094,nzd0017-0095,nzd0017-0039
1999-10-04 22:10:38.131000,L7,372.30,387.91,377.58,400.36,412.83,420.15,410.09,448.15,432.99,522.42,510.01,514.57,525.03,514.11,543.72,449.76,426.71,520.06,327.87,359.81,549.46,545.09,431.01,218.84,231.06,240.95,232.96,205.78,238.27,498.78,438.80,540.22,272.24,283.68,300.70,368.77,513.33,211.04,222.05,280.82,454.44,485.23,495.78,516.19,522.89,538.70,551.87,455.46,516.19,467.93,304.63,286.54,253.53,228.02,239.84,311.11,412.57,337.96,246.87,240.88,281.55,263.11,347.23,379.31,359.07,321.82,343.81,393.24,396.23,397.65,367.84,404.94,417.87,415.20,400.06,389.01,315.79,292.08,263.81,281.68,531.06,511.44,360.15,271.37,277.83,298.87,463.04,390.46,288.09,229.99,187.48,,,,,
1999-11-21 22:10:24.244000,L7,303.14,307.02,289.82,313.72,290.24,288.71,294.80,311.21,310.01,293.58,320.33,299.46,282.41,307.85,316.75,322.76,304.57,265.74,276.14,287.83,288.87,291.97,286.45,309.29,295.80,282.64,300.88,308.71,309.96,301.79,305.93,325.57,325.50,273.92,318.80,309.52,320.54,275.78,313.75,296.44,323.09,307.14,205.78,317.06,332.80,324.74,327.82,327.25,287.07,289.75,,308.26,316.00,338.05,315.49,,,300.17,327.58,328.94,,,,,,,,,,,387.69,233.57,474.08,545.48,,,,,,,,290.11,274.88,,,,,,,,,294.48,306.74,427.68,399.89,
2001-12-12 22:06:14.960000,L7,264.75,300.54,416.11,413.44,299.81,315.64,383.71,308.52,338.10,325.23,387.36,,,,293.68,326.66,318.50,345.85,286.89,238.13,258.97,326.84,275.05,321.80,295.48,308.14,312.07,319.97,281.21,315.06,317.00,328.84,329.35,312.60,315.36,313.55,305.44,466.09,449.82,439.48,435.09,428.37,421.42,356.81,328.26,324.68,327.17,320.40,304.55,324.24,,,342.79,323.85,318.43,315.12,464.91,444.96,509.11,488.08,472.85,428.22,460.83,467.13,392.40,437.80,447.82,391.74,312.11,311.66,490.62,500.28,495.33,490.37,,430.47,409.57,388.46,,,,,,,460.85,480.35,484.91,368.45,393.29,401.44,399.46,233.90,301.16,506.04,501.17,276.49
2003-01-16 22:06:02.914000,L7,389.10,365.32,443.43,404.72,439.16,388.88,371.62,387.69,383.70,381.88,371.25,361.11,365.48,374.36,368.03,517.45,489.81,512.78,427.24,443.42,409.66,393.28,392.24,417.55,459.82,451.54,478.12,478.68,408.72,351.46,494.38,479.38,485.67,497.55,516.03,442.62,508.34,480.16,512.17,,417.71,431.38,440.42,428.89,441.62,426.82,420.95,422.47,470.75,465.11,482.04,,,401.88,493.68,497.54,488.80,420.68,432.42,495.44,475.79,492.11,435.22,,424.36,424.48,446.79,470.38,448.09,543.25,545.37,345.50,473.12,480.53,384.12,483.87,458.83,505.02,445.14,537.92,434.38,423.62,429.88,495.87,423.30,452.23,449.41,416.45,411.32,385.67,441.92,401.47,518.77,442.54,414.45,451.05
2003-12-26 21:56:18.593000,L5,231.93,237.71,224.98,239.99,243.37,241.27,214.29,229.55,221.12,220.14,234.71,217.71,220.38,232.22,238.36,243.67,240.11,215.25,206.97,228.88,241.64,203.97,234.03,244.84,220.88,218.85,234.21,254.81,253.67,219.21,237.53,258.03,252.48,254.81,275.82,263.08,215.08,196.03,209.95,229.15,242.05,227.56,,195.02,253.04,257.54,264.63,245.68,250.89,260.58,261.33,274.78,279.68,280.24,263.93,218.91,243.36,249.81,246.00,243.39,228.84,240.46,260.25,258.23,245.46,249.76,264.07,263.38,246.68,236.79,234.90,230.94,246.21,238.13,245.18,231.15,207.56,232.62,243.07,233.61,225.95,202.22,232.96,252.84,255.98,240.75,210.59,245.75,237.72,218.63,219.62,229.23,250.59,220.41,234.86,235.01
2004-04-16 21:57:19.749000,L5,222.43,228.26,214.11,229.23,233.28,224.05,210.01,233.17,229.96,223.95,232.75,215.55,221.47,238.17,235.03,242.34,233.35,202.75,193.69,225.38,227.59,189.83,226.41,247.54,230.44,215.34,238.38,252.19,249.58,215.48,235.97,256.55,226.04,243.81,253.17,249.62,,200.97,195.33,232.80,250.07,230.78,,196.62,262.25,261.05,269.75,246.81,251.29,256.27,261.96,266.87,271.04,276.57,253.91,207.21,249.67,213.22,241.75,233.03,,248.03,255.76,250.10,233.35,236.33,253.09,256.34,233.07,224.57,222.64,223.72,242.27,237.37,248.83,227.74,209.68,227.47,243.93,227.48,218.06,186.56,215.59,237.37,245.75,234.01,203.88,230.93,227.76,224.06,216.72,220.33,242.50,220.42,234.60,224.09
2004-05-18 21:58:14.785000,L5,227.08,226.54,217.34,231.06,239.29,222.56,207.27,232.92,230.83,219.17,238.46,225.22,224.56,235.31,249.91,241.47,236.85,203.57,206.47,230.28,226.73,189.15,232.23,246.31,234.74,216.39,246.42,258.04,259.63,233.73,239.25,262.75,231.01,247.24,261.80,247.12,200.43,197.98,204.00,235.48,251.67,232.82,181.64,193.02,259.23,258.16,259.94,239.18,234.75,242.00,255.52,261.15,262.15,271.08,245.57,217.71,245.56,210.68,247.32,237.56,231.84,233.58,261.75,254.91,235.62,230.49,249.79,256.00,232.08,223.81,221.43,216.36,241.98,239.65,248.41,236.07,212.33,,,,,184.74,223.03,245.70,256.12,234.43,199.43,230.28,233.38,227.28,217.33,216.93,237.35,223.67,238.01,222.06
2004-08-22 22:00:48.706000,L5,221.96,225.25,205.02,231.38,226.53,227.15,193.51,231.16,214.12,207.92,233.83,215.23,208.32,233.91,237.51,241.21,230.43,202.56,197.44,226.28,221.37,182.37,219.25,244.71,220.45,198.30,227.22,244.45,251.14,215.62,227.43,250.88,231.11,241.43,261.45,248.24,188.42,,,,,,,,247.21,255.76,251.93,220.92,238.99,238.01,245.12,252.68,260.15,265.16,244.75,187.05,233.13,217.44,239.23,,,221.90,248.44,248.30,227.64,228.71,254.63,250.48,221.88,224.38,212.51,204.98,233.51,220.53,235.60,222.06,192.71,,,,,179.18,215.71,240.42,247.60,226.86,194.01,221.68,214.01,223.48,216.26,216.79,,215.05,228.86,
2005-01-13 22:03:41.143000,L5,202.70,203.39,179.53,213.73,217.11,210.04,184.08,222.97,225.40,206.36,227.13,200.10,206.03,219.67,224.07,211.89,219.84,,175.86,205.98,215.68,188.47,217.86,240.73,229.32,202.27,229.02,249.21,230.79,193.19,222.39,237.61,,,,,,,,,,,,,239.29,239.23,232.69,185.12,213.55,182.48,235.89,245.92,261.94,269.61,249.87,200.79,,,,,,224.81,252.27,229.75,224.41,216.04,243.97,240.79,235.81,225.60,225.79,220.48,243.38,238.17,246.14,224.27,,,,,,,211.40,236.09,238.52,240.65,201.88,230.51,182.92,221.83,215.38,217.54,,225.84,240.37,
2005-02-14 22:04:09.465000,L5,,,,,,,,,,173.60,200.69,187.52,185.19,206.07,193.24,207.23,200.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-02 22:04:24.338000,L5,224.84,229.37,196.47,218.32,221.85,205.88,202.35,222.80,221.75,214.15,230.79,212.88,222.56,241.15,248.06,246.94,232.76,201.35,189.57,223.29,228.16,187.86,218.39,240.97,230.36,209.63,230.94,250.40,245.92,234.61,239.67,254.36,253.02,245.81,269.39,259.96,195.71,179.97,182.69,227.44,244.51,226.47,,,251.10,257.10,262.13,199.41,243.32,237.23,259.83,261.24,259.68,266.43,245.85,202.44,241.31,,,,,241.14,267.35,264.82,242.52,241.48,259.02,264.29,237.94,221.92,222.24,222.95,243.59,229.34,242.15,225.22,,,,,,,225.02,253.09,257.83,243.76,199.25,227.90,235.60,226.57,219.35,213.97,233.07,221.45,236.94,217.53
2005-04-03 22:04:40.528000,L5,218.90,243.65,219.37,234.74,239.29,232.47,221.51,245.79,237.01,217.81,235.67,225.42,230.01,244.85,243.15,241.17,235.52,210.93,209.66,233.49,242.77,204.82,233.65,257.82,234.60,220.99,239.35,261.89,256.46,233.95,237.98,255.96,244.26,254.18,276.51,262.80,213.61,215.54,210.63,239.05,251.62,248.73,,236.11,250.13,263.04,254.22,249.99,260.41,259.90,263.95,271.06,273.45,280.86,263.58,226.17,248.15,252.76,247.53,237.47,231.50,245.57,264.91,254.67,245.84,250.47,267.64,267.18,253.06,237.22,233.56,235.15,255.97,246.67,251.99,233.61,212.20,238.58,246.86,245.61,220.37,196.74,229.84,263.32,264.72,252.23,219.25,244.65,242.51,237.74,228.34,236.89,243.26,233.42,245.72,231.38
2005-04-19 22:04:43.597000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.53,231.85,235.34,187.86,209.44,172.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-25 22:05:41.221000,L5,220.17,225.85,183.74,210.01,211.94,209.38,203.29,233.81,226.85,215.15,233.91,212.13,224.69,242.07,241.35,230.59,234.33,190.03,198.39,210.90,217.60,182.38,223.12,239.38,228.74,216.78,234.01,253.38,239.05,205.17,229.18,240.36,220.25,238.70,255.04,244.02,174.63,186.36,,,,,,,253.97,244.64,237.39,195.75,237.18,235.73,242.85,252.33,252.16,258.17,234.50,202.60,245.61,222.54,239.23,210.96,227.57,236.85,261.23,246.70,231.47,229.98,255.34,247.08,225.77,212.24,214.44,222.58,243.30,240.50,245.52,227.36,192.22,,,,,176.78,215.73,245.79,246.88,229.16,194.15,224.61,223.42,226.72,221.94,210.92,228.44,221.34,242.53,211.03
2005-09-26 22:05:42.687000,L5,,,,,,,183.93,210.51,201.54,195.63,215.22,191.60,208.14,221.08,224.89,226.22,224.67,178.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-17 22:08:11.136000,L5,,218.56,242.51,199.29,248.58,223.31,217.33,233.08,226.56,216.90,232.62,217.74,223.23,241.09,243.93,242.21,233.62,196.51,190.95,219.32,221.96,190.24,214.63,242.22,231.90,212.92,236.50,257.79,248.47,212.09,233.86,250.81,227.48,245.15,262.00,247.08,,,,,,,,,215.22,201.48,227.80,173.40,218.33,,244.71,249.83,255.08,267.96,246.26,211.59,,,,,,,,,,,,251.90,237.25,225.35,216.70,221.86,241.93,225.40,248.11,234.40,,,,,,,215.63,246.28,248.37,242.17,196.10,229.03,,,,206.55,,,,
2006-04-06 22:09:08.139000,L5,251.58,247.75,206.64,229.72,245.50,234.06,217.17,240.04,228.48,228.97,242.44,234.40,233.72,243.94,244.67,247.52,241.60,206.83,198.47,229.05,230.71,202.73,228.71,244.54,242.03,232.44,251.04,261.41,257.39,235.37,245.63,258.65,253.37,253.73,265.86,257.45,223.45,186.43,,,,,,,258.23,254.16,264.98,258.86,249.47,240.01,261.81,263.09,263.30,269.61,248.38,227.80,256.04,249.16,256.02,255.62,231.40,251.17,268.94,263.91,246.12,245.96,255.97,250.13,232.37,226.08,221.99,230.21,249.67,238.76,253.30,237.14,231.79,242.96,259.51,244.40,229.68,192.50,227.08,251.13,254.07,250.48,215.51,238.44,225.06,235.20,233.69,219.76,235.41,231.90,251.08,227.25
2006-07-11 22:10:34.443000,L5,213.61,221.01,178.74,200.01,219.34,201.67,190.63,227.88,224.91,201.61,235.51,204.41,214.39,218.08,232.39,235.49,230.54,200.24,,,,176.27,212.91,237.66,222.44,187.57,217.56,237.80,228.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.85,196.43,,,186.21,193.78,
2006-08-12 22:10:59.603000,L5,,,,206.76,209.65,227.42,211.97,221.64,217.30,198.17,221.31,196.29,203.69,231.55,229.47,230.12,218.52,186.97,,,,,,,,,,,,,,,,,,,,181.91,189.51,213.91,227.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.34,204.88,228.90,200.54,219.13,,,,,,,,,,,,,,,,,,175.45,,,195.91
2006-08-28 22:11:11.674000,L5,,,,,,,,213.58,202.46,205.56,216.53,190.80,205.90,219.51,227.01,224.26,212.47,177.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-02 22:12:34.352000,L5,256.14,269.10,256.78,243.11,258.17,269.23,243.84,265.06,271.86,288.63,285.40,274.65,259.86,277.17,284.84,265.90,275.05,258.19,217.54,252.35,263.97,240.31,259.14,277.25,274.25,244.05,267.94,296.86,299.72,286.04,270.70,295.95,294.05,272.31,295.99,267.52,295.46,241.22,228.22,261.93,288.02,,,238.56,292.84,294.37,298.27,297.77,299.03,293.68,277.09,306.83,298.83,307.51,297.94,262.24,273.65,,275.77,280.63,286.29,243.82,270.33,275.92,249.42,268.09,199.79,285.02,265.95,183.03,214.14,241.14,273.76,281.50,275.63,264.24,235.42,264.91,278.13,278.22,253.49,220.99,250.30,277.69,289.98,294.34,279.28,261.74,272.69,225.79,214.78,259.70,270.32,235.67,243.42,265.06
