dates,satname,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,nzd0237-0017,nzd0237-0018,nzd0237-0019
1999-12-25 21:58:52.197000,L7,276.76,300.33,299.87,296.85,234.19,224.23,230.96,272.32,255.79,246.78,463.24,454.22,216.07,215.57,488.53,439.41,444.47,409.88,394.30,414.43,417.86,414.54,431.41,452.90,451.97,270.68,509.28,511.35,541.51,485.62,446.70,322.71,315.47,314.30,414.28,419.54,427.17,405.01,378.87,387.21,455.69,464.24,473.22,429.90,481.80,473.99,480.93,389.57,400.55,394.11,403.87,425.89,424.76,,,
2000-01-10 21:58:52.465000,L7,518.43,456.78,518.41,500.71,428.34,476.54,507.66,337.14,281.84,454.19,496.43,453.23,403.61,348.64,398.93,425.13,409.74,505.18,462.43,472.83,184.18,228.52,239.37,241.87,262.24,293.15,322.18,511.57,443.10,405.32,416.26,393.25,375.29,370.88,353.43,330.99,382.04,366.18,339.44,547.05,478.21,493.66,509.23,499.88,518.17,518.50,517.38,504.71,515.26,494.83,536.74,491.05,502.75,431.28,394.69,446.11
2000-02-27 21:58:40.521000,L7,313.09,299.26,305.18,297.62,267.90,252.64,276.16,284.10,236.33,236.09,236.05,541.00,524.83,533.64,518.91,533.35,547.49,,,520.43,522.08,205.53,227.99,228.39,276.54,320.78,324.37,342.62,386.76,395.23,384.51,349.83,343.11,343.47,345.13,,545.57,437.41,416.22,474.73,450.08,521.91,,559.90,518.66,321.45,281.76,320.92,424.33,407.81,503.13,472.96,508.95,537.33,171.39,
2000-03-14 21:58:35.291000,L7,297.90,316.09,514.26,514.35,526.17,313.00,308.99,295.76,302.65,286.02,485.50,486.83,266.10,276.36,277.70,248.86,225.28,226.84,514.79,520.54,503.28,562.51,454.34,446.39,448.99,447.02,433.20,441.82,434.61,344.25,550.45,535.11,,,,,,,,,,,,,336.77,427.31,432.99,451.61,532.03,492.31,498.31,430.85,523.17,223.66,201.99,193.59
2000-03-30 21:58:33.541000,L7,293.47,315.02,313.64,312.72,314.19,304.05,309.90,298.46,293.53,273.07,284.30,461.39,505.60,538.55,541.86,452.94,426.84,466.78,459.40,456.02,483.77,461.38,457.63,452.12,409.91,462.01,474.08,496.27,533.02,524.51,531.48,448.38,333.49,498.65,547.21,456.78,422.20,435.26,430.90,443.57,431.89,438.18,440.76,456.05,472.19,527.50,516.32,490.94,521.22,519.26,473.07,490.03,481.66,401.29,542.55,465.29
2000-05-17 21:58:07.485000,L7,528.11,555.76,374.70,379.09,380.54,373.67,422.13,369.84,363.86,388.07,360.82,327.90,362.28,374.75,370.26,395.07,394.07,440.92,442.56,436.13,443.42,428.56,377.14,373.31,385.66,375.30,372.18,392.18,360.57,357.19,350.10,360.28,389.07,401.81,413.98,503.75,476.68,521.51,407.32,553.48,467.01,440.57,449.70,375.84,379.53,398.48,401.72,386.23,394.73,388.83,412.41,390.90,184.82,352.92,349.65,349.90
2000-07-04 21:57:38.483000,L7,351.65,485.42,288.31,299.18,284.73,269.76,277.88,278.86,269.04,264.72,255.98,242.16,243.77,241.43,234.18,227.43,190.45,461.69,443.34,468.62,469.99,446.41,463.52,454.59,469.77,463.65,457.66,,,275.57,281.54,287.15,293.07,281.44,283.70,295.17,287.66,284.21,286.65,286.16,261.15,452.06,460.59,275.48,255.75,196.45,187.56,465.28,472.49,475.49,451.09,,,396.80,410.72,416.84
2000-08-05 21:57:08.715000,L7,502.76,478.27,466.35,540.34,510.52,527.68,488.26,492.08,474.55,467.54,471.26,464.04,459.03,468.73,456.16,382.90,423.83,429.72,453.71,442.58,445.74,440.16,423.08,426.27,420.20,403.22,401.55,407.02,408.96,413.76,408.95,230.98,237.14,182.36,242.32,450.77,424.33,489.93,488.03,424.02,407.41,422.48,470.30,463.43,442.12,455.14,456.24,445.42,443.86,467.58,483.71,472.62,473.58,431.85,441.50,436.70
2000-11-09 21:56:21.390000,L7,291.28,310.43,315.46,312.53,303.14,383.90,403.96,373.15,366.83,480.25,414.25,264.01,260.35,263.26,261.35,249.24,391.00,,337.93,398.43,415.40,365.30,381.20,397.10,388.14,332.99,392.68,394.76,429.33,392.53,389.66,468.17,,,,,534.43,545.59,395.50,322.26,309.17,301.23,307.05,309.99,304.04,280.27,382.57,389.37,322.28,335.38,391.42,328.37,328.71,374.50,359.87,372.72
2001-03-01 21:56:21.596000,L7,296.27,552.25,544.37,528.31,495.59,446.87,434.97,546.30,391.50,381.29,312.07,344.26,410.02,429.31,385.87,409.32,378.53,417.69,492.94,509.00,480.86,402.81,374.74,409.11,416.59,447.50,369.02,352.84,336.71,326.62,334.53,331.43,497.39,517.94,498.16,332.06,365.56,457.15,470.30,487.74,468.78,450.07,472.55,463.79,489.88,522.98,309.89,525.60,538.06,545.40,240.62,430.97,460.81,503.65,485.05,438.81
