dates,satname,nzd0549-0000,nzd0549-0001,nzd0549-0002,nzd0549-0003,nzd0549-0004,nzd0549-0005,nzd0549-0006,nzd0549-0007,nzd0549-0008,nzd0549-0009,nzd0549-0010,nzd0549-0011,nzd0549-0012,nzd0549-0013,nzd0549-0014,nzd0549-0015,nzd0549-0017,nzd0549-0018,nzd0549-0019,nzd0549-0020,nzd0549-0021,nzd0549-0022,nzd0549-0023,nzd0549-0024,nzd0549-0025,nzd0549-0026,nzd0549-0027,nzd0549-0028,nzd0549-0029,nzd0549-0030,nzd0549-0031,nzd0549-0032,nzd0549-0033,nzd0549-0034,nzd0549-0035,nzd0549-0036,nzd0549-0037,nzd0549-0048,nzd0549-0049,nzd0549-0050,nzd0549-0051,nzd0549-0052,nzd0549-0053,nzd0549-0054,nzd0549-0055,nzd0549-0056,nzd0549-0057,nzd0549-0058,nzd0549-0059,nzd0549-0060,nzd0549-0061,nzd0549-0062,nzd0549-0063,nzd0549-0064,nzd0549-0069,nzd0549-0070,nzd0549-0071,nzd0549-0072,nzd0549-0073,nzd0549-0074,nzd0549-0079,nzd0549-0080,nzd0549-0081,nzd0549-0082,nzd0549-0083,nzd0549-0084,nzd0549-0085,nzd0549-0086,nzd0549-0101,nzd0549-0102,nzd0549-0103,nzd0549-0114,nzd0549-0115,nzd0549-0116,nzd0549-0118,nzd0549-0119,nzd0549-0120,nzd0549-0121,nzd0549-0122,nzd0549-0123,nzd0549-0124,nzd0549-0125,nzd0549-0126,nzd0549-0127,nzd0549-0128,nzd0549-0129,nzd0549-0130,nzd0549-0131,nzd0549-0132,nzd0549-0138,nzd0549-0139,nzd0549-0140,nzd0549-0141,nzd0549-0142,nzd0549-0144,nzd0549-0145,nzd0549-0146,nzd0549-0147,nzd0549-0148,nzd0549-0149,nzd0549-0150,nzd0549-0151,nzd0549-0152,nzd0549-0153,nzd0549-0154,nzd0549-0155,nzd0549-0156,nzd0549-0157,nzd0549-0158,nzd0549-0159,nzd0549-0160,nzd0549-0161,nzd0549-0162,nzd0549-0163,nzd0549-0164,nzd0549-0165,nzd0549-0166,nzd0549-0167,nzd0549-0168,nzd0549-0169,nzd0549-0170,nzd0549-0171,nzd0549-0172,nzd0549-0174,nzd0549-0175,nzd0549-0176,nzd0549-0177,nzd0549-0178,nzd0549-0179,nzd0549-0180,nzd0549-0181,nzd0549-0182,nzd0549-0183,nzd0549-0184,nzd0549-0185,nzd0549-0186,nzd0549-0187,nzd0549-0188,nzd0549-0189,nzd0549-0190,nzd0549-0191,nzd0549-0192,nzd0549-0193,nzd0549-0194,nzd0549-0046,nzd0549-0047,nzd0549-0065,nzd0549-0066,nzd0549-0078,nzd0549-0105,nzd0549-0106,nzd0549-0107,nzd0549-0108,nzd0549-0109,nzd0549-0113,nzd0549-0117,nzd0549-0133,nzd0549-0134,nzd0549-0135,nzd0549-0136,nzd0549-0137,nzd0549-0173,nzd0549-0016,nzd0549-0076,nzd0549-0077,nzd0549-0087,nzd0549-0088,nzd0549-0089,nzd0549-0090,nzd0549-0091,nzd0549-0092,nzd0549-0093,nzd0549-0094,nzd0549-0098,nzd0549-0099,nzd0549-0100,nzd0549-0104,nzd0549-0111,nzd0549-0112,nzd0549-0143,nzd0549-0095,nzd0549-0096,nzd0549-0097,nzd0549-0075,nzd0549-0038,nzd0549-0045,nzd0549-0067,nzd0549-0068,nzd0549-0110,nzd0549-0043,nzd0549-0044,nzd0549-0040,nzd0549-0041,nzd0549-0042,nzd0549-0039
1999-08-08 22:19:52.507000,L7,,,,,,,,,432.44,508.84,465.47,476.92,371.81,181.67,396.92,360.29,391.17,368.12,155.59,,364.79,383.50,380.67,298.94,351.34,373.82,497.00,,,,,,,,,,,199.19,269.11,312.94,243.87,,,320.87,467.92,430.96,243.67,366.12,223.13,222.51,223.55,224.48,168.77,294.76,241.82,376.47,470.27,506.26,,313.50,427.47,367.55,355.19,464.20,457.35,349.71,358.64,327.30,,,,,,382.37,,,502.68,429.73,407.36,420.96,377.61,468.53,269.14,268.66,205.05,154.71,,478.37,451.47,513.96,516.05,486.97,529.07,400.97,194.81,229.27,368.12,491.49,453.89,322.62,422.09,331.21,,178.91,321.21,340.59,340.67,382.05,301.16,158.27,357.77,402.23,343.35,308.06,,,288.71,256.39,271.24,,,383.59,,,,282.98,234.82,171.15,212.29,186.65,248.97,248.76,,,,,,,,,,,,,451.65,151.92,291.54,399.25,404.70,,,,,,,316.98,384.21,500.57,528.39,503.72,505.17,,256.47,456.78,460.16,242.37,308.61,369.23,214.41,205.77,302.78,273.36,257.56,439.94,382.49,165.67,,,,490.81,176.27,148.85,337.87,416.19,,378.97,320.92,,,,,,,,
1999-10-04 22:14:13.777000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.50,190.97,,291.45,256.83,338.97,316.27,,,,,,,,,,445.24,468.82,509.79,367.50,282.50,219.63,483.33,489.61,478.17,354.59,276.28,280.57,223.12,285.79,231.57,211.63,206.14,423.58,495.83,465.20,408.18,393.98,501.27,295.64,424.46,329.01,,,344.19,313.31,294.67,277.23,314.89,368.34,312.38,260.04,465.59,411.24,433.89,423.77,421.06,,,,,,,470.21,468.07,458.53,446.15,508.59,474.94,,,,,,,,,,,,,,,,227.66,253.37,262.02,236.90,,,,,,,165.87,,,,,,,,414.78,184.84,435.02,449.41,296.88,,350.56,,,,,,,,,,,,,,,,472.28,469.12,393.26,328.21,,,,,,,,,,,,,,,
1999-10-27 22:19:51.122000,L7,,,,,,,,,418.02,350.22,367.56,497.67,279.34,432.79,443.34,294.66,486.63,450.48,449.14,495.60,471.63,393.23,193.85,301.35,225.19,304.50,427.49,,,,,,,,,,,,432.04,508.90,504.68,497.33,329.60,412.07,143.65,444.23,,364.31,499.93,460.73,475.11,465.41,460.57,453.17,181.39,447.99,455.73,329.60,372.80,,,456.85,492.32,160.36,181.04,283.93,310.39,325.38,180.93,455.23,323.26,,,283.31,506.55,433.43,439.31,177.94,492.32,466.69,374.90,369.46,346.90,429.53,365.50,386.44,343.09,346.68,414.40,450.90,507.30,501.65,444.58,389.34,297.73,183.37,506.85,280.17,236.05,,,324.47,389.57,,313.56,283.28,268.70,,,,,471.62,471.16,,,,,,,,399.72,405.01,,343.76,,,,,,,,,,,,259.37,202.11,236.23,,,,,,,302.48,299.30,416.56,403.07,,385.50,,,,,,517.17,203.46,277.88,336.52,268.44,257.99,297.85,310.77,,,355.61,355.40,,,192.69,165.54,176.43,180.90,,452.04,441.70,,,,271.81,,,,,,412.88,356.39,,,,391.12,,,,
1999-11-05 22:13:40.966000,L7,,,,,,,,475.36,417.64,267.36,,307.16,325.30,375.76,499.31,,,,,,,,,,,,,,,,,,,,162.69,247.88,261.45,430.69,451.90,462.65,482.98,,,,,,,,,,,402.53,397.87,328.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.07,432.03,335.53,461.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.47,365.55,,,378.89,388.40,331.92,469.57,470.89,
1999-11-21 22:13:35.965000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.98,250.60,407.36,,,,,,,,,,,466.35,414.84,385.02,431.24,416.19,394.50,360.84,384.09,403.94,440.36,418.47,375.88,492.25,432.38,310.15,281.89,407.46,,,,,,199.59,451.30,,,,,213.47,281.38,490.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.26,280.06,227.47,272.66,486.10,424.72,331.75,215.85,144.14,,,,,168.22,166.69,205.90,358.16,,477.29,522.15,382.46,375.26,,,362.45,400.18,206.83,,,466.12,313.05,193.44,266.54,,,,,,,,,391.40,218.48,,,,,,,,,423.28,,,304.08,403.24,210.18,,503.81,487.43,455.10,,496.18,,386.22,330.53,393.06,,,,,,496.09
1999-12-07 22:13:41.663000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.38,201.46,252.54,190.49,344.81,430.93,463.70,479.78,493.05,497.94,489.98,496.45,,,468.24,467.76,451.81,244.38,246.49,252.11,227.69,258.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.78,379.68,189.62,190.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.86,210.23,494.27,,268.79,198.95,,,,
1999-12-07 22:14:05.637000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.57,152.37,245.20,340.45,377.46,431.89,462.94,476.87,491.26,495.67,485.05,496.69,505.48,487.08,469.99,504.87,497.56,243.03,245.90,272.78,256.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.27,388.07,262.19,225.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.72,214.52,164.76,,315.30,166.05,,,,
2000-04-20 22:19:15.385000,L7,,,,,,,,,,427.94,,,,270.58,375.42,449.29,476.47,504.77,442.25,481.41,404.48,511.38,411.35,,,,,,,,,,,,,,,351.76,331.82,323.40,376.97,357.91,346.00,475.95,394.65,389.85,313.06,383.75,203.21,249.11,448.57,406.15,465.96,471.07,251.36,427.90,249.52,332.60,358.36,250.26,431.70,252.15,460.98,510.87,228.64,425.04,394.76,416.41,180.75,200.06,239.98,,,363.27,,494.14,487.79,510.03,364.91,352.96,327.70,,,,,,,,,445.41,518.25,,,,,214.28,163.08,,,,411.15,367.01,,444.98,306.02,393.20,328.37,381.84,384.42,,,384.02,410.86,237.56,353.98,,306.27,317.64,304.75,,,,151.35,146.62,156.13,233.02,158.13,160.38,263.20,221.95,,,,,209.74,241.54,461.24,463.06,459.62,455.65,444.92,,,,346.14,371.79,203.62,228.15,457.53,246.94,260.12,,,,,289.09,,,,453.93,485.39,324.90,297.63,298.50,398.54,507.07,217.13,330.12,,141.12,318.86,326.44,423.82,,386.80,491.46,144.84,,,,425.90,432.08,387.21,311.91,,213.81,298.95,,,,140.64,,,,
2000-09-04 22:11:34.434000,L7,395.14,396.40,376.37,329.11,302.51,262.12,439.41,473.91,473.90,196.73,229.34,504.50,456.99,490.75,164.21,139.54,440.41,426.85,440.61,460.69,327.38,399.25,389.83,446.30,422.81,469.70,303.15,450.13,416.47,197.35,381.35,364.63,287.57,322.90,319.96,338.46,517.46,245.01,288.05,368.65,407.17,446.13,480.54,478.95,473.16,469.24,431.35,384.03,347.78,171.98,199.12,180.08,182.91,158.47,493.29,271.42,240.48,239.31,205.64,214.69,433.22,406.07,460.51,428.45,332.17,388.97,323.50,195.51,160.36,477.52,487.38,422.99,398.54,364.09,465.12,452.93,482.83,359.26,349.49,507.74,510.30,397.73,361.35,303.91,334.08,341.33,262.69,211.34,165.86,183.43,216.14,203.24,209.49,211.06,352.39,516.84,504.54,444.93,440.93,323.02,312.34,301.87,437.96,308.17,400.62,295.79,241.76,317.84,300.82,279.18,248.55,359.19,260.07,443.07,419.88,236.57,215.49,177.69,346.71,332.80,172.36,321.88,459.90,446.82,420.74,434.56,449.58,512.76,479.73,259.56,447.44,392.82,345.76,389.07,374.04,416.36,415.20,457.16,426.08,386.89,459.41,276.32,284.14,215.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-20 22:11:14.930000,L7,,,,,,,,,,,,,,,,,,469.83,467.91,453.80,414.97,416.57,409.62,462.93,423.84,480.23,453.30,316.36,155.89,189.57,247.03,259.55,283.76,289.04,309.69,319.66,368.11,274.93,352.00,385.52,469.50,476.79,491.72,493.44,496.47,491.19,453.98,418.84,403.92,203.96,212.98,214.74,215.33,195.18,,,,,,,,,,,,,,,,,,,,420.40,330.32,349.01,382.67,303.98,248.96,242.33,225.55,273.28,258.36,219.06,193.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.04,172.19,162.09,,,,,,,,369.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.74,,,,,,,,
