dates,satname,nzd0027-0000,nzd0027-0001,nzd0027-0002,nzd0027-0003,nzd0027-0004,nzd0027-0005,nzd0027-0006,nzd0027-0007,nzd0027-0008,nzd0027-0009,nzd0027-0010,nzd0027-0011,nzd0027-0012,nzd0027-0013,nzd0027-0014,nzd0027-0015,nzd0027-0016,nzd0027-0017,nzd0027-0018,nzd0027-0019,nzd0027-0020,nzd0027-0021,nzd0027-0022,nzd0027-0023,nzd0027-0024,nzd0027-0025,nzd0027-0034,nzd0027-0035,nzd0027-0036,nzd0027-0037,nzd0027-0038,nzd0027-0039,nzd0027-0040,nzd0027-0041,nzd0027-0042,nzd0027-0043,nzd0027-0044,nzd0027-0047,nzd0027-0048,nzd0027-0049,nzd0027-0050,nzd0027-0051,nzd0027-0057,nzd0027-0058,nzd0027-0059,nzd0027-0060,nzd0027-0061,nzd0027-0062,nzd0027-0063,nzd0027-0064,nzd0027-0065,nzd0027-0066,nzd0027-0067,nzd0027-0068,nzd0027-0069,nzd0027-0070,nzd0027-0071,nzd0027-0072,nzd0027-0073,nzd0027-0074,nzd0027-0075,nzd0027-0076,nzd0027-0077,nzd0027-0078,nzd0027-0079,nzd0027-0080,nzd0027-0081,nzd0027-0082,nzd0027-0083,nzd0027-0084,nzd0027-0085,nzd0027-0086,nzd0027-0087,nzd0027-0088,nzd0027-0089,nzd0027-0090,nzd0027-0091,nzd0027-0092,nzd0027-0093,nzd0027-0094,nzd0027-0095,nzd0027-0096,nzd0027-0029,nzd0027-0030,nzd0027-0031,nzd0027-0032,nzd0027-0033,nzd0027-0045,nzd0027-0046,nzd0027-0052,nzd0027-0053,nzd0027-0054,nzd0027-0055,nzd0027-0056,nzd0027-0026,nzd0027-0027,nzd0027-0028
1999-08-17 22:10:26.276000,L7,461.52,378.34,368.52,369.84,378.65,359.83,475.87,470.19,461.80,329.77,493.78,517.20,499.06,492.35,524.09,498.14,508.97,536.68,342.86,318.94,514.92,532.54,490.86,494.09,467.52,517.53,268.56,298.72,304.43,294.16,319.29,326.22,313.95,322.16,317.88,314.57,319.37,321.50,313.49,306.66,438.08,395.74,293.71,300.63,294.13,294.80,296.69,400.64,393.57,397.56,382.50,383.09,357.05,357.97,353.65,349.27,346.47,337.15,342.00,349.85,333.85,355.61,348.01,349.41,344.20,332.92,333.47,332.15,327.54,287.86,322.67,325.49,327.50,327.85,320.63,330.22,317.15,249.80,307.62,318.29,342.41,366.82,,,,,,,,,,,,,,,
1999-10-04 22:10:38.131000,L7,422.56,407.58,264.77,435.30,446.65,331.87,470.20,469.67,463.02,469.12,468.46,476.74,558.91,536.97,536.95,548.94,547.27,559.27,553.02,549.24,530.92,,,,,,264.12,299.63,304.75,265.78,241.24,326.73,282.43,260.11,318.05,527.14,541.06,508.07,502.59,490.63,429.90,452.66,457.04,478.99,466.19,466.16,465.69,445.19,413.71,409.60,413.41,413.60,425.38,424.43,423.17,423.15,403.48,342.27,412.86,413.85,290.93,307.74,309.97,310.94,321.26,319.96,324.37,330.91,357.24,320.40,320.82,310.55,315.39,343.01,541.85,538.87,344.31,368.97,368.67,409.24,433.11,402.85,550.83,542.90,503.36,520.27,525.28,517.66,511.08,455.85,461.01,420.72,468.71,450.45,,,
1999-12-07 22:10:30.042000,L7,366.88,318.93,296.50,349.32,446.55,444.86,369.83,334.03,290.19,429.12,365.27,343.18,439.31,383.55,,327.69,347.45,398.87,313.21,,,,,512.54,563.77,532.08,,,,,284.82,272.75,225.41,,,,,,,,,,235.21,214.43,244.99,229.50,239.74,269.33,203.84,224.69,299.28,361.43,,370.44,376.20,327.88,365.43,,,,437.65,441.49,383.65,458.39,436.36,305.05,363.41,338.35,323.61,328.37,329.03,317.80,321.54,322.27,318.49,317.32,328.81,306.31,262.28,,,366.27,,,,,,,,,,,,,,,
2000-02-09 22:10:19.398000,L7,539.36,328.42,374.25,369.70,383.84,369.21,423.48,408.18,411.55,410.62,415.16,420.96,406.03,406.09,408.96,418.12,412.26,420.28,428.22,432.13,422.22,436.18,444.37,445.68,439.98,429.45,461.92,438.61,448.97,438.67,437.33,425.57,552.50,531.82,509.77,523.71,524.06,515.33,503.78,472.45,472.68,468.34,467.40,459.15,462.02,458.46,444.18,439.79,426.75,423.13,422.25,404.86,246.20,237.47,250.03,266.62,217.94,227.95,217.11,198.73,194.19,216.62,197.31,390.82,381.43,395.61,387.38,379.19,371.39,354.69,363.64,358.16,354.28,372.50,351.61,384.13,355.52,339.63,301.21,307.29,330.26,371.17,444.73,419.98,446.18,452.99,461.39,510.28,509.67,454.46,470.88,473.55,479.84,467.15,442.02,422.51,423.12
2000-03-28 22:10:07.233000,L7,361.26,324.72,266.44,477.67,467.13,477.28,528.18,528.27,506.46,501.04,506.76,508.57,,505.81,514.39,544.75,474.57,539.32,523.77,531.07,522.71,542.76,547.25,539.27,529.90,553.95,486.21,524.65,487.87,299.88,383.59,397.02,358.51,212.22,326.73,527.37,527.02,552.16,458.37,300.22,557.11,477.37,392.95,380.30,381.50,371.75,360.19,358.52,353.43,353.01,348.19,347.35,345.66,339.40,340.44,331.03,325.67,324.24,320.33,319.69,321.61,471.43,400.00,367.23,240.09,317.91,393.06,479.28,472.64,502.35,472.35,305.63,308.92,304.83,245.85,,279.22,280.23,306.64,326.56,363.97,382.48,457.93,452.14,462.47,478.64,473.93,527.41,531.40,372.90,364.14,383.04,384.26,389.51,548.68,556.77,473.76
2000-04-29 22:09:53.797000,L7,363.52,443.20,425.78,200.98,411.37,425.04,458.18,461.10,434.27,451.96,452.79,465.39,457.56,453.53,462.34,466.66,457.35,463.67,467.28,467.04,468.14,480.48,490.04,491.62,494.30,485.11,493.39,500.02,499.32,489.35,493.59,474.57,443.52,441.65,437.17,435.42,437.35,420.21,418.37,411.01,404.69,391.78,390.76,390.94,392.10,381.35,376.70,372.80,367.50,368.84,362.30,358.09,351.41,351.24,345.65,347.22,340.51,338.52,332.08,327.18,328.06,332.19,326.03,321.12,323.75,317.18,314.22,313.04,305.69,305.14,298.25,301.21,301.45,301.58,295.17,296.39,276.93,274.68,247.76,331.46,357.74,365.72,464.65,468.00,465.34,479.11,488.82,426.36,427.43,378.26,381.39,398.73,403.65,386.50,489.22,496.10,480.55
2000-05-15 22:09:42.527000,L7,380.65,426.61,506.46,479.53,484.56,458.51,504.58,511.28,468.23,502.44,342.46,350.59,,,,359.53,351.06,356.08,361.82,339.71,357.62,369.59,358.18,374.77,350.39,,273.89,303.58,325.31,526.31,516.91,508.97,326.36,331.76,327.75,328.69,324.11,329.43,323.98,313.63,,,302.76,402.97,409.59,424.58,417.73,419.77,378.99,457.21,441.72,419.75,412.64,404.74,390.49,363.52,379.40,361.31,368.59,371.19,367.60,392.89,353.60,350.41,308.96,351.90,353.86,346.26,299.29,341.23,336.15,335.29,333.81,337.32,330.18,332.50,322.77,314.18,308.54,325.64,342.03,359.45,,,,,281.88,314.92,318.71,,,,246.11,186.23,,,
2000-08-03 22:08:44.137000,L7,422.10,445.39,424.70,220.72,440.59,425.62,473.20,370.20,477.43,467.43,492.30,487.02,473.87,439.59,481.18,491.98,462.50,347.44,325.32,337.34,329.30,504.51,419.32,526.41,506.96,495.52,439.60,494.31,483.63,303.93,328.26,331.84,309.09,326.38,318.29,322.56,320.80,325.20,314.72,266.67,,,346.88,415.19,337.41,337.44,409.30,407.72,395.89,321.41,395.74,388.00,378.57,378.26,373.00,365.18,304.35,359.30,354.70,349.30,338.19,290.27,343.10,350.79,361.77,357.83,357.31,340.92,325.42,325.58,326.88,321.63,318.47,333.98,313.97,314.13,316.95,310.36,303.42,296.47,317.75,360.22,493.49,490.46,383.13,334.93,270.72,315.42,310.77,,391.71,389.02,418.02,416.07,465.10,472.80,
2000-09-04 22:08:22.800000,L7,411.00,333.21,269.23,206.33,297.85,292.94,420.90,329.64,324.36,260.83,,464.65,504.52,,,,484.08,507.71,281.60,312.19,499.58,,406.60,390.78,372.74,365.93,261.97,268.19,329.44,347.86,329.69,330.77,232.85,,,,284.54,266.26,,,,,296.45,299.43,297.41,295.49,296.17,289.15,288.76,287.70,292.11,287.93,253.57,286.21,286.85,274.16,216.98,261.71,242.08,256.03,253.58,230.75,256.20,253.51,252.13,326.70,328.96,330.23,297.30,326.16,324.32,323.44,321.92,319.41,286.05,317.26,313.81,307.12,304.38,316.59,349.14,368.06,357.57,348.33,304.55,,,274.64,273.94,,,,,194.85,349.93,353.29,270.69
2000-10-06 22:07:59.689000,L7,370.29,363.90,272.65,203.79,292.65,331.33,421.21,326.88,325.99,255.10,539.23,553.52,531.74,552.59,495.92,563.89,551.71,543.86,536.84,319.54,,,,536.35,510.10,523.69,253.27,533.76,515.60,513.60,496.69,548.18,533.65,265.90,557.43,546.50,406.72,211.12,195.81,206.58,193.99,,496.12,514.07,509.15,282.11,254.59,284.47,286.46,283.01,450.88,489.17,275.99,287.31,292.22,274.60,218.64,250.03,223.42,249.83,241.97,219.71,250.29,248.39,246.47,250.46,236.34,246.84,210.77,334.94,335.86,298.65,331.69,296.71,322.59,295.42,313.81,306.62,311.88,324.88,349.18,367.54,,,,,,332.13,203.15,,,,230.29,207.64,522.38,547.28,
