dates,satname,nzd0102-0000,nzd0102-0001,nzd0102-0002,nzd0102-0003,nzd0102-0004,nzd0102-0005,nzd0102-0006
1999-09-27 22:04:48.949000,L7,,,,182.49,234.30,256.42,223.08
1999-11-14 22:04:42.286000,L7,,,,179.92,233.25,227.70,230.74
2000-05-24 22:03:46.662000,L7,283.36,189.01,214.44,198.10,240.25,267.13,223.35
2000-08-12 22:02:54.094000,L7,269.46,,,,,,
2000-10-15 22:01:56.204000,L7,,,,178.21,237.50,257.99,234.05
2001-11-03 22:00:10.954000,L7,,,,211.90,239.06,257.16,239.02
2001-12-05 22:00:18.987000,L7,,,,,217.09,198.84,211.31
2002-01-06 22:00:31.992000,L7,,,,173.33,235.48,245.73,231.38
2002-06-15 22:00:19.658000,L7,263.44,240.73,260.55,208.45,235.21,227.51,237.67
2002-08-18 21:59:57.690000,L7,286.77,436.41,552.17,493.30,523.37,,457.93
2002-11-06 21:59:41.879000,L7,,,,,226.49,221.49,221.71
2003-01-25 22:00:18.779000,L7,,,,174.77,227.68,225.37,223.75
2003-08-06 21:42:27.230000,L5,,,,,198.88,206.09,177.50
2003-09-30 21:49:30.432000,L5,273.84,213.47,208.20,,206.34,223.41,180.63
2003-12-03 21:50:19.675000,L5,316.79,265.75,231.51,193.10,236.47,260.04,237.05
2004-02-21 21:50:47.082000,L5,,,,,193.92,197.15,180.06
2004-07-30 21:54:28.143000,L5,308.34,262.22,238.54,191.97,234.63,255.52,220.07
2004-10-18 21:56:23.891000,L5,313.85,268.96,247.66,202.13,237.70,264.05,224.35
2004-11-03 21:56:42.977000,L5,318.16,272.39,252.37,212.03,240.49,271.91,237.24
2004-11-19 21:56:55.269000,L5,297.19,253.17,234.26,203.11,237.91,263.38,234.67
2005-02-23 21:58:31.621000,L5,301.76,255.26,232.08,187.68,235.90,258.98,221.01
2005-03-11 21:58:44.158000,L5,306.65,261.42,232.33,186.89,237.75,262.15,226.65
2005-05-30 21:59:15.499000,L5,311.11,271.67,247.01,190.73,240.20,264.81,234.60
2005-07-17 21:59:35.576000,L5,,,,,207.73,211.57,183.09
2005-09-19 21:59:56.928000,L5,,,,,209.46,220.84,182.56
2005-11-22 22:00:23.113000,L5,315.22,256.43,235.41,195.12,236.45,259.76,234.69
2006-05-17 22:03:57.969000,L5,310.58,270.90,246.49,196.80,247.42,266.65,234.51
2006-07-04 22:04:41.660000,L5,310.61,267.06,244.96,188.92,244.82,262.26,226.49
2006-08-21 22:05:19.629000,L5,,,,,207.11,217.81,181.34
2006-12-11 22:06:28.205000,L5,,,,,195.09,195.67,347.05
2007-01-05 22:00:28.480000,L5,,,,,216.97,213.48,194.24
2007-09-25 22:04:48.945000,L5,,,,,210.16,225.21,193.40
2008-02-16 22:02:22.163000,L5,,,,,210.87,214.75,190.72
2008-10-29 21:55:24.451000,L5,314.07,267.37,243.16,199.46,240.14,260.06,235.35
2010-02-21 22:02:44.773000,L5,,,,,208.74,218.90,194.39
2011-01-07 22:01:44.406000,L5,,,,,,,178.55
2013-04-11 22:07:51.092000,L8,297.32,279.24,249.94,196.01,256.95,280.48,260.95
