dates,satname,nzd0467-0000,nzd0467-0001,nzd0467-0002,nzd0467-0003,nzd0467-0004,nzd0467-0005,nzd0467-0006,nzd0467-0007,nzd0467-0008,nzd0467-0009,nzd0467-0010,nzd0467-0011,nzd0467-0012,nzd0467-0013,nzd0467-0014,nzd0467-0016,nzd0467-0017,nzd0467-0018,nzd0467-0019,nzd0467-0020,nzd0467-0021,nzd0467-0022,nzd0467-0023,nzd0467-0024,nzd0467-0025,nzd0467-0026,nzd0467-0027,nzd0467-0028,nzd0467-0043,nzd0467-0044,nzd0467-0045,nzd0467-0053,nzd0467-0054,nzd0467-0055,nzd0467-0056,nzd0467-0057,nzd0467-0058,nzd0467-0059,nzd0467-0060,nzd0467-0061,nzd0467-0062,nzd0467-0063,nzd0467-0064,nzd0467-0065,nzd0467-0066,nzd0467-0067,nzd0467-0068,nzd0467-0069,nzd0467-0070,nzd0467-0072,nzd0467-0073,nzd0467-0074,nzd0467-0075,nzd0467-0076,nzd0467-0077,nzd0467-0078,nzd0467-0079,nzd0467-0080,nzd0467-0081,nzd0467-0082,nzd0467-0083,nzd0467-0084,nzd0467-0085,nzd0467-0086,nzd0467-0087,nzd0467-0088,nzd0467-0089,nzd0467-0090,nzd0467-0091,nzd0467-0092,nzd0467-0093,nzd0467-0094,nzd0467-0095,nzd0467-0096,nzd0467-0097,nzd0467-0098,nzd0467-0099,nzd0467-0100,nzd0467-0101,nzd0467-0102,nzd0467-0103,nzd0467-0104,nzd0467-0105,nzd0467-0106,nzd0467-0107,nzd0467-0108,nzd0467-0109,nzd0467-0110,nzd0467-0111,nzd0467-0112,nzd0467-0113,nzd0467-0114,nzd0467-0115,nzd0467-0116,nzd0467-0117,nzd0467-0118,nzd0467-0119,nzd0467-0120,nzd0467-0121,nzd0467-0122,nzd0467-0128,nzd0467-0129,nzd0467-0130,nzd0467-0131,nzd0467-0132,nzd0467-0133,nzd0467-0134,nzd0467-0046,nzd0467-0047,nzd0467-0048,nzd0467-0049,nzd0467-0050,nzd0467-0051,nzd0467-0052,nzd0467-0123,nzd0467-0124,nzd0467-0125,nzd0467-0126,nzd0467-0127,nzd0467-0015,nzd0467-0042,nzd0467-0071,nzd0467-0029,nzd0467-0039,nzd0467-0040,nzd0467-0041,nzd0467-0038,nzd0467-0030,nzd0467-0031,nzd0467-0032,nzd0467-0033,nzd0467-0034,nzd0467-0035,nzd0467-0036,nzd0467-0037
1999-09-27 22:07:12.757000,L7,205.14,195.35,207.21,217.01,209.22,170.77,418.14,423.96,401.24,431.74,423.12,327.94,322.65,322.13,331.86,321.61,421.36,430.00,427.32,421.71,422.16,420.72,328.35,311.74,328.65,321.51,322.57,326.18,318.76,326.74,331.83,319.43,296.48,244.70,246.90,314.09,313.25,312.70,317.07,314.13,315.67,310.74,317.84,305.12,313.09,305.53,267.21,303.57,297.67,178.37,282.48,313.48,316.60,327.11,328.71,326.12,331.46,360.08,337.43,335.20,330.46,328.16,322.94,312.48,311.39,314.61,308.10,301.60,310.31,308.00,296.31,303.28,299.28,313.88,319.72,346.83,318.36,290.34,269.74,285.46,310.90,289.13,300.00,301.65,303.12,303.22,288.74,286.13,297.21,297.57,277.46,271.12,274.54,281.77,159.43,184.27,190.05,260.47,198.19,213.42,313.03,317.00,319.69,314.93,314.04,185.68,203.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-13 22:07:12.582000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.19,260.52,171.75,205.92,242.62,173.61,,,,,,,,191.44,232.85,218.18,245.79,196.59,275.76,214.92,287.37,,,,289.66,284.71,262.54,,185.45,241.80,233.67,,150.50,222.44,225.82,228.59,208.56,219.10,235.25,247.10,234.96,217.71,204.08,199.55,,,,,,,,228.12,236.28,231.72,230.73,226.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-30 22:06:59.059000,L7,206.03,187.57,192.22,216.36,200.92,164.01,325.62,321.63,323.50,328.41,330.96,332.14,328.83,331.70,329.43,321.29,334.54,325.36,325.85,338.42,324.65,328.99,328.78,326.55,333.56,334.91,336.72,325.45,323.98,330.23,333.98,442.12,411.91,405.41,439.76,492.82,,,489.86,460.57,462.50,416.99,425.43,401.61,413.12,357.28,311.51,307.21,308.41,300.27,305.96,318.79,320.21,328.76,328.67,330.52,333.70,334.25,338.93,336.71,334.63,328.90,326.76,321.32,311.06,312.60,307.97,316.25,310.75,316.93,314.67,319.94,319.16,326.27,330.86,332.15,335.74,332.67,319.42,327.50,327.75,319.21,300.54,293.14,299.55,292.40,289.66,287.79,334.82,330.17,341.32,265.16,274.40,273.38,282.39,277.92,280.20,388.53,464.93,370.63,,,,,,,,274.75,322.85,270.71,391.07,418.81,418.69,434.55,342.44,384.31,375.65,357.76,352.56,,,,,,,,,,,,,,,,
1999-12-16 22:07:09.748000,L7,278.38,278.00,274.08,271.00,270.21,269.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.09,189.72,227.12,259.01,290.30,286.74,252.58,283.71,254.55,283.05,269.05,,,,,,154.22,208.62,261.55,278.74,285.33,273.90,289.37,,278.69,279.71,267.57,,,279.04,249.80,260.42,245.07,256.24,268.73,246.40,251.99,235.14,234.64,237.25,219.35,220.52,245.53,286.08,279.71,235.50,217.83,212.24,225.79,243.67,160.66,,180.81,233.56,222.65,,,,,,,,,,,,,186.18,177.95,171.42,171.74,171.54,185.54,205.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:05:17.927000,L7,313.63,317.76,308.43,306.22,320.93,319.82,265.67,317.97,331.13,273.62,330.41,333.89,331.09,335.90,333.61,324.53,341.67,329.87,335.71,333.90,334.65,336.86,291.12,321.34,,,,,338.66,344.11,332.55,334.70,276.25,242.66,242.42,321.07,324.52,320.39,320.67,325.04,316.85,315.51,320.17,306.66,306.79,304.11,302.22,304.13,308.92,172.37,297.23,319.25,322.39,328.64,322.05,327.85,333.22,358.73,337.96,352.64,333.88,333.33,325.79,316.62,274.29,315.94,307.83,304.08,311.39,303.28,298.04,297.07,284.48,322.45,340.53,346.11,322.24,292.14,313.20,307.61,296.31,278.54,,,,291.42,287.74,287.91,282.46,287.09,269.60,273.61,277.94,281.74,273.49,276.18,282.42,264.28,264.88,251.51,321.97,319.81,323.34,330.56,322.69,305.84,232.71,223.25,250.27,180.46,336.93,335.35,311.53,329.10,277.93,273.02,283.52,253.49,232.67,,,,,,,,,,,,,,,,
2000-12-18 22:04:37.758000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.12,224.86,225.90,230.02,,,,238.67,236.08,218.28,205.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:04:36.218000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.19,202.14,252.75,203.73,213.42,234.40,225.03,195.49,201.54,,,,,,,,,,,,,,,,,,,,,,,,,,165.03,218.83,242.30,237.98,232.02,,,,253.75,203.88,218.29,211.19,186.82,204.47,228.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:04:36.568000,L7,316.96,318.44,306.94,307.03,312.12,329.22,313.00,314.95,340.24,357.31,328.97,336.32,330.62,328.41,365.12,329.73,340.62,321.14,320.81,325.97,320.86,287.70,353.46,321.85,354.15,364.35,364.18,355.39,365.82,356.17,350.16,368.86,333.14,366.96,353.54,353.78,352.17,361.40,352.38,347.06,344.36,333.80,311.02,310.20,325.61,313.39,316.71,305.32,312.63,301.42,303.80,321.22,320.87,337.72,328.38,330.07,348.24,352.68,337.42,355.71,363.93,344.26,323.75,318.21,328.88,336.99,322.81,310.50,318.04,319.18,313.45,340.72,337.69,329.07,357.13,341.05,338.99,352.14,321.96,358.29,322.91,338.69,308.08,292.09,294.81,288.45,268.97,248.39,329.74,340.31,333.76,351.20,183.32,213.00,222.32,223.20,210.30,197.59,256.05,251.33,332.70,334.13,330.62,341.89,326.45,330.03,202.25,367.53,346.15,312.64,340.03,371.13,377.39,357.65,251.55,286.62,255.77,242.22,209.47,351.74,328.48,,,,,,,,,,,,,,
2001-04-09 22:04:17.927000,L7,293.13,297.93,288.96,285.33,283.39,283.25,,,,,,,,,,,,,,,,,,,,,,,,,301.93,311.31,301.86,291.42,282.85,298.99,293.61,290.84,287.74,288.53,289.53,286.41,286.32,273.66,272.49,278.11,238.74,,,,,,,159.81,245.53,294.12,290.20,305.02,302.07,302.45,308.28,306.84,309.55,299.09,276.78,272.94,280.50,280.24,291.92,291.11,288.00,287.02,285.34,288.63,303.28,302.02,297.62,297.21,280.84,298.91,296.20,189.04,220.80,259.37,272.65,290.21,288.83,287.54,280.22,287.09,280.67,273.94,237.73,,,,,,,,313.02,308.06,304.12,299.14,297.29,,,270.32,309.57,248.10,267.88,319.73,308.00,318.89,,,,,297.36,,,,,,,,,,,,,,,,
2002-02-23 22:03:07.400000,L7,302.56,298.82,289.37,295.00,297.28,303.09,303.36,309.30,267.98,309.94,319.18,317.99,312.84,315.97,313.60,,,,,,,,,,,,,,,,,,,,186.07,227.68,307.16,309.98,303.54,296.20,295.17,300.44,303.32,296.09,290.03,243.43,,,,169.59,222.51,296.52,305.01,313.20,312.31,313.68,313.53,319.08,327.98,326.68,329.75,320.14,314.29,306.43,300.41,302.45,300.16,292.69,295.17,303.24,305.87,300.62,311.01,313.72,322.94,316.10,319.03,311.55,302.81,309.53,311.26,307.66,278.22,,271.85,280.66,287.56,281.60,277.77,277.41,276.21,274.63,274.35,272.95,271.08,273.96,274.06,267.09,266.38,265.20,313.71,313.07,310.14,311.42,308.55,211.80,227.97,,,,,,,,272.07,269.34,274.10,234.02,207.18,,,,,,,,,,,,,,,,
2002-12-08 22:02:27.564000,L7,304.58,302.57,294.79,230.41,300.54,299.26,271.27,305.64,309.62,314.98,322.68,326.56,313.07,316.61,313.43,,,,,,,,,,,,,,,,,316.21,321.57,308.42,311.75,313.62,314.80,328.31,309.32,309.14,301.82,303.35,302.09,294.07,292.09,294.04,300.46,290.55,,190.88,270.73,297.60,292.85,308.35,314.79,317.28,312.79,320.57,342.80,323.92,306.62,320.12,306.79,294.76,272.42,308.42,318.50,299.84,298.93,320.76,300.04,288.74,299.80,332.84,333.84,332.72,311.32,302.23,303.84,303.78,308.83,307.71,272.68,280.09,289.16,285.52,273.48,255.05,279.00,277.64,279.71,274.44,277.83,275.21,273.72,269.28,276.85,271.43,267.21,276.78,307.55,304.00,311.56,319.87,318.35,229.27,259.59,,,,,,,,275.88,279.25,287.03,276.34,297.66,,,152.87,,,,,,,,,,,,,
2002-12-24 22:02:33.044000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.34,173.55,156.96,158.04,241.24,248.18,,,,,,,,,,,,,,,,205.59,188.93,206.94,240.34,,,,,,,,,,,,,,,,,,,,,,,,171.23,231.88,227.45,227.38,227.12,222.34,220.92,226.17,178.02,,,,,189.73,206.61,,,,,,,,,,,,,,,209.66,209.17,203.13,193.22,,,,,,,,,,,,,,,,,
2003-09-14 21:51:42.461000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.71,202.33,287.56,275.47,231.71,239.93,,,,,,,,157.92,221.92,285.36,294.72,317.54,327.81,327.66,327.56,333.31,333.48,330.98,325.25,331.96,325.50,320.07,299.82,312.28,302.52,299.80,309.07,311.07,224.59,229.79,208.99,198.19,197.89,215.59,237.13,231.72,204.57,192.07,295.41,308.28,304.21,313.82,319.38,317.48,305.66,300.02,281.29,290.40,273.02,272.62,276.67,290.16,227.83,275.79,275.06,265.19,263.54,214.91,220.98,209.40,201.19,197.49,203.78,216.65,232.57,,,,,,,,224.13,198.16,213.68,199.32,243.26,,,,,,,,,,,,,,,,
2003-11-17 21:52:33.290000,L5,330.86,327.39,318.74,296.88,302.33,303.93,308.73,306.62,311.07,310.80,335.74,337.35,328.08,334.74,335.26,,313.02,309.84,318.37,278.92,315.28,278.78,312.94,331.04,,,,,,160.24,288.49,330.36,328.52,305.97,322.61,326.19,330.72,322.49,307.21,310.87,306.91,304.30,306.24,299.68,301.95,315.30,317.76,311.00,285.80,201.86,259.16,291.46,290.15,306.74,313.80,317.26,320.82,323.39,348.70,348.47,351.14,342.45,338.23,338.50,331.93,311.22,306.84,303.20,305.51,312.45,213.43,229.90,228.25,211.43,217.74,235.49,255.93,238.76,214.44,192.69,314.09,314.74,303.02,297.65,301.80,296.76,308.14,304.81,293.38,297.33,293.54,286.89,290.27,276.11,280.61,274.33,279.07,265.20,262.60,259.70,339.26,338.57,319.51,319.65,321.43,310.81,227.95,204.17,258.76,268.82,293.61,259.75,287.57,326.08,275.21,289.39,246.58,,253.98,,,,,,,,,,,,,,,,
2003-12-03 21:52:43.369000,L5,186.15,162.62,154.83,199.04,189.81,154.10,325.99,324.66,311.45,311.43,318.95,320.44,309.51,317.60,320.00,,319.00,322.34,330.34,329.26,326.34,319.88,312.65,304.76,,,,,,,,320.56,317.47,296.71,305.28,321.89,329.30,329.48,327.79,327.46,324.93,321.90,317.05,302.30,300.09,300.94,301.52,285.32,,274.34,296.72,311.05,308.93,327.05,333.17,332.25,325.86,325.59,332.60,332.17,337.34,327.96,330.08,337.53,330.21,329.85,328.68,324.05,324.55,330.71,311.95,317.42,312.53,321.24,329.27,328.60,325.98,338.00,331.80,331.46,333.21,334.01,328.49,321.42,309.23,303.45,296.33,288.08,278.43,282.12,289.92,297.88,295.27,299.04,244.33,239.25,201.91,210.22,281.13,277.18,339.88,338.13,340.21,342.36,341.74,330.15,252.21,,311.07,308.81,318.81,313.08,308.23,317.90,281.21,287.66,289.80,284.80,265.07,,,,,,,,,,,,,,,,
2004-02-05 21:53:05.047000,L5,296.68,295.02,289.83,291.58,285.62,284.46,,,,,,,,,,,,,,,,,,,,,,,,,,294.18,310.99,291.96,293.18,312.25,309.08,302.96,302.79,307.32,301.27,291.60,294.45,287.34,289.27,173.26,292.01,280.22,,180.77,235.01,292.39,294.96,312.45,309.12,304.57,302.03,317.26,318.48,318.20,317.24,321.50,324.84,315.45,311.65,307.29,303.39,302.37,297.76,302.73,301.54,304.22,302.24,307.40,320.01,327.29,326.66,322.35,310.63,318.88,319.45,322.71,301.93,297.38,300.72,295.78,291.63,287.51,274.59,287.52,292.10,278.17,289.76,296.29,290.35,292.08,280.40,272.69,278.34,282.62,330.44,330.45,328.70,329.79,328.26,316.58,309.76,,,,,,,283.28,277.74,287.93,285.64,291.69,275.91,,,,,,,,,,,,,,,,
2004-07-30 21:56:51.838000,L5,198.88,191.53,224.11,223.06,203.11,171.34,309.52,314.76,277.79,326.00,326.84,285.45,,,,,,,,,,,,,,,,,,307.86,300.15,309.06,305.83,293.98,301.85,318.56,309.26,302.48,297.73,305.36,301.36,306.14,298.77,293.03,301.77,291.37,291.42,,,171.35,215.86,282.22,295.91,309.44,316.59,316.61,310.38,337.23,331.95,317.68,317.35,316.14,326.63,311.08,284.23,305.70,303.01,303.72,308.87,152.58,228.55,234.54,229.99,194.09,198.53,228.28,243.86,231.77,203.99,200.97,305.59,305.34,308.04,314.19,312.70,314.14,306.99,303.48,292.17,283.52,289.99,270.04,286.92,286.87,283.45,286.18,279.06,264.33,253.14,268.88,143.47,269.13,330.26,322.26,319.67,208.73,229.10,277.30,295.11,293.78,305.96,320.98,319.89,331.22,266.50,267.42,262.44,236.08,232.22,,,,,,,,,,,,,,,,
2004-08-15 21:57:13.549000,L5,,,,290.22,298.71,308.04,287.59,306.98,,,,,,,,,,,,,,,,,,,,,,,,,231.46,170.96,210.59,224.30,300.71,303.29,301.02,295.07,300.05,297.54,298.23,291.17,292.18,278.50,,,,173.44,219.88,281.06,287.75,306.27,314.78,317.61,302.41,332.68,332.21,331.63,321.53,332.30,325.97,313.60,259.81,310.32,301.45,303.94,307.13,278.44,300.30,302.32,294.36,275.27,318.73,296.69,302.25,287.30,278.40,260.78,289.30,296.76,304.73,313.18,311.95,308.58,302.93,300.51,277.63,289.99,274.52,275.05,286.42,230.44,266.56,268.00,162.69,259.00,228.76,,152.72,185.15,193.52,178.38,190.10,206.18,217.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-18 21:58:47.729000,L5,313.31,311.06,300.66,299.73,313.72,314.10,325.83,318.75,324.32,322.33,327.06,245.23,316.89,322.14,323.31,315.59,320.88,325.83,331.35,331.40,330.70,339.74,288.28,331.30,,,,,,,314.29,323.96,303.43,248.33,250.94,315.45,314.91,313.44,310.34,322.56,316.82,316.05,318.45,310.39,310.13,303.56,299.63,,,170.82,220.20,292.45,293.91,314.85,321.71,323.77,330.54,333.71,337.32,333.25,332.62,326.95,325.19,312.54,306.50,312.89,317.40,315.18,317.41,320.45,315.35,319.51,310.82,311.50,320.83,324.13,311.03,307.86,293.64,314.39,324.43,323.90,311.47,311.91,314.32,310.41,303.35,284.91,269.40,270.70,271.94,260.77,271.53,281.30,289.23,289.93,285.57,277.24,273.94,272.16,326.49,325.25,324.80,333.41,332.89,316.35,238.80,224.09,220.14,195.96,185.10,172.41,155.13,336.44,275.19,268.36,268.68,253.77,,,,,,,,,,,,,,,,,
