dates,satname,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0080,nzd0532-0081
1999-10-27 22:19:51.122000,L7,442.88,468.53,443.45,429.13,357.99,336.46,330.45,456.56,489.50,473.82,445.23,423.72,440.99,425.46,433.21,426.91,426.48,428.17,430.32,383.68,391.56,398.94,436.49,461.38,453.71,437.51,441.87,417.76,420.03,422.04,414.12,358.76,378.60,385.62,466.63,452.03,399.08,437.40,467.19,404.88,397.55,416.61,427.10,515.44,508.20,387.76,387.17,388.12,385.08,382.91,340.39,323.78,321.17,322.50,334.19,359.32,456.42,489.84,454.24,474.16,506.00,494.92,293.47,210.01,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,,,,,,223.73,204.97,220.89,201.28,153.91,165.10,165.69,159.93,167.10,174.29,185.37,187.16,191.96,282.56,238.98,311.50,318.61,226.95,291.48,362.16,360.09,372.09,282.84,293.19,283.82,325.36,307.49,319.67,374.27,378.52,276.96,287.90,279.76,339.06,358.78,431.63,329.48,336.24,466.38,,,,,,,,,,,,,,,,,,,,,472.15,364.64,490.93,474.21,477.33,460.78,387.19,373.56,379.26,380.11,380.43,,,,,,,,,,,,,,
1999-12-30 22:19:45.690000,L7,240.27,256.46,269.95,268.89,271.78,258.80,266.80,267.28,280.36,281.86,288.87,279.72,274.59,274.31,273.56,275.83,282.85,287.38,283.64,284.36,286.87,282.24,285.02,286.28,301.98,306.73,305.93,305.25,292.82,281.05,166.91,232.07,259.29,241.53,257.03,249.56,261.46,273.08,280.97,298.23,301.70,302.97,305.22,304.02,327.18,327.60,332.64,334.26,339.59,339.06,338.83,335.93,338.50,337.97,336.34,335.30,342.45,357.78,362.36,375.93,381.45,379.47,381.89,374.50,320.26,321.90,328.75,306.97,315.33,313.02,315.34,318.16,315.32,323.39,319.36,310.05,311.34,309.53,302.89,299.76,298.01,298.59,281.55,244.25,241.68,258.56,296.12,347.58,341.80
2000-04-20 22:19:15.385000,L7,,,234.65,232.97,242.30,220.31,228.10,208.69,234.32,230.83,242.46,235.07,153.67,216.99,,,215.68,228.31,237.75,225.79,227.92,190.09,155.70,187.59,221.27,253.60,209.06,,,,,,,,138.56,174.22,159.35,163.03,170.47,176.00,172.00,159.89,169.07,164.43,291.16,304.11,308.61,301.74,318.06,327.28,293.99,308.89,169.23,200.71,203.62,204.01,251.23,327.48,341.37,358.92,361.88,367.00,326.78,190.87,182.42,241.13,243.86,280.79,280.88,281.52,260.47,203.68,136.57,276.59,,,,264.13,283.54,282.27,243.10,252.20,,,,139.70,253.60,338.20,
2000-05-22 22:18:57.481000,L7,215.99,252.92,270.34,275.37,272.79,260.93,265.67,264.58,275.65,280.60,288.73,284.90,277.78,278.59,294.45,272.99,287.70,287.06,280.68,288.43,290.18,295.73,296.93,293.99,303.73,304.68,300.69,297.34,285.83,301.03,265.50,270.49,286.41,270.18,275.89,269.40,256.37,261.35,279.41,292.54,304.15,305.24,306.42,301.78,327.53,330.50,338.31,339.33,346.64,347.31,342.57,341.54,338.94,349.93,352.76,352.26,356.35,375.89,388.84,403.99,402.04,403.06,402.86,403.23,311.88,321.32,324.49,322.28,315.83,314.39,311.69,321.41,318.84,318.28,324.93,314.96,313.45,312.55,301.02,303.71,302.50,305.50,288.58,240.14,255.72,265.28,318.77,369.65,364.60
2000-06-07 22:18:48.627000,L7,208.86,243.89,281.35,280.56,274.38,269.60,269.39,263.44,271.86,289.02,289.94,281.45,277.50,279.74,278.52,273.61,295.84,292.58,290.22,289.70,297.73,285.86,296.33,291.61,302.40,306.19,297.43,306.81,286.76,237.82,305.85,481.78,364.99,388.45,446.88,506.79,257.84,273.37,272.27,297.42,308.51,304.24,307.01,302.73,332.70,337.55,340.86,347.11,350.98,358.72,467.60,482.99,487.72,489.38,450.12,475.22,464.38,388.80,403.46,423.66,423.64,417.09,426.60,408.95,318.12,323.48,331.58,323.23,318.13,320.38,317.97,321.73,312.42,315.97,311.50,302.01,302.97,285.47,286.55,268.80,213.83,222.05,,,,252.23,312.75,384.49,381.59
2000-09-27 22:17:24.534000,L7,246.48,255.03,272.38,274.52,276.98,355.75,420.32,254.09,263.23,271.81,280.26,276.59,273.51,276.08,271.56,267.58,292.33,296.06,380.64,406.93,472.50,385.70,378.62,400.79,399.93,398.23,399.44,423.82,449.07,498.31,433.95,511.88,250.57,235.33,238.47,243.94,259.38,268.94,275.45,294.17,299.90,296.80,305.54,302.84,332.19,231.16,160.20,342.27,344.14,289.74,202.85,340.67,342.92,346.27,350.99,348.14,353.48,372.02,367.70,372.25,388.65,386.21,384.92,377.39,309.73,318.41,319.53,307.30,388.09,423.20,400.59,430.37,426.94,419.10,332.25,323.24,507.56,492.58,503.65,308.66,307.15,306.68,287.53,442.55,441.64,421.06,408.30,358.13,353.41
2000-10-29 22:17:19.582000,L7,246.33,266.17,275.67,276.71,274.18,266.10,271.08,266.98,275.55,283.11,288.51,282.24,276.05,279.22,279.46,279.89,298.66,302.00,297.19,295.97,299.43,294.89,291.07,302.92,307.32,315.72,313.39,308.50,300.68,299.64,228.79,239.25,280.32,280.41,276.56,281.93,284.44,161.82,164.43,177.06,237.14,238.42,225.92,251.46,,,,,,,,,,,,,,,,,,,,,250.22,258.16,262.02,438.36,,,,,,,,,,,,,,,,,,,,,
2001-03-22 22:17:09.568000,L7,247.63,277.33,281.43,292.04,277.98,269.11,274.86,295.91,287.05,294.77,298.72,292.82,294.05,321.89,316.16,302.04,320.19,312.86,364.34,376.67,311.87,299.79,301.40,375.21,404.27,433.12,421.43,403.27,331.81,318.61,318.64,323.06,353.21,266.21,276.34,282.16,288.14,288.00,315.91,322.03,328.27,325.66,320.98,320.11,330.82,335.33,342.66,346.72,348.58,351.43,351.21,351.57,352.87,360.43,359.48,354.03,357.48,374.12,382.02,381.04,390.29,388.93,388.22,384.48,330.84,331.43,332.96,328.14,334.48,332.12,329.76,358.32,394.30,385.76,383.85,328.04,321.47,314.52,308.83,313.92,317.37,312.85,307.08,302.75,312.27,314.84,323.93,362.93,363.70
2001-04-07 22:17:01.469000,L7,233.73,253.41,268.62,273.50,383.87,335.48,261.84,353.56,367.63,388.07,391.36,278.02,274.27,273.02,276.78,273.49,302.97,289.99,283.77,285.87,287.13,288.50,284.39,287.43,297.83,303.49,306.46,303.50,290.28,236.53,286.60,280.11,269.15,247.76,258.65,253.65,266.17,269.27,279.82,328.23,309.19,310.22,304.25,308.48,328.62,329.29,334.35,342.76,339.94,340.44,337.99,341.26,342.02,342.89,350.13,348.37,354.11,367.34,374.09,379.67,385.60,389.71,387.61,382.83,389.01,420.72,501.78,383.68,517.20,335.40,318.48,327.42,319.59,321.97,241.11,316.02,310.54,313.28,306.57,305.38,301.99,305.89,292.95,260.23,260.51,270.19,302.85,353.86,351.48
2001-11-01 22:15:17.839000,L7,381.05,391.91,271.46,277.16,275.69,265.99,257.43,260.36,269.79,277.46,283.76,278.77,273.10,275.04,275.71,273.38,296.97,298.31,294.99,292.69,387.72,383.08,389.42,384.53,384.93,382.30,410.24,408.15,416.98,236.06,199.34,252.53,266.28,249.77,247.47,258.70,265.11,271.25,279.87,298.86,306.19,303.76,308.75,307.66,328.42,329.01,332.19,332.98,340.69,342.14,332.23,333.99,336.35,339.70,345.73,340.07,347.63,363.56,366.52,373.36,385.31,382.10,384.59,373.10,312.60,317.64,319.96,311.94,319.61,315.41,300.37,314.85,318.07,325.07,326.53,317.61,315.34,311.75,305.90,307.78,306.63,309.00,287.98,251.42,257.33,281.56,308.85,350.84,341.98
2001-11-26 22:09:21.320000,L7,,,147.97,163.92,162.98,176.59,172.99,185.88,196.06,230.70,228.25,237.07,257.21,244.14,244.77,256.28,252.45,262.23,261.56,281.57,324.09,295.51,303.03,305.41,326.40,328.59,334.90,398.65,358.41,389.46,398.07,469.18,423.53,447.35,412.98,341.68,353.77,364.64,372.07,383.25,412.60,406.63,397.90,413.29,466.06,472.61,479.90,476.30,485.48,494.23,486.36,494.85,497.56,496.55,503.53,500.53,500.73,500.99,514.13,,,,,,411.03,419.95,426.14,428.57,428.58,434.85,431.14,425.61,425.33,428.29,427.46,421.15,425.26,429.67,428.71,438.74,421.67,429.48,430.30,431.76,439.13,448.61,457.52,500.07,495.56
2001-12-19 22:15:37.819000,L7,244.10,259.75,275.70,276.58,277.25,260.52,260.54,264.22,275.99,279.70,284.02,280.95,275.92,276.09,276.46,280.60,290.28,292.26,288.79,288.50,290.65,289.83,204.90,289.71,303.70,307.06,309.80,306.06,293.69,285.06,233.12,226.55,262.95,247.93,258.62,258.19,211.36,166.57,164.59,176.99,181.72,306.75,147.80,158.91,326.79,328.08,333.13,335.57,336.29,344.04,343.81,338.56,338.67,341.56,349.78,343.70,352.07,371.96,378.59,386.99,392.99,390.84,392.20,382.94,168.59,180.15,171.27,187.96,212.21,151.42,211.25,217.19,227.67,227.94,320.79,314.95,314.33,309.30,304.54,305.34,303.89,303.71,286.43,245.35,256.04,266.79,302.66,356.22,354.15
2002-02-14 22:09:41.178000,L7,,,,,,,,,,169.22,188.76,178.18,181.24,174.30,174.83,172.73,188.34,209.10,209.01,200.94,204.20,205.53,210.64,219.25,236.29,249.43,252.39,252.70,257.67,294.58,276.61,285.02,293.07,291.90,409.62,435.10,463.05,371.36,475.14,,510.85,458.35,362.60,360.41,,,,,,,,,,,,,,,,,,,,,346.82,344.19,348.04,365.38,367.78,414.73,403.17,438.21,485.36,483.83,499.27,495.07,494.50,400.00,437.40,,,,,,,,,,
2002-07-31 22:15:11.713000,L7,,,,255.89,245.29,158.23,143.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.68,156.03,167.50,178.20,170.29,176.03,181.52,165.32,175.52,168.11,308.91,308.49,314.11,,,,,,,236.06,271.22,330.18,284.51,223.95,244.41,349.98,362.79,365.55,313.97,259.94,182.69,188.68,176.00,174.17,167.69,142.60,168.20,,,,,,,,,,,,,,,,251.34,340.42,
2002-12-06 22:15:13.685000,L7,,408.28,414.67,306.44,374.52,407.89,428.10,461.13,458.79,424.61,440.60,517.35,475.46,457.41,413.67,314.79,,,,525.06,422.54,404.78,464.28,432.84,474.92,,,,,,,,,,,456.13,410.83,415.53,428.44,428.07,427.69,416.77,390.56,352.29,383.14,383.15,392.84,394.74,395.94,400.16,402.59,399.15,403.91,409.82,415.01,424.45,419.74,417.55,419.86,429.37,435.28,433.03,433.04,430.22,359.22,385.28,384.85,386.96,387.82,361.28,361.62,354.12,361.68,361.71,365.08,354.57,369.70,372.01,387.84,367.19,369.07,427.63,443.52,426.69,432.71,376.75,381.00,417.17,410.48
2003-02-24 22:15:37.262000,L7,,,,404.72,311.24,415.81,,,457.41,422.93,452.57,298.15,296.50,,,236.99,438.71,417.62,380.34,331.68,312.30,298.45,313.30,355.93,398.92,,498.27,513.30,223.84,,,165.87,302.24,298.56,278.62,353.46,385.94,449.78,523.83,363.98,346.57,477.17,408.77,408.55,,,463.65,488.21,477.53,413.71,385.51,332.48,379.66,353.22,436.87,362.65,399.09,,,,,,,,359.94,285.58,215.39,367.00,343.85,337.19,327.10,306.54,322.60,328.09,318.93,313.88,336.02,324.96,318.34,321.01,339.88,323.46,349.70,430.46,456.57,489.61,,483.63,
2003-04-13 22:15:43.669000,L7,209.85,211.22,254.28,259.64,259.20,241.49,243.04,249.54,254.22,264.04,265.19,264.78,255.10,255.22,229.94,241.29,252.03,257.50,259.25,267.34,256.31,184.81,179.23,191.12,261.82,276.70,263.60,251.36,217.73,194.83,,,227.67,221.16,228.53,221.97,244.00,250.05,260.79,277.54,291.73,288.27,288.75,288.26,306.97,309.56,319.02,317.14,324.07,331.97,316.31,314.83,157.93,219.55,325.11,313.07,327.94,352.81,350.21,357.99,364.92,370.23,354.61,359.82,296.12,302.90,301.89,288.74,229.10,242.31,285.94,151.90,215.30,304.62,303.50,296.73,301.52,298.66,290.45,291.76,288.45,290.00,,,,137.79,261.71,341.23,215.71
2003-05-15 22:15:40.676000,L7,,,247.87,253.10,259.40,240.91,248.27,248.02,253.56,250.54,265.63,265.56,256.66,258.77,257.91,260.14,270.84,272.68,267.31,273.13,271.76,257.46,180.54,189.80,279.39,282.70,263.65,267.98,235.76,210.15,,,,,209.94,222.46,223.23,252.50,266.43,282.25,289.06,294.07,290.91,291.65,305.36,305.30,324.15,334.04,333.43,342.30,326.56,330.48,330.71,339.71,340.51,344.04,340.13,370.61,368.86,377.33,381.29,387.87,377.40,371.34,301.42,307.27,318.96,294.67,285.33,284.70,,,276.77,309.83,305.56,297.25,297.37,282.60,288.81,295.56,293.56,284.59,,,,,256.56,350.05,338.82
