dates,satname,nzd0013-0000,nzd0013-0001
1999-08-17 22:10:26.276000,L7,332.28,275.98
1999-10-04 22:10:38.131000,L7,332.98,256.82
2000-02-09 22:10:19.398000,L7,393.05,348.15
2000-03-28 22:10:07.233000,L7,332.61,269.83
2000-04-29 22:09:53.797000,L7,522.62,545.57
2000-08-03 22:08:44.137000,L7,334.95,297.28
2000-08-19 22:08:38.248000,L7,332.30,280.44
2000-09-04 22:08:22.800000,L7,212.05,231.32
2000-09-20 22:08:03.348000,L7,335.61,341.57
2000-10-06 22:07:59.689000,L7,345.02,342.19
2000-10-22 22:07:50.487000,L7,337.03,340.71
2000-11-07 22:07:53.532000,L7,385.56,517.89
2001-02-27 22:07:54.461000,L7,335.36,340.42
2001-05-18 22:07:26.882000,L7,337.77,322.45
2001-06-03 22:07:16.736000,L7,240.14,271.77
2001-06-19 22:07:05.722000,L7,406.37,416.65
2001-09-07 22:06:11.116000,L7,,331.75
2001-09-23 22:06:03.238000,L7,201.60,238.14
2001-11-26 22:06:09.518000,L7,494.65,409.22
2001-12-12 22:06:14.960000,L7,,325.10
2001-12-28 22:06:14.106000,L7,438.32,408.07
2002-02-14 22:06:29.522000,L7,376.35,289.52
2002-03-18 22:06:22.131000,L7,,264.75
2002-06-22 22:06:03.573000,L7,,290.94
2002-07-24 22:05:50.655000,L7,296.59,301.35
2002-08-09 22:05:46.029000,L7,522.52,463.74
2002-10-28 22:05:22.323000,L7,244.44,277.05
2002-11-13 22:05:30.425000,L7,454.36,538.33
2003-01-16 22:06:02.914000,L7,192.74,287.02
2003-04-06 22:06:21.012000,L7,335.53,178.94
2003-04-22 22:06:19.091000,L7,314.38,290.83
2003-05-08 22:06:20.773000,L7,335.00,340.73
2003-05-24 22:06:17.162000,L7,329.16,281.18
2004-05-18 21:58:14.785000,L5,340.07,340.88
2004-08-22 22:00:48.706000,L5,330.25,335.46
2005-01-13 22:03:41.143000,L5,376.60,368.57
2005-02-14 22:04:09.465000,L5,338.58,342.69
2005-03-02 22:04:24.338000,L5,318.62,332.29
2005-04-03 22:04:40.528000,L5,370.95,366.17
2005-04-19 22:04:43.597000,L5,377.92,372.40
2005-06-06 22:05:05.724000,L5,344.80,350.02
2005-08-25 22:05:41.221000,L5,349.02,335.20
2005-09-26 22:05:42.687000,L5,358.57,351.66
2005-11-13 22:05:57.059000,L5,328.98,329.38
2006-02-17 22:08:11.136000,L5,338.48,343.33
2006-04-06 22:09:08.139000,L5,241.90,177.66
2006-05-08 22:09:38.251000,L5,321.22,327.17
2006-06-25 22:10:20.606000,L5,347.41,351.01
2006-07-11 22:10:34.443000,L5,326.58,325.02
2006-08-12 22:10:59.603000,L5,337.07,339.37
2007-01-19 22:12:30.924000,L5,336.52,336.02
2007-10-02 22:10:31.289000,L5,382.61,377.69
2008-11-21 22:01:05.982000,L5,365.22,360.40
2009-01-24 22:02:55.057000,L5,436.84,400.48
2010-01-27 22:08:26.527000,L5,372.32,370.98
2010-02-12 22:08:30.110000,L5,350.88,355.40
2010-11-27 22:07:24.215000,L5,314.50,325.19
2011-01-14 22:07:31.728000,L5,336.40,336.52
2011-02-15 22:07:34.670000,L5,369.44,356.62
2011-09-11 22:06:09.236000,L5,344.92,344.34
2013-04-25 22:19:21.025000,L8,349.74,359.61
2013-05-11 22:19:31.249000,L8,347.97,356.16
