dates,satname,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,nzd0190-0075
1999-09-27 22:05:12.911000,L7,271.14,372.98,484.44,501.17,514.63,522.65,534.01,533.49,510.31,493.02,487.42,453.48,411.26,366.09,304.00,262.81,341.24,335.89,270.74,300.89,283.26,293.48,180.39,175.24,195.10,194.34,190.94,198.07,219.78,248.04,214.40,452.59,301.96,335.90,528.18,229.52,249.07,259.53,280.04,430.29,420.43,381.96,409.93,476.06,524.98,447.47,347.94,268.41,467.16,442.99,449.83,484.66,399.26,526.63,522.49,457.06,548.64,512.91,503.25,506.69,503.16,511.55,521.39,506.61,456.26,443.82,352.37,304.88,282.44,264.22,227.70,231.38,214.43,207.91,202.92,481.58,442.59,491.82,497.48,482.85,448.07,363.83,490.70,499.65,490.84,474.16,372.75,412.20,337.52,362.37,416.23,385.41,453.99,445.44,431.34,431.75,407.81,421.78,400.48,393.69,361.44,405.76,462.57,380.50,364.70,229.34,231.72,274.27,373.26,394.21,
1999-11-14 22:05:06.309000,L7,162.78,190.42,221.38,201.73,360.26,380.24,367.25,228.41,174.95,191.06,530.80,541.12,500.70,446.25,398.99,331.33,295.95,278.68,260.47,250.53,245.56,242.02,224.52,248.10,,203.73,241.69,251.28,289.32,277.25,250.29,217.45,192.11,176.37,181.15,251.05,402.17,329.40,321.49,360.18,354.61,386.16,437.59,457.47,500.19,532.01,196.01,205.70,255.05,262.83,313.35,364.27,360.99,404.54,438.45,458.60,488.92,414.51,368.64,371.66,371.08,397.94,472.16,298.10,247.69,507.21,489.54,452.77,419.93,524.84,550.49,464.66,469.20,415.81,375.98,361.51,355.61,347.87,317.92,300.03,258.61,249.62,302.15,331.11,308.53,300.68,205.46,223.19,227.26,207.35,,,,192.92,391.74,362.74,285.39,,,,,,,,,,,357.38,354.18,326.71,366.76
1999-12-09 21:58:57.676000,L7,452.18,460.01,469.77,443.69,438.35,385.67,354.54,353.75,342.60,326.07,292.44,335.41,270.61,241.38,192.11,171.78,,,523.71,546.64,497.97,,,,,,456.96,514.42,383.81,426.21,421.42,522.86,430.89,237.25,272.69,283.24,387.80,475.54,466.06,492.46,453.31,514.47,426.50,382.36,359.77,357.56,426.22,250.02,268.50,270.40,386.02,453.92,511.89,434.03,502.70,540.92,524.27,519.89,546.78,528.83,511.50,505.80,505.04,505.12,496.54,542.41,540.50,512.46,522.74,304.60,301.50,436.51,437.70,301.70,293.75,296.52,320.09,500.18,540.73,205.65,408.30,368.67,421.81,449.79,477.08,329.32,422.94,,297.44,402.79,188.80,227.73,272.61,229.04,249.91,285.02,369.08,227.38,258.40,226.99,257.74,277.48,288.70,318.39,309.12,264.36,329.99,450.42,487.11,488.98,301.17
1999-12-25 21:58:52.197000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.20,433.74,420.77,409.47,,,297.07,294.07,297.34,,,319.14,318.75,297.67,,,,,,,,,,,,,,,,,,,,,,,,,475.64,
2000-02-18 22:04:53.186000,L7,,,,,,,,,,,,,,,,,,,,247.34,252.68,277.38,264.78,533.96,294.69,385.58,497.39,388.39,391.92,372.55,391.57,269.33,325.10,273.94,,,,,,,,,,,391.65,478.14,,,,,,,,,,,,326.07,317.38,500.09,480.46,481.95,439.69,396.33,413.84,404.21,386.17,,,550.18,537.21,,,,,464.61,451.33,461.96,481.30,429.79,383.84,,,,253.70,204.39,232.55,,461.62,461.85,445.13,388.82,,,,,,,,,,,,,,,,,,,542.36
2000-10-15 22:02:20.178000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.40,525.40,500.15,473.77,464.29,453.33,,,,,,320.82,318.09,295.76,,,,,351.74,337.23,341.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:21.390000,L7,,,482.56,468.37,390.04,404.19,429.27,443.22,448.63,414.58,420.97,432.41,405.82,383.25,492.88,499.32,377.27,458.39,526.61,413.26,362.73,,525.69,539.11,356.06,311.02,350.16,380.54,414.29,502.16,506.74,513.82,426.40,452.94,448.52,434.07,488.11,475.67,460.24,426.96,432.10,449.19,384.15,395.02,342.44,340.12,351.42,358.66,404.03,252.05,313.10,275.40,272.52,286.13,,,472.48,475.34,514.54,476.14,543.26,528.02,507.64,558.46,421.35,,,,192.38,461.60,474.27,483.76,494.57,438.00,386.40,450.75,463.98,484.11,445.45,420.44,259.59,254.41,297.12,289.79,319.02,304.05,290.21,245.49,274.48,,229.18,230.80,227.32,242.10,276.53,246.09,257.93,365.39,298.05,314.14,311.14,304.88,253.42,231.77,505.79,486.06,477.89,183.86,336.59,397.06,295.80
2001-01-03 22:02:36.401000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.90,500.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.60,247.77,182.43,259.46,260.56,206.14,234.80,215.02,464.95,500.12,455.76,493.36,464.44,206.03,324.78,374.71,400.96,
2001-01-12 21:56:30.696000,L7,438.34,440.45,469.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.39,362.94,,,,,,,,,,405.24,415.28,402.96,,425.33,384.21,389.96,,,,,,252.32,263.07,253.47,264.21,248.55,268.58,283.39,,,,,281.86,282.53,283.52,303.71,,,,,221.08,231.07,254.13,181.29,447.81,411.39
2001-02-04 22:02:38.355000,L7,171.55,209.69,221.52,249.26,269.50,293.58,240.55,233.33,,,,,,,265.43,299.85,287.89,551.27,,,,,,,,,,,,,,,,,,,,522.65,512.04,485.56,497.26,447.30,,,,,,,,,,,,,,,,,544.43,550.77,519.41,520.17,517.05,530.52,495.03,471.01,421.18,411.49,417.22,410.57,414.70,410.84,417.62,426.21,421.55,386.95,322.81,329.11,319.16,242.56,296.18,279.47,199.37,232.48,216.46,,,229.69,220.18,189.18,182.28,,,,,,,,,,,,,,,,,,235.05,201.35,420.01
2001-03-17 21:56:16.575000,L7,447.18,469.26,474.78,435.74,395.30,322.41,285.12,257.11,220.91,185.18,495.49,,,,,295.32,320.14,344.98,343.08,377.91,445.94,514.91,454.95,470.43,488.01,482.09,509.69,188.24,194.40,264.09,208.90,241.96,285.14,335.92,343.03,452.98,444.57,394.23,438.43,403.38,442.45,494.76,552.05,521.79,548.52,,,,,,,,,,,,,,,,,,,,,,,,,,462.05,235.35,470.87,491.61,514.44,512.65,462.08,464.43,462.26,426.82,419.16,413.95,387.84,384.80,365.02,327.07,279.73,334.41,321.14,355.05,361.51,373.81,409.06,393.67,404.01,323.58,379.17,356.14,366.92,359.37,374.47,388.70,420.62,420.88,425.61,432.18,417.89,401.95,529.92,539.70,518.88
2001-03-24 22:02:23.691000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.52,408.32,384.98,362.23,337.09,319.88,309.40,311.76,313.55,313.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-08 21:55:01.113000,L7,411.69,388.76,365.20,415.94,398.67,415.80,369.39,377.51,386.73,404.40,392.96,384.50,370.33,358.39,358.04,340.44,324.67,336.09,329.85,339.87,350.03,375.80,376.50,397.90,418.65,437.87,321.47,473.39,516.27,495.29,465.63,488.33,475.11,486.62,481.96,440.40,442.30,395.98,365.44,373.75,340.15,355.03,380.54,414.86,444.40,471.93,486.24,506.91,548.42,,,,,,,,,,550.01,519.56,511.08,514.28,520.00,481.68,499.05,481.52,468.78,533.59,550.08,519.60,510.37,510.08,470.24,491.45,508.73,449.81,427.68,410.19,399.88,369.98,359.00,333.97,322.83,311.91,296.54,290.49,281.09,277.94,315.82,299.53,314.06,316.70,317.25,328.91,471.31,513.61,288.77,275.87,308.16,365.50,217.71,222.00,241.77,237.47,251.60,455.90,268.41,336.11,,,473.15
2001-09-25 21:54:28.694000,L7,352.07,326.49,432.91,343.74,452.27,447.71,422.53,370.49,466.74,213.84,205.46,189.00,193.91,179.40,415.85,392.88,372.75,375.54,377.04,436.67,424.35,431.55,431.80,384.87,351.08,380.96,342.58,541.00,534.73,523.80,475.87,426.98,398.16,271.84,,,,,,,,,,,499.33,308.57,279.23,496.38,226.69,268.66,330.95,296.18,304.21,441.45,546.60,,,401.99,360.25,338.25,555.97,472.23,493.02,454.41,245.88,347.81,402.32,411.22,534.38,406.25,546.64,407.99,367.05,366.52,,409.06,539.75,528.04,494.84,473.21,496.99,349.31,354.06,319.97,244.93,323.96,500.27,325.44,344.38,419.91,364.80,370.73,542.91,378.51,277.35,529.72,393.27,392.76,303.11,322.46,367.60,373.44,420.97,417.44,426.16,440.74,453.09,466.06,433.92,,391.36
2001-12-21 22:00:53.965000,L7,,,,,,,,,,,,366.38,407.17,412.55,365.30,205.74,199.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.84,362.44,437.54,402.81,450.02,461.95,478.44,478.12,538.59,417.34,458.61,520.49,,,,,,363.72,357.85,341.74,331.04,324.21,308.14,285.21,,,,,232.37,302.49,428.76,327.82,,,,,,,,,,,,,,,,,
2002-01-06 22:00:55.947000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.45,517.87,483.46,477.75,504.50,491.25,453.86,416.54,399.68,335.30,370.26,338.10,323.15,274.33,264.94,287.02,250.20,207.59,250.21,258.23,246.56,229.79,232.90,224.34,327.65,313.80,299.64,,,,,231.81,219.36,259.45,411.16,399.96,413.64,416.53,,,527.92
2002-01-22 22:01:04.880000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.39,535.27,542.58,518.92,536.11,514.92,502.27,486.28,463.04,442.64,416.42,372.43,364.90,351.80,342.49,333.04,308.39,283.55,276.08,291.08,296.08,289.17,,,,,,,,,,,248.18,223.70,199.38,190.50,187.54,193.11,,,,,,471.19
2002-01-31 21:54:50.570000,L7,,,,,,,,,,,,,,,318.64,308.71,346.29,302.80,,,348.47,350.69,350.50,374.80,364.63,,,391.75,412.21,443.26,471.37,498.72,557.09,448.30,405.11,441.74,428.10,439.36,412.61,379.54,364.43,383.01,418.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.61,382.69,529.14,501.89,483.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.80,333.83,,196.62,444.75,548.38
2002-02-16 21:54:54.191000,L7,,250.11,312.02,259.00,232.13,,,,,,,,,383.57,382.79,329.60,356.15,379.07,364.37,366.53,380.62,383.17,370.05,371.52,370.70,433.57,384.81,422.10,495.16,461.42,479.11,488.81,383.64,410.22,373.22,379.49,379.17,371.73,362.77,347.30,308.48,350.99,381.19,357.69,364.29,392.61,514.78,,,,,,,,,,,,,,,551.30,495.12,469.95,484.29,496.78,493.18,538.65,480.94,465.99,277.10,330.55,282.92,291.96,250.40,321.66,318.71,300.62,285.80,294.46,289.79,278.84,273.59,266.18,266.24,249.65,241.32,216.82,214.80,249.67,264.05,272.79,224.01,260.39,270.44,220.06,333.95,274.26,299.26,276.45,257.88,353.19,343.98,380.71,339.79,450.18,370.71,319.29,439.42,458.89,320.49
2002-02-23 22:01:07.592000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.12,489.57,447.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.19,492.89,448.43,467.69,470.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11 22:01:07.753000,L7,,,,,,340.09,337.05,,,,276.65,238.50,,,,,,,,,,,,,,,,,,,,531.15,462.48,516.65,456.02,519.34,,,,412.13,400.52,424.66,453.45,506.21,,,,,,,,,,,,,,,544.05,544.77,521.76,465.18,465.48,,,,433.82,424.69,389.25,350.67,298.62,,,,,,,,,,,,,,,,,520.56,430.31,,,,,347.04,,,,,,443.27,455.05,351.11,424.94,389.75,,,,,,,
