dates,satname,nzd0081-0000,nzd0081-0001,nzd0081-0002
1999-08-26 22:04:44.971000,L7,227.92,241.23,216.99
1999-09-27 22:04:48.949000,L7,235.19,241.77,213.73
1999-11-14 22:04:42.286000,L7,313.45,248.49,228.00
2000-01-01 22:04:37.439000,L7,248.07,242.82,207.17
2000-05-24 22:03:46.662000,L7,244.61,233.91,219.68
2000-08-12 22:02:54.094000,L7,261.29,251.01,248.69
2000-09-13 22:02:26.190000,L7,237.39,239.46,215.15
2000-10-15 22:01:56.204000,L7,253.24,264.87,260.98
2001-01-03 22:02:12.432000,L7,246.21,242.31,218.45
2001-03-24 22:01:59.719000,L7,251.07,244.86,240.09
2001-10-02 22:00:04.650000,L7,,240.97,218.71
2001-12-21 22:00:29.925000,L7,259.28,248.19,233.72
2002-01-06 22:00:31.992000,L7,237.82,242.32,
2002-01-22 22:00:40.906000,L7,251.40,245.35,223.75
2002-07-01 22:00:15.186000,L7,251.53,229.25,
2002-08-18 21:59:57.690000,L7,241.76,232.24,221.85
2003-07-28 21:48:28.960000,L5,249.86,239.20,226.52
2003-09-14 21:49:18.766000,L5,333.40,307.47,298.37
2003-09-30 21:49:30.432000,L5,285.68,262.65,251.22
2004-02-21 21:50:47.082000,L5,236.13,238.60,229.11
2004-07-30 21:54:28.143000,L5,265.83,244.60,240.85
2004-11-19 21:56:55.269000,L5,215.58,239.12,229.55
2005-02-23 21:58:31.621000,L5,320.89,296.28,292.09
2005-03-11 21:58:44.158000,L5,319.30,295.53,286.82
2005-04-12 21:58:55.193000,L5,233.40,235.52,219.15
2005-05-30 21:59:15.499000,L5,256.87,233.37,227.52
2005-07-17 21:59:35.576000,L5,253.34,229.20,220.49
2005-11-22 22:00:23.113000,L5,227.33,231.14,225.39
2006-04-15 22:03:30.798000,L5,273.38,258.40,249.39
2006-05-17 22:03:57.969000,L5,325.60,301.88,292.54
2006-07-04 22:04:41.660000,L5,256.83,233.95,223.35
2006-11-25 22:06:19.953000,L5,289.74,273.60,288.26
2009-01-01 21:56:31.615000,L5,275.73,255.43,249.92
2009-02-02 21:57:22.411000,L5,303.92,282.24,276.27
2011-01-07 22:01:44.406000,L5,328.95,302.24,295.11
2011-03-12 22:01:43.554000,L5,269.73,253.31,245.39
2011-09-04 22:00:27.603000,L5,222.56,240.06,232.66
2013-05-20 22:13:50.559000,L8,281.84,264.85,265.24
2013-06-05 22:13:51.261000,L8,276.49,260.97,260.15
