dates,satname,nzd0525-0000,nzd0525-0001,nzd0525-0002,nzd0525-0003,nzd0525-0004
1999-08-17 22:13:37.953000,L7,283.01,205.24,210.00,235.71,208.11
1999-11-05 22:13:40.966000,L7,288.27,303.58,296.89,295.60,305.15
1999-12-07 22:13:41.663000,L7,344.26,343.77,339.29,347.72,363.26
1999-12-16 22:07:33.708000,L7,290.35,292.80,221.99,243.15,245.98
2000-05-15 22:12:54.183000,L7,,,228.44,266.30,236.63
2000-06-16 22:12:38.425000,L7,,,,,256.56
2000-06-25 22:06:19.852000,L7,286.27,295.48,282.63,283.31,259.84
2000-09-20 22:11:14.930000,L7,275.48,284.56,252.01,,
2000-12-18 22:05:01.704000,L7,289.33,279.94,296.69,292.54,282.93
2001-01-03 22:05:00.181000,L7,276.68,279.03,207.77,219.58,243.60
2001-02-11 22:11:12.788000,L7,201.75,219.84,279.89,278.75,273.91
2001-08-15 22:03:26.328000,L7,258.09,248.13,248.56,,
2001-11-03 22:02:58.699000,L7,281.22,190.99,295.10,283.31,219.36
2002-01-29 22:09:33.112000,L7,269.67,266.00,284.61,278.35,272.81
2002-03-11 22:03:31.366000,L7,168.39,240.18,291.68,289.74,291.02
2002-04-12 22:03:25.302000,L7,277.19,267.78,284.74,278.83,255.21
2002-05-05 22:09:37.985000,L7,276.88,279.11,286.94,283.37,271.21
2002-05-14 22:03:19.418000,L7,274.28,275.06,247.13,,
2002-08-09 22:08:57.725000,L7,237.51,179.07,271.05,,
2002-09-10 22:08:43.416000,L7,280.25,269.90,286.41,282.24,220.50
2003-02-01 22:09:21.746000,L7,280.41,266.19,283.83,207.32,242.21
2003-08-13 21:51:32.649000,L5,356.63,357.02,342.21,335.87,347.30
2003-08-29 21:51:49.928000,L5,329.30,331.20,329.17,321.60,330.84
2003-10-07 21:58:35.519000,L5,304.13,307.81,307.80,303.08,305.83
2003-11-17 21:52:57.120000,L5,273.92,258.46,,,
2003-12-26 21:59:30.091000,L5,308.93,304.27,307.43,307.73,308.13
2004-01-20 21:53:24.777000,L5,331.88,333.52,339.37,336.39,341.21
2004-01-27 21:59:38.149000,L5,257.29,261.91,264.08,272.75,271.61
2004-03-31 21:59:59.745000,L5,316.62,309.46,316.27,314.10,331.62
2004-05-02 22:00:57.398000,L5,280.85,281.86,242.00,252.43,255.25
2004-05-18 22:01:26.569000,L5,324.60,320.53,318.84,312.71,329.01
2005-01-13 22:06:52.927000,L5,325.43,324.78,309.36,305.98,310.80
2005-01-22 22:00:50.292000,L5,328.11,335.91,336.97,331.72,342.55
2005-02-14 22:07:21.106000,L5,288.35,290.34,285.34,270.53,268.22
2005-03-11 22:01:31.683000,L5,222.54,236.47,222.15,232.22,195.25
2005-04-12 22:01:42.862000,L5,271.54,268.30,179.84,195.63,167.98
2005-05-14 22:01:54.308000,L5,312.20,308.73,309.48,308.30,313.50
2005-06-22 22:08:22.866000,L5,266.47,272.81,,,
2005-08-09 22:08:46.932000,L5,328.13,331.00,326.71,325.79,337.08
2005-08-25 22:08:52.862000,L5,317.75,317.97,316.72,305.39,309.03
2005-09-10 22:08:55.708000,L5,279.11,283.31,277.41,272.28,278.76
2006-02-01 22:11:01.629000,L5,331.31,323.85,332.77,320.59,323.73
2006-02-17 22:11:22.491000,L5,327.63,322.20,322.84,322.33,322.33
2006-03-14 22:05:42.635000,L5,314.92,312.10,313.85,310.40,312.80
2006-04-22 22:12:36.093000,L5,323.43,322.93,321.25,317.64,327.39
2006-07-27 22:13:58.731000,L5,272.72,277.47,259.11,268.64,265.70
