dates,satname,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034
1999-12-07 22:13:41.663000,L7,498.90,355.80,350.93,353.01,356.12,353.45,354.94,359.30,354.94,357.84,362.83,366.59,374.17,371.00,356.71,356.57,351.94,362.27,360.46,361.91,351.65,348.48,350.19,406.20,416.80,390.51,404.01,339.32,338.75,338.63,334.50,347.33,368.78,376.05,372.85
1999-12-16 22:07:33.708000,L7,336.35,346.06,346.82,337.97,319.27,335.53,345.83,346.37,348.04,347.15,349.88,357.57,354.56,352.19,344.03,344.44,342.39,348.14,348.75,335.38,338.16,338.63,336.75,338.99,340.64,337.88,209.79,,,331.25,330.39,339.72,361.05,367.05,361.23
2000-09-20 22:11:14.930000,L7,,,,,,,,231.18,298.80,327.13,313.40,322.32,324.59,328.55,338.06,333.28,337.53,334.27,334.76,312.13,303.10,334.35,333.54,332.72,336.16,327.07,269.80,232.35,297.83,302.49,285.82,256.95,249.88,252.34,261.28
2001-01-03 22:05:00.181000,L7,387.00,392.49,392.56,398.05,407.36,409.22,410.54,409.43,408.99,406.75,413.69,406.79,375.09,400.55,406.44,495.64,462.86,458.94,453.01,463.48,513.53,387.79,386.64,445.30,435.50,443.88,443.26,430.02,378.56,427.17,428.03,442.78,466.16,470.57,473.77
2001-02-11 22:11:12.788000,L7,519.44,421.07,401.35,397.07,417.56,396.54,403.93,434.90,438.23,426.02,481.17,429.08,439.28,457.85,473.77,471.14,420.24,444.09,440.21,452.75,448.38,439.09,474.76,472.52,467.07,465.72,474.89,489.41,472.75,450.53,463.89,481.75,473.46,461.24,462.38
2001-02-20 22:05:00.525000,L7,449.23,430.97,447.60,455.37,450.47,451.82,453.17,458.85,463.54,484.13,481.37,485.41,489.56,522.65,493.97,493.39,410.16,463.13,463.70,462.07,391.63,463.23,460.79,442.89,452.21,455.82,471.02,488.50,473.39,464.31,383.81,467.77,472.19,474.01,466.14
2001-02-27 22:11:06.137000,L7,,390.63,396.24,401.35,410.11,409.86,410.35,415.81,371.04,418.70,418.30,423.46,417.08,415.98,415.46,423.33,409.29,371.07,408.83,394.55,466.99,476.39,476.24,471.02,463.91,471.04,486.18,500.22,493.85,487.33,459.97,498.02,486.83,475.73,470.13
2001-11-03 22:02:58.699000,L7,354.65,357.64,359.19,360.75,369.68,364.84,369.76,372.94,373.19,378.65,365.44,285.06,368.44,414.65,371.57,373.15,363.60,317.16,348.59,308.82,317.60,371.89,427.92,430.74,451.18,422.49,396.76,377.93,405.38,361.78,351.98,370.64,376.25,385.39,476.47
2002-01-29 22:09:33.112000,L7,341.60,353.61,355.77,353.02,361.04,361.95,362.69,366.33,367.51,355.63,362.16,366.10,367.02,363.59,354.15,358.35,363.86,366.72,372.62,363.10,358.11,358.43,352.87,349.07,348.60,346.92,346.96,344.50,339.88,333.29,332.73,346.41,357.32,365.73,367.47
2002-03-11 22:03:31.366000,L7,345.36,357.04,361.24,366.24,365.36,366.71,362.86,362.47,359.92,361.59,364.11,366.46,366.18,362.97,362.96,355.78,354.88,362.00,365.80,364.93,362.78,352.75,351.37,351.23,348.46,350.28,348.70,344.40,341.45,335.46,333.33,347.47,362.50,368.08,370.82
2002-09-10 22:08:43.416000,L7,517.72,361.84,363.62,365.41,373.35,373.11,372.79,379.35,385.14,372.37,395.05,404.30,411.06,407.91,415.23,411.57,437.04,413.29,426.30,401.10,375.20,362.74,359.87,394.61,353.99,380.01,401.63,357.14,360.08,363.76,343.52,359.98,372.96,376.77,374.75
2002-11-22 22:02:45.529000,L7,507.04,424.31,426.13,434.19,432.40,431.20,433.12,441.29,441.63,446.57,454.23,443.56,433.39,426.49,433.81,419.60,433.49,430.16,426.22,418.25,419.54,422.56,432.62,428.37,424.85,429.17,436.04,441.55,436.26,437.51,428.90,386.47,444.95,448.70,459.17
