dates,satname,nzd0252-0000,nzd0252-0001,nzd0252-0002,nzd0252-0003,nzd0252-0004,nzd0252-0005,nzd0252-0006,nzd0252-0007,nzd0252-0008,nzd0252-0009,nzd0252-0010,nzd0252-0011,nzd0252-0012,nzd0252-0013,nzd0252-0014,nzd0252-0015,nzd0252-0016,nzd0252-0017,nzd0252-0018,nzd0252-0019,nzd0252-0020,nzd0252-0024,nzd0252-0025,nzd0252-0026,nzd0252-0027,nzd0252-0028,nzd0252-0029,nzd0252-0030,nzd0252-0031,nzd0252-0032,nzd0252-0021,nzd0252-0022,nzd0252-0023
2000-01-10 21:59:16.407000,L7,293.61,289.95,299.47,303.29,292.71,274.32,271.06,215.44,224.15,234.36,229.37,264.66,248.83,262.04,247.23,238.31,241.15,259.46,260.61,229.10,175.08,279.91,319.88,318.83,308.18,244.21,225.85,232.03,235.64,235.21,,,
2000-03-14 21:58:59.247000,L7,248.90,231.30,232.82,286.69,266.57,,,,,,,,,,191.44,218.38,229.23,236.35,241.54,215.49,,261.18,311.32,306.78,,178.29,197.52,207.24,207.48,225.80,,,
2000-11-09 21:56:45.337000,L7,312.68,315.41,327.68,319.56,314.63,298.49,312.83,310.05,289.66,291.93,284.69,288.65,274.93,283.99,292.87,285.48,269.31,291.24,279.90,259.46,200.49,290.57,339.69,328.24,461.06,271.80,265.11,276.22,300.93,301.79,173.94,193.04,175.63
2001-03-17 21:56:40.512000,L7,289.48,258.04,237.91,284.14,224.38,,,,,,,,,,199.54,217.59,240.99,244.61,250.14,224.68,167.48,273.71,318.06,308.71,296.55,,200.91,210.50,211.57,222.86,,,
2001-09-09 21:55:00.813000,L7,252.29,233.00,234.17,272.90,,,,,,,,,,,202.02,217.01,238.93,237.97,207.24,221.87,,209.79,315.45,317.21,,,201.17,201.10,207.91,226.17,,,
2001-09-25 21:54:52.649000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.03,,,
2001-10-11 21:54:33.822000,L7,239.55,264.29,252.04,288.16,284.91,272.27,254.75,177.37,225.60,240.51,229.31,271.25,245.05,243.35,221.20,230.00,242.59,254.99,255.12,227.21,,277.78,322.35,319.84,224.16,191.69,220.82,217.09,219.74,229.81,,,
2002-02-16 21:55:18.119000,L7,340.93,373.27,409.28,324.93,427.51,354.56,314.49,336.61,295.00,296.93,280.24,296.13,289.39,291.25,321.12,299.56,291.31,308.68,302.15,273.77,215.74,307.52,355.05,326.75,334.34,255.29,245.24,257.66,316.71,260.43,219.65,209.91,256.60
2002-10-14 21:54:07.948000,L7,290.67,263.26,239.53,282.90,270.01,,,,,,220.77,245.65,241.85,244.05,208.43,214.87,206.81,243.76,246.11,218.40,,277.33,328.30,296.36,256.26,193.77,208.45,207.01,212.95,230.68,,,
2002-12-01 21:54:40.891000,L7,288.99,295.42,267.35,293.17,277.32,259.11,252.85,178.69,208.40,221.17,230.31,253.00,237.50,248.63,238.63,224.06,232.13,249.86,251.61,216.19,,271.00,313.38,316.59,289.20,196.22,216.60,207.63,218.22,235.42,,,
2003-07-21 21:42:57.544000,L5,286.87,229.52,253.81,272.09,,,,,,,,,,,202.19,216.67,239.44,242.83,245.16,246.13,201.83,282.06,318.94,190.06,,,208.61,220.84,215.23,226.58,172.26,183.56,228.89
2004-03-01 21:45:26.384000,L5,,,,216.91,247.55,263.97,266.70,200.78,184.85,,,,,,,188.37,223.10,234.85,237.36,219.79,169.33,,,,,,,200.93,225.79,233.20,,,
2004-03-17 21:45:32.199000,L5,257.39,220.52,232.63,265.81,250.88,,,,,,,,,,,,,,,,,264.21,303.38,224.61,288.84,,,,,,,,
2004-04-02 21:45:42.656000,L5,292.41,297.84,299.03,307.12,304.86,297.95,299.24,281.69,260.62,282.66,259.60,276.80,271.12,269.85,245.72,247.84,246.64,267.29,281.63,261.57,209.38,286.75,325.63,323.18,307.80,253.55,275.07,269.19,299.17,285.81,202.29,210.82,253.77
2004-04-18 21:46:13.246000,L5,308.06,298.25,292.84,314.99,296.47,296.04,273.19,292.99,248.73,284.97,258.31,282.60,284.31,296.74,274.61,262.40,259.95,274.93,281.86,262.62,214.79,309.55,333.91,331.65,319.46,283.91,293.18,264.86,290.22,289.22,223.18,243.16,253.96
2004-05-20 21:47:08.268000,L5,261.01,217.51,234.71,261.14,,,,,,,,,,,198.50,213.66,227.33,232.81,234.81,217.95,,,,,,,200.13,208.66,210.56,220.44,,,
2004-07-07 21:48:33.010000,L5,288.01,251.70,283.37,298.20,281.39,281.23,263.94,258.87,267.04,266.16,261.04,272.49,258.25,255.21,259.19,250.56,246.45,250.10,257.35,240.19,203.59,282.42,325.05,280.19,274.16,246.57,260.60,264.54,258.27,275.94,174.41,184.82,229.40
2004-07-23 21:48:56.995000,L5,288.30,230.83,260.44,302.01,261.61,279.21,,,,194.59,233.19,267.84,255.62,248.40,203.58,221.94,240.98,247.55,252.72,244.43,188.90,288.94,330.43,207.97,,,211.84,221.16,235.40,239.56,,185.55,217.48
2004-09-25 21:50:31.000000,L5,295.23,297.89,315.66,309.79,308.36,289.19,303.19,301.84,288.24,295.81,279.48,298.46,275.81,273.48,278.76,277.01,245.11,282.24,274.66,252.28,203.50,302.04,317.17,320.27,308.54,275.72,272.99,279.22,312.81,294.26,178.19,197.95,239.99
2005-01-31 21:52:45.327000,L5,314.07,320.13,428.43,437.77,392.00,419.59,320.02,311.96,358.61,345.53,308.02,331.20,347.43,333.78,353.64,305.90,304.95,294.39,301.28,274.53,229.00,318.16,334.66,340.56,326.76,332.97,283.97,290.46,339.91,325.26,232.82,212.06,314.61
2005-03-04 21:53:16.048000,L5,314.16,316.30,333.96,393.80,403.88,402.66,314.90,302.07,344.65,313.02,277.83,298.44,294.34,290.06,300.38,286.55,300.33,290.95,303.04,268.58,222.50,306.62,336.24,331.75,342.38,304.27,282.16,278.01,319.22,350.42,220.67,213.36,274.03
2005-04-21 21:53:34.581000,L5,220.58,213.09,220.78,245.76,,,,,,,,,,,,,,,,,,263.13,301.25,297.36,,,,,,,,,
2005-08-27 21:54:31.776000,L5,234.97,211.34,229.28,273.89,,,,,,,,,,,,,,,,,,262.58,310.03,305.26,,,191.84,179.52,192.05,202.82,,,
2005-09-12 21:54:34.182000,L5,263.92,232.07,238.42,281.63,265.54,262.20,255.11,,,,216.95,237.87,235.44,227.27,195.89,205.92,220.35,230.34,235.97,201.02,,268.35,306.27,301.67,292.81,,212.20,205.68,206.53,218.72,,,
2005-09-28 21:54:32.218000,L5,266.99,248.88,235.58,273.54,252.04,249.98,239.70,,196.68,235.57,210.03,227.04,228.46,230.33,193.40,197.74,205.96,230.77,233.32,192.12,,263.62,298.60,302.78,292.02,,209.94,200.77,207.16,213.65,,,
2005-10-30 21:54:27.218000,L5,305.31,316.91,322.10,332.75,348.13,315.86,329.91,320.70,346.68,317.00,277.32,282.17,286.91,289.54,296.02,290.62,337.26,318.86,303.80,306.71,300.25,274.26,327.48,333.43,318.84,322.74,334.62,354.15,345.49,352.43,318.64,329.83,325.55
2006-02-03 21:56:42.865000,L5,313.83,326.71,430.44,428.14,424.64,421.30,372.86,340.97,375.69,344.81,305.85,322.24,328.27,330.72,318.82,326.36,332.76,300.01,317.01,277.29,208.92,351.05,335.48,378.79,344.21,337.12,335.69,321.33,340.52,327.99,215.00,208.83,379.12
2009-12-12 21:57:01.642000,L5,299.98,296.74,310.98,314.70,314.57,307.55,303.49,308.06,291.46,291.23,280.36,290.21,290.86,276.86,279.42,282.16,259.69,278.89,279.94,252.69,202.31,267.08,312.89,315.99,300.77,275.78,280.91,274.36,285.47,281.29,173.72,179.36,237.12
2010-01-13 21:57:13.219000,L5,311.20,303.77,322.91,327.64,322.38,304.83,312.70,303.02,303.14,298.71,278.06,292.93,287.33,283.38,290.67,287.75,284.89,297.25,287.19,272.45,230.39,307.16,327.87,325.46,323.13,320.37,296.76,301.60,324.03,320.29,237.56,205.61,290.21
2010-01-29 21:57:17.114000,L5,304.68,316.03,323.95,315.16,311.89,299.74,299.46,288.33,283.72,292.64,279.28,294.27,287.69,286.37,291.75,275.26,269.85,285.23,278.96,259.14,221.79,302.78,326.46,326.32,319.01,298.93,282.67,278.25,313.66,312.79,211.82,213.23,274.95
2011-01-16 21:56:21.862000,L5,305.32,313.34,328.41,334.61,337.98,318.32,316.60,314.52,317.19,306.22,296.48,317.93,296.24,301.59,297.17,289.76,298.99,306.52,303.04,278.80,244.40,340.16,332.33,327.95,318.85,315.66,324.22,317.97,328.38,332.04,223.97,212.31,283.79
2013-04-27 22:08:11.520000,L8,,221.17,226.84,250.61,278.14,284.09,279.85,,,,,,,,208.16,220.09,234.31,241.93,252.27,236.73,,,,,,,,,,,,,
2013-05-13 22:08:23.242000,L8,,,,,,,,,,,,,,,194.97,209.87,224.84,234.77,247.50,223.05,,,,,,,202.74,205.76,205.26,211.14,,,
2013-05-29 22:08:29.376000,L8,307.27,240.68,265.89,314.96,310.60,291.90,291.37,187.49,242.94,283.53,249.49,287.38,289.56,284.06,224.05,234.26,245.56,254.70,270.28,262.15,208.75,288.20,336.18,318.49,170.57,183.40,237.69,243.28,236.14,236.07,197.48,191.30,257.84
2013-09-02 22:08:28.553000,L8,310.94,329.93,310.57,317.65,315.32,303.65,332.82,330.86,285.53,291.42,278.16,304.58,282.45,286.48,260.18,270.37,262.22,280.76,276.28,264.34,203.51,286.73,335.18,331.39,317.91,238.44,261.56,280.66,305.53,255.33,204.66,201.45,263.77
2013-11-21 22:08:01.711000,L8,311.64,318.31,335.70,322.91,324.29,313.90,317.37,312.11,305.20,294.06,282.35,298.73,282.88,290.11,298.78,292.84,281.93,295.16,289.50,273.88,203.34,299.52,334.44,329.43,321.37,318.09,302.83,305.76,318.96,320.16,217.11,210.61,280.01
2014-01-24 22:07:33.459000,L8,329.37,329.71,333.32,329.14,330.10,313.52,313.51,312.24,292.38,294.27,288.03,289.68,262.43,284.34,294.43,289.41,268.35,293.41,289.12,262.74,173.64,307.90,338.01,331.36,321.40,296.06,293.54,296.32,329.01,316.57,211.12,207.18,265.01
2014-04-30 22:06:10.487000,L8,307.03,310.31,302.60,317.28,327.98,313.18,315.69,299.58,299.46,294.91,263.28,307.75,287.72,294.45,220.91,231.33,246.82,260.12,297.41,263.21,202.74,282.94,323.08,325.92,323.82,188.60,226.21,235.45,229.77,234.92,210.84,201.88,260.21
2014-06-01 22:06:02.776000,L8,317.53,316.28,259.83,314.98,295.58,289.41,281.78,178.41,231.25,276.37,231.72,316.07,295.53,281.68,217.39,344.53,318.99,328.21,301.12,267.84,242.18,356.87,335.94,,,178.21,231.58,231.34,231.75,234.02,207.28,204.50,351.10
2014-07-03 22:06:14.073000,L8,332.44,238.29,252.74,308.40,290.54,290.46,175.99,176.53,217.07,,,270.56,262.45,277.59,214.28,229.93,246.79,250.86,262.04,255.62,208.76,283.53,342.58,,,,225.29,228.86,229.22,233.44,198.05,194.46,258.68
2014-08-20 22:06:30.681000,L8,,,,,,,,,,,,,,,194.94,210.72,216.96,232.74,233.67,218.43,,,,,,,200.03,203.25,208.28,209.64,,,
2014-11-08 22:06:40.082000,L8,262.08,261.99,280.51,303.52,291.54,278.80,277.43,237.30,246.38,255.78,,,196.64,239.19,219.61,225.08,214.20,245.64,248.55,191.34,,274.33,314.45,317.72,275.74,214.17,224.42,204.28,216.99,230.58,,,
2015-01-27 22:06:23.288000,L8,336.40,331.66,281.94,321.14,356.35,284.44,286.94,265.40,246.31,286.28,251.46,264.31,253.61,259.33,250.02,249.47,264.86,271.52,268.26,217.09,,278.30,333.75,314.91,308.35,336.33,249.52,244.03,297.40,367.15,,,
2015-02-12 22:06:15.200000,L8,329.31,309.90,316.35,323.73,327.61,313.84,311.62,298.81,288.84,292.95,277.55,294.29,270.90,282.22,292.10,282.98,262.42,288.79,286.19,262.52,194.01,294.19,334.12,329.02,320.06,286.51,293.59,288.56,309.37,315.18,204.18,202.34,267.56
2015-02-28 22:06:12.396000,L8,320.08,323.19,336.25,318.63,325.08,308.28,308.08,310.02,291.84,290.81,279.53,292.60,276.72,281.09,270.85,466.51,479.00,504.32,290.16,268.44,203.62,289.78,329.77,329.96,320.86,281.84,294.01,292.01,319.79,303.99,207.64,206.26,266.81
2015-04-01 22:05:49.742000,L8,308.80,308.20,312.73,317.02,314.34,316.14,315.32,297.89,280.73,286.77,296.00,305.47,293.79,275.15,254.31,272.54,254.79,291.02,284.28,263.23,200.79,315.47,323.36,324.46,319.17,316.78,319.70,312.59,310.12,244.38,201.00,197.45,325.12
2015-06-04 22:05:36.569000,L8,300.02,291.69,308.98,325.43,319.23,327.75,321.39,293.05,286.29,302.16,279.90,289.75,300.17,280.98,251.42,246.94,247.27,259.89,273.75,262.64,211.37,321.33,326.01,317.33,182.22,187.70,281.88,280.64,298.58,274.30,194.12,192.82,259.99
2015-07-22 22:06:01.523000,L8,331.36,236.01,257.78,315.37,298.80,299.13,273.05,180.88,233.21,276.32,238.25,244.11,285.75,273.01,219.81,237.59,245.98,254.01,262.54,262.20,209.73,284.29,326.74,319.45,175.17,184.75,229.89,233.01,233.23,230.08,189.28,192.38,257.83
2015-09-24 22:06:25.709000,L8,,256.03,244.04,256.49,284.05,279.17,235.22,,219.98,253.59,226.41,267.56,235.02,244.54,205.89,214.81,203.77,237.87,248.47,222.81,,268.33,310.70,313.66,,,,,,,,,
2015-12-29 22:06:33.122000,L8,311.88,323.10,338.64,356.18,347.29,337.32,329.95,317.49,310.13,332.36,305.39,322.59,353.18,354.37,342.66,302.33,304.86,329.34,311.32,332.17,333.03,345.43,345.68,352.67,350.97,339.84,352.79,350.07,335.59,336.95,356.08,313.51,352.39
2016-05-21 22:06:02.377000,L8,303.40,298.74,305.26,318.06,330.08,306.38,298.92,293.54,301.06,287.91,271.62,273.46,290.51,278.73,304.85,287.04,293.77,470.06,431.42,274.36,345.91,291.07,324.55,327.12,305.07,336.99,335.17,314.67,329.83,305.17,269.74,194.32,266.61
2016-06-06 22:06:07.051000,L8,375.05,382.00,329.22,384.63,339.27,335.64,317.79,313.65,307.76,294.64,285.49,308.90,378.31,445.27,310.71,287.51,260.14,295.52,260.91,271.72,251.68,280.22,311.79,319.27,322.88,330.90,288.17,308.71,310.59,329.29,200.63,201.94,249.24
2016-07-08 22:06:20.711000,L8,304.49,312.31,301.02,326.13,312.80,296.90,280.32,271.26,252.53,266.98,250.64,275.34,268.57,271.79,261.91,248.11,250.55,262.02,269.16,252.74,198.99,285.29,330.76,312.01,283.46,250.43,262.62,259.80,283.88,261.77,179.79,190.28,245.74
2016-08-09 22:06:27.877000,L8,284.46,234.97,243.88,267.02,279.48,277.38,,,,,,,235.55,251.63,207.69,221.55,238.21,241.85,254.30,237.54,,277.71,319.22,317.86,,176.49,214.50,227.94,218.48,226.86,,,
2016-09-10 22:06:39.443000,L8,311.40,312.87,328.44,317.07,321.81,308.45,310.36,306.13,290.76,307.43,283.38,298.96,283.18,283.33,262.76,280.12,257.52,291.46,288.15,272.52,209.96,290.34,332.92,328.50,320.89,228.56,261.81,280.22,310.66,245.27,204.94,198.14,266.49
2016-10-12 22:06:45.172000,L8,318.32,322.91,333.80,326.05,329.12,313.64,316.48,313.02,299.84,333.94,315.33,314.09,322.01,333.37,339.53,316.49,307.25,304.29,292.82,274.77,213.35,305.83,332.32,326.83,338.73,331.65,299.95,323.81,320.73,325.88,211.95,204.60,276.03
2016-12-15 22:06:42.070000,L8,303.19,310.91,313.13,316.53,326.51,316.78,307.00,298.44,299.04,301.57,291.14,295.33,282.92,285.57,282.75,284.86,275.13,280.13,285.80,278.38,250.53,309.99,341.95,319.27,338.41,206.39,315.39,307.34,316.18,324.83,291.25,305.12,305.92
2017-01-16 22:06:35.035000,L8,314.56,319.10,333.11,328.42,329.69,314.18,325.34,314.31,312.96,290.36,287.93,300.86,288.33,286.06,292.42,297.27,274.29,296.48,294.18,272.23,211.58,293.40,342.39,323.95,318.85,313.95,314.74,313.36,315.87,327.61,215.27,201.78,326.77
2017-04-06 22:05:57.916000,L8,319.29,318.72,324.14,317.16,320.11,306.49,319.03,312.83,288.68,337.18,331.69,327.88,324.80,290.16,263.45,273.92,255.20,281.56,290.30,273.13,217.58,292.24,344.11,330.42,317.86,244.59,251.94,262.70,296.30,240.37,210.93,211.04,280.13
2017-04-22 22:05:48.327000,L8,310.98,317.67,278.46,319.37,317.79,301.01,317.00,286.60,273.28,284.39,272.66,303.37,321.26,281.02,240.88,242.85,251.87,266.17,273.67,265.15,197.03,286.77,341.33,329.78,309.73,223.25,238.11,249.66,239.98,235.15,218.15,203.37,270.25
2017-05-08 22:05:47.247000,L8,255.52,221.95,225.01,250.03,,,,,,,,,,,,,,,,,,,,,,,200.27,203.86,208.79,213.55,,,
2017-05-24 22:05:58.366000,L8,275.01,222.18,228.71,303.33,,,,,,,,,,,192.31,213.24,229.71,236.12,244.23,238.38,,259.96,308.18,,,,202.44,213.90,212.37,218.25,,,
2017-06-25 22:06:11.601000,L8,284.19,228.54,238.28,305.80,,,,,,,,,,,200.97,218.09,234.95,240.56,251.47,238.19,174.12,,,,,,208.84,220.37,216.16,225.41,,,
2017-11-16 22:06:40.336000,L8,330.31,328.00,337.40,340.72,349.88,325.30,324.94,321.52,315.32,330.93,301.58,312.21,300.06,304.79,331.74,327.00,319.75,298.58,299.36,278.50,247.65,324.61,330.50,329.10,335.15,325.76,365.57,327.68,320.53,341.54,232.53,220.53,326.05
2017-12-02 22:06:34.857000,L8,335.58,338.50,353.81,367.10,347.11,332.46,338.06,319.60,334.90,325.51,313.39,336.53,309.65,326.70,328.95,332.97,308.41,331.36,302.81,291.71,280.92,330.00,340.14,332.40,336.60,333.37,325.14,326.92,333.43,338.95,297.83,305.07,323.24
2018-03-08 22:06:03.851000,L8,307.75,313.84,330.61,317.92,318.25,305.10,310.00,310.16,290.26,292.13,280.71,291.34,274.47,291.51,268.20,285.34,259.33,278.91,284.42,268.30,208.33,291.15,334.73,328.27,327.91,267.57,260.73,282.90,312.57,277.18,216.85,208.59,269.74
2018-03-24 22:05:56.183000,L8,269.75,260.45,247.19,304.05,291.95,281.12,274.54,204.49,226.84,252.24,217.81,255.78,251.93,257.20,213.42,228.24,238.99,240.28,258.33,238.57,,,,,,,,,,,,,
2018-04-25 22:05:38.857000,L8,248.98,223.90,231.63,255.24,274.71,,,,,,,,,,205.96,214.72,227.22,238.44,244.74,229.32,,270.48,310.13,317.51,,,203.10,211.56,211.21,211.74,,,
2018-06-28 22:05:28.220000,L8,310.22,306.40,316.58,313.40,283.87,303.28,315.94,308.56,227.74,227.41,229.58,225.76,309.99,306.80,219.11,231.77,245.95,254.79,297.93,303.57,237.42,285.52,333.18,,173.23,179.48,231.69,234.35,237.21,232.08,212.06,203.40,267.34
2018-08-31 22:05:59.236000,L8,,222.90,216.24,194.63,280.10,,,,,,,,,,,,,,,,,263.84,311.64,307.48,,,202.34,209.44,209.32,214.69,,,
2018-10-18 22:06:17.672000,L8,330.14,313.82,327.26,329.79,335.88,320.00,316.12,308.04,300.96,299.26,292.18,304.44,291.13,294.74,281.54,292.92,266.93,284.48,286.94,270.72,203.58,304.57,337.11,330.17,322.18,299.26,298.81,298.06,317.88,322.65,209.46,210.07,271.17
2018-11-19 22:06:22.186000,L8,320.00,319.38,336.18,336.91,332.42,323.16,317.41,313.38,307.21,311.36,298.19,304.05,305.37,294.33,291.86,296.52,269.76,293.02,289.94,274.83,225.15,305.18,334.39,331.56,329.46,327.68,298.56,337.77,332.34,325.96,208.35,210.16,282.00
2018-12-21 22:06:18.644000,L8,254.43,264.61,281.56,310.27,290.72,275.91,278.30,274.00,238.39,234.68,241.15,267.86,237.18,255.92,241.02,225.77,238.23,250.38,259.80,229.20,,277.44,315.98,311.03,311.94,247.30,231.02,227.92,237.40,246.07,,,
2019-01-22 22:06:14.214000,L8,238.26,258.80,272.97,296.24,282.44,270.80,277.27,210.02,215.09,191.30,217.14,267.25,214.47,244.55,213.05,210.74,221.80,241.62,246.57,,,271.61,314.62,317.35,275.07,221.58,217.57,222.27,218.77,235.74,,,
2019-02-07 22:06:11.622000,L8,307.71,307.25,321.66,316.36,317.83,310.49,306.71,305.38,287.17,290.30,289.64,287.80,276.66,276.80,273.57,282.30,260.27,285.31,286.66,262.36,199.16,290.91,333.92,327.14,318.05,289.69,292.69,288.18,321.85,314.72,213.80,209.67,269.61
2019-03-27 22:05:59.546000,L8,268.60,262.09,227.50,,,,,,,,,,,,,,,,,,,277.29,320.65,322.59,311.84,216.31,239.47,248.37,296.96,192.82,,,
2019-04-12 22:05:54.693000,L8,308.56,311.38,273.19,315.23,316.32,296.29,310.34,288.59,270.30,287.42,267.97,291.71,268.22,274.38,224.30,244.22,250.62,261.93,272.57,252.94,202.99,284.84,334.53,328.70,315.50,208.66,234.05,247.39,239.87,237.26,208.07,206.43,266.69
2019-06-15 22:06:15.849000,L8,286.88,287.84,258.15,244.56,,,,,,,198.63,287.63,289.08,268.54,254.76,256.63,247.09,265.14,267.98,233.60,204.79,280.47,318.17,276.90,203.54,255.73,282.59,220.04,254.67,239.48,191.65,184.70,247.79
2019-07-01 22:06:20.459000,L8,286.94,237.21,253.52,305.88,278.16,287.36,177.62,177.35,224.28,223.48,229.59,286.12,251.11,264.89,217.02,230.24,237.05,249.08,258.28,247.81,202.62,277.84,319.74,,,230.08,221.67,229.03,234.81,231.00,188.38,184.35,247.16
2019-08-18 22:06:35.194000,L8,318.94,313.91,312.28,320.37,311.41,298.56,321.30,301.14,254.26,287.69,287.13,303.52,305.67,272.34,222.94,235.47,245.86,256.45,274.44,266.66,239.64,337.56,325.94,329.54,349.09,335.29,322.66,247.30,238.34,235.27,207.65,202.72,266.33
2019-10-05 22:06:48.280000,L8,289.33,257.32,257.17,,,282.09,278.27,264.22,245.45,267.21,245.24,267.49,233.79,241.39,,,,,,,,273.31,315.11,319.48,307.75,200.37,220.01,222.28,218.83,227.86,,,
2019-10-21 22:06:49.847000,L8,284.85,264.19,291.42,291.58,296.79,279.04,274.14,265.24,246.63,262.22,236.47,,,249.60,213.53,219.74,,,,,,266.42,314.33,317.57,308.01,205.47,217.58,216.54,220.22,228.66,,,
2019-11-22 22:06:45.051000,L8,336.75,338.01,358.43,383.08,387.98,371.46,377.62,328.70,368.10,365.45,348.02,360.55,360.21,410.71,365.17,348.79,355.58,354.94,341.32,368.86,372.85,385.49,371.79,381.79,375.95,365.07,354.88,341.90,366.76,385.42,366.88,358.56,378.29
2019-12-08 22:06:44.689000,L8,246.62,264.31,285.47,293.97,289.88,277.26,271.14,272.65,244.09,257.87,245.34,265.15,240.48,254.49,247.95,237.32,229.35,246.53,255.21,228.13,,271.61,314.93,317.48,300.51,245.06,230.83,228.47,242.25,242.88,,,
2020-01-25 22:06:33.527000,L8,318.07,320.14,339.49,353.53,335.61,315.35,315.30,310.16,322.58,382.61,409.41,382.26,411.66,319.87,298.18,309.32,336.68,309.03,297.12,304.15,300.65,323.14,339.03,424.76,469.82,342.57,325.51,322.03,353.33,344.84,316.58,307.81,321.51
2020-02-10 22:06:28.847000,L8,220.56,256.99,270.09,306.45,297.55,287.08,283.58,264.69,230.72,214.73,233.06,276.19,245.86,255.33,245.37,220.79,245.41,243.48,249.02,226.44,,276.02,309.87,321.08,303.46,215.47,219.77,237.51,282.21,226.49,,,
2020-03-13 22:06:18.160000,L8,310.36,317.76,326.91,317.61,319.95,307.80,312.84,325.70,284.94,290.66,274.61,316.53,267.49,289.51,267.86,285.04,263.32,271.12,277.78,265.83,195.24,287.73,334.02,327.98,321.07,268.05,258.72,286.39,310.07,279.52,218.33,209.35,275.75
2020-05-16 22:05:51.566000,L8,306.57,239.11,255.24,312.87,312.83,298.66,299.26,181.64,242.55,290.82,252.30,288.46,269.80,279.13,220.94,230.77,243.89,255.01,265.75,254.21,193.77,284.52,332.00,323.91,172.14,185.13,226.41,235.90,231.10,231.23,208.52,194.10,264.69
