dates,satname,nzd0528-0000,nzd0528-0001,nzd0528-0002,nzd0528-0003,nzd0528-0004,nzd0528-0005,nzd0528-0006,nzd0528-0007,nzd0528-0008,nzd0528-0009,nzd0528-0010,nzd0528-0011,nzd0528-0012,nzd0528-0013,nzd0528-0014,nzd0528-0015,nzd0528-0016,nzd0528-0017,nzd0528-0018,nzd0528-0019,nzd0528-0020,nzd0528-0021,nzd0528-0022,nzd0528-0023,nzd0528-0024,nzd0528-0025,nzd0528-0026,nzd0528-0027,nzd0528-0028,nzd0528-0029,nzd0528-0030,nzd0528-0031,nzd0528-0032,nzd0528-0033,nzd0528-0034,nzd0528-0035,nzd0528-0036,nzd0528-0037,nzd0528-0038,nzd0528-0039,nzd0528-0040,nzd0528-0042,nzd0528-0043,nzd0528-0044,nzd0528-0045,nzd0528-0046,nzd0528-0047,nzd0528-0048,nzd0528-0049,nzd0528-0050,nzd0528-0051,nzd0528-0052,nzd0528-0053,nzd0528-0054,nzd0528-0041,nzd0528-0055,nzd0528-0056
1999-08-17 22:13:37.953000,L7,391.89,365.91,442.16,444.55,449.12,447.78,461.58,511.76,264.62,221.79,452.97,463.47,457.40,465.40,329.62,324.78,319.81,309.03,310.93,351.14,347.25,326.87,333.27,337.28,318.75,328.31,292.89,324.24,325.65,346.03,334.07,311.12,460.03,452.91,458.93,457.28,460.32,463.99,451.10,439.17,441.14,262.37,275.96,304.23,311.54,302.56,291.98,283.46,321.90,308.00,282.20,234.45,179.63,139.83,,,
1999-11-05 22:13:40.966000,L7,370.05,350.12,336.16,338.92,341.21,346.71,390.40,347.95,350.81,378.92,372.08,353.00,355.95,224.37,225.78,337.38,343.40,348.89,348.43,346.54,349.52,347.51,343.37,343.68,345.31,372.32,333.01,328.24,386.80,373.84,354.59,469.21,461.40,459.22,436.98,363.76,350.59,351.59,265.91,259.58,256.07,162.74,325.45,320.35,325.16,345.06,326.44,317.39,326.82,298.28,181.92,245.82,344.63,356.99,245.24,337.98,350.97
1999-12-07 22:13:41.663000,L7,332.72,330.01,141.97,312.36,329.40,336.29,333.17,318.39,326.70,333.24,341.63,342.93,344.54,338.18,329.48,331.26,339.77,343.29,341.49,342.54,346.14,335.26,337.61,329.65,327.72,325.26,314.88,313.08,343.59,348.90,336.57,325.65,330.65,297.14,296.13,263.68,259.54,269.18,177.45,147.85,232.91,157.09,302.28,300.02,263.33,263.27,248.38,188.22,221.96,315.81,325.50,313.05,324.25,323.70,228.01,324.61,326.61
1999-12-16 22:07:33.708000,L7,356.66,347.83,333.49,331.62,341.39,347.05,344.70,337.10,342.74,338.20,357.64,355.08,361.63,369.31,359.07,340.56,343.81,349.34,348.45,346.32,350.14,345.19,341.62,334.82,334.17,336.18,327.84,319.58,365.91,354.33,339.08,335.37,340.16,336.78,336.61,337.59,332.61,336.48,332.28,337.00,334.04,323.79,322.44,317.34,320.33,325.13,324.04,322.57,326.15,345.89,333.08,327.62,333.79,329.41,333.55,336.50,331.25
2000-05-08 22:06:44.900000,L7,349.02,338.14,319.87,307.01,330.51,341.72,327.42,313.69,369.44,373.78,356.39,355.23,360.44,315.06,328.76,314.51,315.75,299.79,340.86,332.65,351.02,329.11,322.99,327.43,311.57,332.90,330.39,334.39,379.95,335.65,325.23,302.47,354.90,361.18,439.57,425.17,423.86,355.80,369.19,367.97,341.52,336.06,339.76,358.21,339.77,331.19,305.71,348.81,352.11,307.23,281.58,285.38,220.54,323.10,345.42,313.06,310.07
2000-05-15 22:12:54.183000,L7,221.41,160.47,209.36,267.00,287.26,303.27,313.03,295.37,314.00,289.23,192.92,174.09,197.21,216.16,254.96,239.45,196.70,195.04,232.24,255.39,271.20,273.55,254.16,324.49,313.72,321.11,322.74,321.81,302.38,,190.01,191.14,306.63,256.77,267.66,277.80,273.39,,,,284.42,242.90,,,,,,,,,,,,,285.72,,
2000-06-16 22:12:38.425000,L7,360.08,346.32,329.59,313.50,299.97,318.31,322.99,322.43,374.91,394.16,377.77,401.73,324.19,316.61,323.46,317.27,313.52,301.50,298.29,309.26,299.06,312.94,324.84,322.26,328.36,330.11,330.84,337.27,379.37,345.41,334.12,321.94,339.86,383.61,407.24,287.96,273.08,171.40,370.33,356.21,348.47,371.68,343.11,315.40,389.32,372.78,309.76,309.61,338.46,318.71,287.37,289.59,202.72,315.68,343.01,314.45,314.49
2000-09-20 22:11:14.930000,L7,352.68,334.00,320.47,305.32,305.98,328.26,317.49,295.66,308.53,288.43,311.98,331.37,329.28,320.14,326.81,324.58,323.93,319.15,313.24,314.63,321.30,324.32,329.23,331.24,317.12,203.09,309.34,313.97,335.42,349.46,298.30,324.57,337.15,334.58,325.81,322.74,283.69,173.63,308.85,311.40,301.73,281.92,316.72,292.57,304.32,309.02,305.64,195.87,245.77,322.86,296.56,288.29,,310.13,301.02,321.94,320.41
2000-12-18 22:05:01.704000,L7,,,,,,,,,,,,,,517.09,445.93,437.57,401.99,433.21,429.57,422.79,366.28,434.80,437.54,381.52,411.25,427.48,342.41,329.43,371.75,364.43,528.88,475.10,479.52,504.95,440.21,481.49,432.04,,,,,361.99,412.99,239.25,238.81,,,,,,,,,,,,
2001-01-03 22:05:00.181000,L7,431.70,387.75,391.20,345.69,397.44,396.76,421.88,393.14,415.13,421.48,387.28,387.19,384.09,414.00,417.96,384.63,383.14,370.51,378.74,382.14,381.36,391.87,388.30,417.86,386.34,380.05,372.59,366.74,399.95,413.28,412.24,422.97,413.77,376.00,381.74,459.27,434.08,413.25,419.92,433.20,412.50,437.36,446.78,417.32,406.06,413.79,431.12,448.82,453.58,435.83,389.96,428.52,386.91,423.14,423.35,434.90,445.26
