dates,satname,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030
1999-09-29 21:54:04.102000,L7,358.42,354.72,346.39,346.76,336.77,352.89,361.81,358.79,357.26,365.29,366.97,282.57,318.70,253.85,360.88,363.93,370.51,367.45,352.38,377.41,382.11,373.85,350.89,333.30,334.45,340.26,342.82,355.41,335.39,315.27,310.13
2000-01-19 21:53:49.771000,L7,367.14,363.03,356.16,348.26,342.52,361.92,371.78,363.00,367.12,363.18,361.55,365.58,363.83,362.49,188.06,281.51,318.08,354.57,368.93,379.58,384.03,379.58,361.92,173.74,297.59,294.50,298.98,368.06,362.01,338.64,316.08
2000-05-26 21:53:00.524000,L7,346.12,337.52,328.51,322.21,253.87,248.29,306.15,339.57,336.52,342.52,333.46,351.46,308.76,252.51,170.57,187.34,351.38,345.47,,373.59,369.41,360.56,348.88,317.51,337.47,335.29,333.59,212.11,331.00,297.79,266.76
2000-07-13 21:52:31.712000,L7,387.57,380.23,376.01,380.41,369.06,394.51,391.32,385.76,387.11,383.24,386.72,393.40,385.69,388.64,386.03,388.75,391.97,387.86,393.33,401.80,401.19,394.51,377.20,359.01,361.24,379.03,405.68,387.00,375.47,365.66,364.19
2000-07-29 21:52:14.316000,L7,397.76,394.37,392.53,391.02,400.22,407.52,407.48,398.08,400.99,396.44,402.20,401.71,397.66,396.42,395.68,394.66,395.45,401.64,397.57,405.19,412.42,403.42,386.38,371.76,369.84,373.90,381.55,394.48,383.80,364.51,374.14
2000-08-14 21:52:08.182000,L7,,,,,,,,,,,333.00,343.81,343.56,346.00,339.09,219.69,,,,,,,,,,,,,,,
2000-12-04 21:51:22.024000,L7,217.81,348.86,345.15,342.30,332.14,353.75,357.37,353.06,352.54,359.74,360.19,363.50,362.05,315.80,171.95,194.01,367.79,358.22,310.05,374.11,342.54,305.71,297.46,196.06,266.09,325.92,320.67,335.67,328.79,323.91,318.36
2001-01-05 21:51:28.457000,L7,,472.03,465.49,470.63,487.17,494.35,506.06,499.80,475.23,490.69,475.99,512.50,493.04,516.31,490.63,483.76,475.84,478.46,484.38,473.88,460.67,479.62,428.72,419.62,427.58,434.72,488.46,445.34,422.63,439.51,390.46
2001-02-06 21:51:26.449000,L7,390.84,393.98,389.54,388.26,392.50,405.72,398.61,389.36,389.21,392.38,390.24,393.24,390.68,388.97,394.43,394.41,397.94,399.44,399.39,405.89,417.45,414.66,,,451.73,431.73,437.45,431.52,417.06,406.13,383.92
2001-04-11 21:51:09.983000,L7,380.88,374.88,373.58,343.77,330.27,347.71,355.06,349.82,345.47,327.47,314.80,287.74,345.30,349.06,259.84,290.42,348.90,358.08,,,,,293.82,282.76,324.70,,233.95,326.70,311.24,299.31,
2001-04-27 21:51:07.792000,L7,394.18,389.42,387.85,385.69,410.18,417.62,416.26,424.74,428.55,408.68,437.42,440.76,377.08,391.12,397.58,406.64,426.42,468.36,451.54,456.51,397.05,461.65,407.06,400.33,381.14,397.83,373.27,386.67,386.19,369.27,357.16
2001-05-13 21:50:57.045000,L7,343.27,345.27,331.35,323.65,309.41,332.39,307.01,349.94,339.97,351.22,344.35,339.20,292.03,361.63,291.03,357.65,,,,286.95,307.66,227.32,278.69,319.63,198.72,234.50,278.52,334.42,311.86,301.85,291.80
2001-06-14 21:50:38.006000,L7,200.80,346.58,337.75,333.51,311.79,330.99,351.93,356.45,343.26,349.62,350.84,354.17,364.65,363.34,354.28,360.20,371.63,353.16,155.88,383.03,386.31,373.36,353.40,329.36,304.09,350.32,347.53,362.63,343.75,328.40,303.11
2001-09-18 21:49:29.215000,L7,397.49,399.95,396.19,389.65,389.50,406.26,403.70,396.86,398.08,399.53,405.14,473.80,479.28,470.52,470.12,481.46,394.88,391.49,393.05,398.97,401.43,402.45,422.95,441.07,440.53,370.89,385.84,386.17,374.98,355.74,357.42
2001-10-04 21:49:17.977000,L7,384.87,383.48,380.50,380.21,379.77,395.29,396.54,388.93,399.73,392.93,392.49,388.70,381.76,390.52,387.74,386.53,386.12,388.61,388.25,391.98,398.72,399.17,380.41,369.59,373.07,378.51,390.33,392.84,380.39,351.92,353.16
2002-02-25 21:49:59.822000,L7,402.01,401.86,409.32,413.34,431.41,428.56,419.05,406.56,403.24,403.67,414.33,508.02,483.78,,,,,,496.67,436.12,501.21,448.36,393.13,380.97,366.66,370.39,410.99,497.09,528.05,454.44,391.38
2002-07-19 21:49:21.346000,L7,384.32,384.91,382.25,383.59,388.25,406.18,401.72,395.31,414.50,403.46,405.89,400.03,392.62,399.48,406.57,444.75,396.37,400.79,401.54,410.01,405.79,398.44,380.29,369.03,369.82,364.79,376.15,390.97,401.05,374.21,361.35
2002-08-20 21:49:10.402000,L7,385.41,387.65,385.39,384.59,396.28,410.83,396.91,387.29,386.54,381.18,387.80,384.65,383.42,382.14,382.48,384.44,382.80,386.52,387.95,395.31,400.77,393.62,374.24,369.82,365.51,374.93,369.43,399.77,370.35,352.49,375.90
2002-10-23 21:48:51.087000,L7,442.12,472.95,447.48,467.58,492.55,499.39,489.21,479.91,455.11,504.25,518.42,504.01,476.65,477.92,445.86,441.72,455.71,429.36,479.45,437.54,429.32,436.21,415.25,405.40,414.37,414.66,,,,,
2002-12-10 21:49:17.131000,L7,396.18,397.08,394.68,390.45,401.26,411.05,406.34,409.61,421.60,421.23,413.69,404.16,396.28,397.32,391.20,395.81,389.82,394.56,399.14,403.77,405.48,403.65,388.40,376.53,376.46,389.23,420.00,457.93,408.86,406.56,380.79
2002-12-26 21:49:23.939000,L7,354.40,354.22,352.46,346.98,330.03,345.43,359.64,365.95,352.28,368.34,363.79,343.62,269.60,307.90,209.71,155.58,383.06,346.07,334.71,365.38,350.04,388.29,364.09,380.45,392.90,307.02,286.66,370.32,372.63,338.46,333.09
