dates,satname,nzd0429-0000,nzd0429-0001,nzd0429-0002,nzd0429-0003,nzd0429-0004,nzd0429-0005,nzd0429-0006,nzd0429-0007,nzd0429-0008,nzd0429-0009,nzd0429-0010,nzd0429-0011,nzd0429-0012,nzd0429-0013,nzd0429-0014,nzd0429-0015,nzd0429-0016,nzd0429-0017,nzd0429-0018,nzd0429-0019,nzd0429-0020,nzd0429-0021,nzd0429-0022,nzd0429-0023,nzd0429-0024,nzd0429-0025,nzd0429-0026,nzd0429-0027,nzd0429-0028,nzd0429-0029,nzd0429-0030,nzd0429-0031,nzd0429-0032,nzd0429-0033,nzd0429-0034,nzd0429-0035,nzd0429-0036,nzd0429-0041,nzd0429-0042,nzd0429-0043,nzd0429-0044,nzd0429-0045,nzd0429-0046,nzd0429-0047,nzd0429-0048,nzd0429-0049,nzd0429-0050,nzd0429-0051,nzd0429-0052,nzd0429-0053,nzd0429-0037,nzd0429-0038,nzd0429-0039,nzd0429-0040
1999-11-21 22:12:47.994000,L7,,,178.99,216.99,289.04,288.95,279.38,275.46,281.80,,,,,,,,,,,,,,,,207.91,209.75,233.40,,241.84,249.03,254.13,258.69,193.56,,,,,,,,,,,,274.47,287.87,284.18,182.75,273.43,258.85,,,,
1999-12-07 22:12:53.785000,L7,,,191.38,221.69,279.05,247.61,280.50,271.96,,,,,,,,,,,,,,,,239.04,205.25,216.05,228.45,,236.68,243.81,265.88,267.75,204.23,169.24,,,,,,,,,,,258.15,289.79,288.88,,,,,,,
2000-11-07 22:10:17.299000,L7,,,,,,286.06,279.27,266.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.55,335.83,240.69,218.09,304.24,328.76,338.45,,,,
2001-01-10 22:10:27.647000,L7,,,180.37,271.53,293.70,293.69,269.93,270.07,279.51,292.05,287.46,290.91,273.11,300.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.66,271.91,253.82,292.21,285.27,263.39,,,,
2001-01-26 22:10:30.842000,L7,,,177.81,208.48,289.77,304.91,267.32,269.02,256.13,290.90,290.62,286.70,272.56,267.32,,,,,,,249.68,232.96,214.31,,,,,,,,,,,,,,,,,,,,,,188.86,279.59,257.28,,328.99,301.51,,,,
2001-02-27 22:10:18.214000,L7,,,172.89,264.95,285.44,241.47,283.53,245.28,,,,,,,,,,,,,237.24,189.53,207.10,206.74,171.70,229.66,229.26,209.25,219.89,243.15,244.02,239.82,248.10,246.18,233.91,227.37,202.73,,,,,,,,256.00,288.07,275.90,,,,,,,
2001-09-23 22:08:26.958000,L7,,,181.40,273.04,302.23,287.07,305.38,307.43,301.23,297.93,287.66,267.28,314.40,311.55,,,,,,,248.53,245.54,250.19,227.71,171.98,220.40,222.92,223.73,196.68,210.21,178.94,,,,,,,,,,,,,209.18,298.26,339.35,277.55,354.43,336.39,340.90,,,,
2002-01-29 22:08:45.213000,L7,,,173.67,272.45,294.07,292.77,283.40,273.84,282.68,255.48,286.80,290.28,305.01,297.23,,,,,,201.36,240.35,243.06,250.74,222.73,197.29,,,,224.64,213.87,220.38,226.92,218.89,204.77,211.21,218.73,215.28,,,,,,,,,,,,237.80,293.99,,,,
2002-02-14 22:08:53.179000,L7,,,180.53,261.18,285.21,287.73,285.62,273.30,,,,291.18,291.15,281.59,,,,,,,,,,,201.88,226.73,215.93,177.64,202.90,215.03,224.06,200.52,,,,,,,,,,,154.15,179.10,275.90,277.49,279.57,289.86,295.31,303.60,,,,
2002-04-03 22:08:45.014000,L7,,,,251.88,302.91,290.03,264.33,271.51,290.58,291.64,288.72,,,,,,,,,,241.80,243.49,212.99,180.87,,,,,,,,,,,,,,,,,,,,,255.69,247.17,201.07,255.31,284.60,,,,,
2002-09-10 22:07:55.438000,L7,,,,179.94,208.52,262.31,259.53,269.35,243.86,256.73,256.68,259.10,235.65,180.00,203.04,,,,199.16,202.00,234.53,243.81,253.32,215.36,199.75,,270.45,219.06,,,,,,,,,,,,,,,,183.52,288.25,346.60,228.33,319.51,328.76,351.46,,,,
2002-12-31 22:08:20.096000,L7,241.47,271.99,323.11,313.67,333.96,320.55,310.14,286.41,234.76,250.49,242.53,247.40,317.01,324.96,319.41,316.33,310.31,290.66,215.63,251.07,309.17,312.38,268.17,257.36,260.61,270.73,279.33,260.66,257.02,259.19,293.35,293.73,256.61,268.18,259.64,267.87,246.53,254.34,246.18,267.56,207.20,191.83,195.17,229.98,331.79,349.79,340.76,348.69,335.07,241.73,,,,
2003-08-20 21:57:03.003000,L5,,,,,,258.40,261.95,263.25,269.22,,,,,,,,,,,,228.12,213.35,216.41,216.18,214.56,210.76,196.28,191.84,200.96,207.06,213.16,203.62,205.74,,,,,,,,,,,,,,,,,,,,,
2003-12-10 21:58:29.659000,L5,222.87,278.53,300.72,301.02,298.61,303.93,298.13,302.28,300.57,304.41,309.52,320.40,326.39,324.75,320.68,318.24,317.88,308.68,245.41,290.18,291.33,276.03,252.54,248.98,245.03,255.35,266.45,258.99,262.97,260.14,262.49,263.13,233.91,232.70,231.38,230.98,221.79,233.29,257.85,247.04,207.61,196.41,177.54,204.08,297.09,310.58,305.56,296.97,298.49,329.29,212.96,184.99,,
2003-12-26 21:58:42.145000,L5,221.17,267.22,298.82,312.13,314.35,321.80,315.64,322.81,316.26,321.60,310.46,312.19,312.79,314.14,309.97,305.28,308.05,313.49,298.88,313.45,299.15,298.34,277.19,260.73,260.23,250.70,253.90,249.29,254.15,251.08,250.33,258.81,257.05,252.58,257.17,246.54,246.11,226.10,246.09,235.54,198.23,188.01,195.34,214.37,312.22,320.50,322.13,304.55,292.76,312.03,228.60,202.84,,
2004-01-27 21:58:50.060000,L5,,,,,294.83,304.02,295.67,299.84,297.04,309.57,302.22,304.15,308.69,308.10,307.02,238.48,237.54,231.76,265.78,287.34,271.21,255.61,247.33,244.83,238.68,,,,,,,,,,,,,193.97,225.67,221.39,196.28,179.41,188.52,206.03,304.42,318.51,312.43,300.81,294.02,315.88,,,,
2004-05-18 22:00:38.480000,L5,202.76,208.22,269.85,270.15,277.33,282.00,279.51,285.63,283.50,286.32,288.06,287.55,287.42,286.51,200.25,190.69,178.27,178.16,182.19,216.47,229.65,223.49,219.05,220.20,222.82,221.69,221.23,225.91,227.14,223.04,229.18,223.22,210.09,206.87,204.07,202.65,204.44,,,,,,,,,,,,,,174.84,,,
2004-08-22 22:03:12.259000,L5,,,,,,,,,,,,,,,,,,,,,,,197.91,203.70,182.43,194.36,197.76,196.61,209.19,214.71,222.95,212.21,199.95,183.19,188.03,187.23,182.76,,,,,,,,,,,,,,,,,
2004-11-26 22:05:17.306000,L5,221.61,264.51,288.53,300.30,300.84,303.14,306.06,305.06,315.41,300.49,307.23,301.93,309.67,310.20,306.80,304.48,246.14,262.49,255.74,263.09,255.80,248.47,256.03,256.90,244.55,251.96,252.56,250.16,252.78,249.19,257.84,258.93,254.18,247.65,251.25,246.73,238.15,231.22,242.58,238.27,208.12,191.28,198.09,221.58,316.16,329.60,310.26,297.95,288.72,316.34,221.07,185.20,,
2005-02-14 22:06:33.160000,L5,215.62,278.14,291.61,288.30,290.79,297.49,296.09,297.23,305.22,309.02,327.46,327.12,306.94,315.84,320.46,306.28,270.59,192.77,209.24,221.51,213.54,202.34,209.67,218.16,229.37,249.13,255.88,255.53,255.97,252.32,263.97,248.72,229.18,227.38,235.46,234.27,224.82,279.84,283.90,292.34,251.94,181.85,265.10,262.28,304.68,304.81,304.55,295.10,320.71,331.82,211.36,192.42,189.69,196.55
2005-03-02 22:06:47.890000,L5,,,251.16,256.63,258.97,261.31,265.36,259.28,,,,,,,,,,,,,,,,,189.59,208.54,195.43,189.55,213.41,212.17,228.86,225.50,212.12,208.23,209.99,209.46,194.27,,,,,,,,,,,,,,165.62,,,
2005-09-10 22:08:07.620000,L5,230.97,256.95,291.50,293.51,294.32,302.38,302.94,306.45,311.61,306.83,316.80,302.39,311.25,306.22,310.22,301.58,310.86,296.00,242.84,251.87,244.16,230.97,238.33,238.91,245.36,256.29,248.09,248.62,249.48,239.08,239.76,244.99,236.10,237.63,238.98,233.72,232.35,206.66,243.15,232.01,199.81,178.62,183.65,205.74,299.79,319.98,311.56,301.67,304.21,309.06,210.29,183.55,,
2005-11-13 22:08:20.468000,L5,244.33,279.62,298.51,294.27,299.76,299.85,290.77,297.16,299.30,299.69,309.04,300.04,312.95,314.72,320.94,308.39,311.78,266.06,252.96,258.47,246.01,231.34,242.26,247.26,250.65,259.11,258.46,266.87,271.16,259.33,268.01,265.78,249.44,257.98,243.69,236.80,233.21,253.57,268.75,264.31,216.84,194.37,196.15,228.80,293.92,305.96,291.18,292.08,288.49,317.11,214.06,193.53,,
2006-02-01 22:10:13.684000,L5,222.81,264.55,288.60,289.63,288.04,295.84,295.40,299.58,299.35,303.75,306.16,310.15,313.71,313.67,311.60,307.99,245.18,210.63,236.42,235.53,230.95,224.55,230.87,238.63,241.16,248.31,253.66,243.67,237.14,230.67,247.87,238.28,223.48,218.25,222.15,220.77,210.83,,,,,,,,283.70,301.69,290.51,289.04,283.26,232.26,194.47,,,
2006-10-31 22:14:17.081000,L5,221.64,249.36,274.69,279.90,280.02,288.95,300.45,305.58,308.23,310.76,315.66,312.64,312.81,297.46,299.44,205.82,194.12,197.11,227.93,239.46,242.87,239.53,244.48,253.47,254.35,266.22,265.20,259.43,259.60,248.63,258.95,246.06,240.26,239.74,242.74,244.48,235.64,202.27,240.77,239.22,202.24,178.01,183.95,211.13,310.49,325.63,316.78,312.75,308.62,331.23,215.94,184.99,,
2007-02-04 22:14:57.320000,L5,238.19,253.23,277.85,281.96,281.25,291.59,292.72,298.80,306.31,311.53,313.78,310.91,314.25,311.67,307.34,211.45,193.29,195.24,227.30,235.28,235.50,225.32,238.36,251.90,254.03,264.26,262.51,268.79,267.63,250.09,252.60,246.60,239.41,238.77,241.66,236.93,231.01,243.50,266.27,252.73,205.41,181.14,188.92,217.53,295.64,311.99,311.11,305.39,304.65,327.56,218.75,188.33,,
2007-09-07 22:19:19.580000,L5,244.21,262.81,286.48,289.03,292.75,301.00,300.22,301.03,298.76,305.58,311.37,309.22,308.78,299.08,263.42,216.62,204.29,206.14,244.36,246.74,252.33,239.33,243.36,243.94,250.71,255.53,254.45,259.60,261.69,266.52,268.56,264.01,248.40,252.94,241.75,,,,272.83,291.49,215.74,191.59,198.28,270.51,,,,,,,,,,
2007-10-02 22:12:54.699000,L5,240.21,268.35,286.88,293.27,293.57,307.25,300.22,309.61,312.93,304.63,309.64,305.81,304.73,290.18,276.22,212.38,199.27,206.19,231.86,246.80,252.66,243.05,252.92,245.84,248.93,256.79,258.33,261.44,263.14,251.00,267.93,258.49,249.96,245.28,250.62,248.48,241.62,175.58,276.78,285.07,201.13,187.01,190.46,274.66,312.86,329.74,324.53,298.27,301.28,313.58,219.68,186.84,,
2008-12-23 22:04:28.225000,L5,,,,,,,,,,,,,,,,,,,,,,,,,218.65,230.11,216.51,228.26,229.69,218.57,215.86,219.31,205.98,202.09,202.75,204.62,194.36,,,,,,,,,,,,,,183.97,,,
