dates,satname,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
1999-08-17 22:13:37.953000,L7,395.43,356.48,360.92,302.95,272.99,269.95,295.81,193.66,326.64,337.41,348.24,350.36,293.10,333.61,347.70,305.49,295.39,339.98,344.07,308.44,338.45,326.84,334.82,349.95,339.16,337.88,167.78,198.92,200.83,290.47,356.17,358.44,356.03,351.00,350.09,342.70,254.78,229.76,214.43,208.62,217.97,202.09,189.03,349.09,344.54,352.05,351.47,341.17,333.44,332.20,346.78,345.37,350.26,334.67,182.72,286.89,303.68,305.53,294.98,306.78,309.53,349.44,349.84,344.11,340.78,329.61,336.57,339.90,346.96,349.28,346.34,344.62,345.98,347.65,339.48,337.16,324.17,327.06,330.73,315.95
1999-11-05 22:13:40.966000,L7,327.08,282.33,346.58,318.23,293.59,298.74,244.36,319.63,340.94,349.70,361.64,358.59,349.02,341.29,349.79,358.05,359.56,366.26,354.68,335.98,346.10,336.64,339.15,354.83,344.91,370.36,378.21,358.22,364.52,353.02,354.08,354.30,349.22,344.12,339.77,340.59,382.83,349.59,311.78,312.32,293.99,321.32,440.80,511.13,471.58,480.01,467.99,447.23,442.38,443.50,450.96,445.00,354.00,349.46,341.86,345.56,,,,,337.28,357.64,355.63,347.44,354.65,338.46,285.40,257.29,337.89,338.18,,,,,,,448.32,384.70,490.66,417.66
1999-12-07 22:13:41.663000,L7,411.48,416.14,424.75,312.44,284.85,298.41,306.48,318.60,335.33,336.79,348.39,348.40,343.26,339.83,352.00,355.99,355.44,353.80,351.72,338.56,338.88,329.94,340.26,357.84,344.23,338.72,351.08,345.79,352.85,346.78,355.57,359.56,353.67,351.39,348.54,343.16,404.26,349.52,342.28,345.46,349.82,346.50,345.71,352.28,348.15,358.93,353.29,346.93,346.49,346.72,355.12,352.99,358.56,359.23,360.15,353.72,270.80,305.54,290.23,305.08,299.69,297.09,286.17,270.85,263.30,279.70,332.53,335.09,339.60,341.77,338.38,337.54,338.83,344.26,340.09,334.18,323.88,319.41,315.85,309.06
1999-12-16 22:07:33.708000,L7,374.93,346.44,354.74,304.08,260.13,295.44,299.04,282.06,324.32,334.73,346.76,345.58,237.86,335.41,345.78,346.38,344.54,195.31,237.26,236.45,231.66,215.75,214.24,127.14,339.79,336.13,173.06,207.34,214.68,204.85,220.90,244.40,235.77,240.51,234.76,227.48,249.34,229.38,209.17,204.14,211.45,206.00,196.36,340.82,231.88,248.70,231.21,343.51,342.39,343.50,347.55,340.04,354.51,343.29,348.78,348.78,306.74,341.03,,,308.72,309.14,350.13,337.40,337.46,332.98,329.12,335.20,424.62,453.35,451.73,445.04,427.57,,,,,,,
2000-05-08 22:06:44.900000,L7,,,,,,,,,,,214.96,188.95,181.42,,,,,,,,,,,,,,,,,,,,,,,,,,198.94,193.25,192.80,179.66,162.65,,,,,,,,,,,,,269.08,264.47,198.82,219.66,257.89,211.69,238.15,292.11,270.07,270.75,255.38,,222.28,230.78,212.08,271.93,274.91,260.99,,222.30,212.53,207.46,193.69,187.96,177.45
2000-05-15 22:12:54.183000,L7,,366.29,365.17,,,,,,352.34,352.81,359.64,320.28,283.26,344.51,353.77,358.25,361.62,367.55,363.24,355.77,352.03,341.78,355.12,358.57,346.72,350.75,363.91,359.93,364.43,359.38,366.21,372.79,366.08,360.03,363.37,362.37,391.33,358.40,364.84,354.73,365.29,362.17,358.15,359.85,351.17,367.96,354.81,350.28,356.87,353.97,358.00,359.98,361.14,343.26,371.89,352.25,338.83,365.38,418.58,421.11,418.05,437.75,440.87,472.69,448.62,435.13,419.27,415.60,347.72,434.33,435.67,433.91,430.02,348.53,349.58,340.27,336.50,413.16,427.43,415.27
2000-06-16 22:12:38.425000,L7,429.10,441.96,443.06,446.07,451.59,453.78,451.99,471.46,479.75,,510.87,511.47,484.92,483.01,485.51,485.39,493.87,,,,,,467.21,496.17,456.81,,385.29,357.25,474.93,461.03,501.77,513.04,503.22,294.57,274.60,244.36,184.85,171.94,235.48,237.50,260.71,245.37,489.66,496.09,504.51,492.54,486.68,488.32,490.56,488.03,487.65,485.75,482.35,499.20,,232.22,203.55,254.69,238.62,264.72,268.06,274.45,219.96,252.59,474.64,,,,,,,,,,,,,,,
2000-06-25 22:06:19.852000,L7,193.77,,,,,244.24,297.62,199.49,351.56,340.19,464.05,466.07,442.65,415.49,359.65,364.19,364.38,358.52,359.24,345.57,355.35,340.65,348.28,366.49,357.48,348.70,352.82,351.14,363.87,359.23,356.87,365.94,364.38,361.68,362.24,354.98,394.60,342.88,347.50,351.59,373.11,364.64,358.05,343.04,352.63,360.12,362.02,348.38,342.07,354.40,364.98,366.80,366.72,357.68,344.77,326.15,360.95,363.11,356.21,350.54,362.18,364.84,376.50,349.40,355.60,340.32,333.33,334.44,357.04,348.53,353.33,334.45,352.56,350.92,353.66,339.26,412.32,412.71,407.87,410.91
2000-07-27 22:05:48.258000,L7,,,,,,,,,,304.77,282.38,262.33,260.55,270.13,261.35,255.05,332.65,316.26,439.56,432.64,434.89,403.26,415.35,436.10,437.31,438.32,451.55,495.75,456.85,435.89,451.11,420.43,462.99,459.72,494.86,497.59,485.11,466.97,439.66,424.81,466.66,489.90,477.45,484.82,491.79,499.18,495.00,480.03,487.17,462.58,467.78,446.33,472.19,460.13,433.52,431.58,425.17,467.47,445.40,444.26,443.97,480.32,449.44,467.09,485.50,482.01,461.18,457.00,463.35,440.28,466.56,455.92,460.40,478.58,467.41,426.61,438.24,434.58,428.70,412.23
2000-09-04 22:11:34.434000,L7,316.51,239.56,,,,200.81,220.22,296.89,285.25,322.88,195.99,345.37,300.52,290.90,286.61,285.00,282.65,323.37,345.74,278.40,260.18,244.64,260.95,277.95,281.37,307.29,277.46,291.56,328.29,253.71,244.40,,284.43,294.27,330.34,342.18,136.81,236.21,208.98,290.43,337.26,287.07,279.72,304.22,301.09,336.73,307.76,305.84,340.54,333.53,336.24,311.48,303.80,300.23,301.22,301.53,318.55,366.56,347.56,341.32,335.24,426.64,434.94,423.22,415.06,423.41,425.59,317.60,345.42,337.45,322.56,345.34,348.64,340.86,332.95,320.83,314.28,325.20,318.49,267.21
