dates,satname,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016
2002-03-27 22:00:37.575000,L7,306.27,266.25,294.98,296.59,236.72,310.71,238.02,260.59,305.15,309.45,294.37,304.01,314.36,307.01,,318.64,317.58
2002-06-15 22:00:19.658000,L7,388.26,402.03,392.25,399.80,387.44,381.70,510.52,468.28,383.83,411.03,540.51,,,,,,
2002-07-17 22:00:08.747000,L7,315.62,296.26,302.97,269.59,246.40,313.21,295.33,311.67,311.03,312.00,,269.01,279.64,286.53,287.80,,
2002-08-02 22:00:01.321000,L7,296.10,262.53,224.14,262.70,284.49,306.60,303.08,307.13,312.29,307.06,,261.25,273.43,279.84,280.84,291.41,287.25
2002-09-19 21:59:35.083000,L7,311.40,268.23,307.98,269.51,286.96,310.34,304.81,308.92,314.04,307.27,179.06,282.56,273.29,259.27,282.64,266.24,240.58
2002-10-21 21:59:36.443000,L7,253.18,266.12,295.87,259.04,236.84,299.94,263.92,262.07,305.87,302.61,,,,,,224.82,291.59
2002-12-24 22:00:09.147000,L7,247.20,273.40,300.18,230.58,238.48,307.25,219.66,271.59,310.22,311.98,292.86,293.78,306.55,,,238.52,294.04
2003-01-25 22:00:18.779000,L7,239.09,269.39,287.27,251.30,229.70,300.67,236.49,259.89,255.95,292.08,290.97,220.05,241.27,,182.01,244.47,308.79
2003-03-30 22:00:31.029000,L7,206.60,267.84,295.45,263.90,219.47,305.35,228.34,265.85,260.16,292.32,247.66,,,,,,
2003-07-21 21:42:09.884000,L5,213.11,249.40,294.05,222.52,267.95,293.95,289.24,301.92,233.62,247.14,215.37,,276.04,278.71,277.03,186.47,
2003-08-06 21:42:27.230000,L5,,,282.25,225.98,272.06,282.27,296.24,299.49,290.21,293.49,212.37,,278.21,284.53,282.31,212.05,
2003-08-13 21:48:45.123000,L5,209.08,243.45,290.38,222.98,272.08,282.40,294.51,302.06,286.98,288.52,173.81,,269.07,282.37,281.77,179.88,290.72
2003-08-22 21:42:44.232000,L5,,,,,,,,,,,,,260.45,276.12,274.07,,
2003-09-07 21:43:00.591000,L5,,,,201.01,278.93,303.41,310.96,310.14,311.16,307.26,275.64,280.90,293.38,282.67,,,303.44
2003-09-14 21:49:18.766000,L5,269.19,246.28,295.64,221.40,268.51,282.10,301.29,300.52,294.70,297.21,203.81,,281.12,286.60,281.55,223.26,304.54
2003-10-25 21:43:40.253000,L5,248.02,251.38,295.22,,,,,,,,,,284.78,289.14,277.77,223.25,304.07
2003-11-17 21:50:09.452000,L5,218.09,252.41,289.36,195.88,,,251.90,283.01,263.23,278.87,248.52,,275.28,285.83,,,304.64
2003-12-12 21:44:10.398000,L5,223.69,261.19,290.16,220.97,250.45,215.42,300.41,298.75,292.03,297.79,244.97,,,,,,295.29
2004-02-21 21:50:47.082000,L5,236.01,251.05,267.95,222.69,,,254.79,297.02,242.61,287.18,239.12,,,,,,
2004-04-02 21:44:54.996000,L5,,,,,,,,302.11,303.92,297.54,263.96,,,,,,
2004-05-04 21:45:52.076000,L5,,,,229.83,269.00,285.63,295.64,296.94,230.00,222.83,182.98,,263.90,277.70,,,
2004-05-20 21:46:20.465000,L5,,,,226.24,275.70,288.26,293.27,304.97,289.34,293.24,243.92,,274.81,276.73,273.04,221.12,289.81
2004-06-05 21:46:48.916000,L5,,245.12,279.97,216.77,269.79,295.28,304.15,303.70,228.84,297.53,195.11,,,,,,
2004-07-07 21:47:45.207000,L5,291.54,294.19,294.81,247.03,281.52,291.18,305.87,309.91,298.01,301.21,225.44,279.48,277.18,284.79,284.16,214.86,
2004-07-23 21:48:09.192000,L5,,,,,,290.41,300.81,303.28,276.76,296.32,213.97,,277.26,276.93,265.07,178.25,298.55
2004-07-30 21:54:28.143000,L5,207.05,246.68,290.81,231.20,271.48,292.30,301.12,302.59,295.96,292.63,194.29,,275.00,278.28,276.75,189.08,265.70
2004-08-24 21:48:54.043000,L5,,,,,,,,331.35,329.03,330.91,289.92,308.84,314.70,312.05,311.94,326.56,
2004-09-09 21:49:19.975000,L5,270.52,256.40,285.51,216.91,262.14,283.77,301.19,303.57,287.83,292.55,,,267.76,279.05,276.84,222.81,292.80
2004-09-16 21:55:41.721000,L5,200.76,229.65,284.58,221.03,,,250.18,296.36,232.21,286.55,184.90,,275.92,275.67,262.32,,299.53
2004-09-25 21:49:43.196000,L5,227.25,242.30,,,,,,,,,,,,,,,300.57
2004-10-18 21:56:23.891000,L5,234.76,246.00,298.13,232.76,268.92,264.73,298.72,300.19,245.04,284.21,236.24,,277.01,277.87,274.23,222.38,292.44
2004-11-03 21:56:42.977000,L5,221.53,259.14,302.33,236.89,267.68,279.84,292.78,302.31,296.32,294.51,236.86,,,284.07,276.79,199.20,300.08
2005-01-15 21:51:45.464000,L5,212.85,251.23,289.40,209.60,,,216.64,291.98,250.25,284.56,,,,,,,290.98
