dates,satname,nzd0514-0000,nzd0514-0001,nzd0514-0002,nzd0514-0003,nzd0514-0004,nzd0514-0005,nzd0514-0006,nzd0514-0007,nzd0514-0008,nzd0514-0009,nzd0514-0010,nzd0514-0011,nzd0514-0012,nzd0514-0013,nzd0514-0014,nzd0514-0015,nzd0514-0016,nzd0514-0017,nzd0514-0018,nzd0514-0019,nzd0514-0020,nzd0514-0021,nzd0514-0022,nzd0514-0023,nzd0514-0024,nzd0514-0025,nzd0514-0026,nzd0514-0027,nzd0514-0028,nzd0514-0029,nzd0514-0030,nzd0514-0031,nzd0514-0032,nzd0514-0033,nzd0514-0034,nzd0514-0035,nzd0514-0036,nzd0514-0037,nzd0514-0038,nzd0514-0039,nzd0514-0040,nzd0514-0041,nzd0514-0042,nzd0514-0043,nzd0514-0045,nzd0514-0046,nzd0514-0047,nzd0514-0048,nzd0514-0049,nzd0514-0044
1999-12-07 22:13:41.663000,L7,346.37,361.49,367.43,369.23,374.91,369.61,362.40,361.00,369.31,377.05,329.41,355.62,357.07,502.62,486.63,516.47,485.38,483.89,469.80,504.13,366.59,356.33,359.60,364.80,371.97,374.41,355.43,367.41,363.76,360.01,352.56,355.36,351.47,345.96,340.99,332.31,327.35,336.85,332.61,331.71,334.88,333.39,342.93,349.05,343.33,347.25,342.34,336.44,343.94,
1999-12-16 22:07:33.708000,L7,322.54,319.14,322.71,320.04,319.34,302.38,302.66,312.50,477.74,476.38,459.83,435.25,309.67,320.66,316.33,314.36,314.28,315.08,317.00,319.16,322.94,327.37,494.33,508.64,207.22,473.11,474.53,237.28,349.81,334.11,331.77,331.95,431.43,347.10,410.78,401.18,428.15,398.63,393.36,449.34,441.55,341.05,353.10,324.34,237.68,265.28,263.63,320.74,354.93,253.71
2000-04-13 22:13:06.040000,L7,327.58,322.62,233.15,238.26,190.17,297.49,303.36,313.83,313.48,316.47,316.68,310.52,308.79,332.84,316.92,318.09,316.54,314.61,315.94,321.24,321.62,325.05,334.28,331.97,195.60,195.87,195.76,352.58,349.36,334.33,328.11,324.35,320.66,324.74,327.43,327.46,318.73,313.56,299.64,306.47,306.01,322.72,315.38,317.55,320.15,316.25,308.19,329.79,306.40,324.95
2000-05-08 22:06:44.900000,L7,333.11,325.85,320.24,326.04,328.12,313.84,314.98,322.09,325.33,323.59,324.51,312.94,319.87,420.96,410.19,325.97,329.42,329.51,331.35,334.51,332.84,332.03,339.01,340.86,342.54,344.45,350.47,361.60,357.76,341.87,339.57,336.37,385.91,380.99,351.11,367.51,330.31,319.54,311.07,309.24,336.83,312.28,313.64,317.22,318.32,316.55,301.51,295.69,364.46,326.00
2000-05-15 22:12:54.183000,L7,326.19,317.32,303.50,160.63,317.64,259.25,324.07,331.07,312.38,336.34,329.52,325.00,317.14,333.68,322.36,332.27,331.05,330.31,332.24,339.06,334.29,335.42,340.11,345.12,344.05,351.34,359.98,360.19,355.67,346.89,339.23,335.30,345.90,333.22,338.13,341.38,327.74,320.96,315.38,310.91,334.04,312.11,312.42,318.84,319.48,317.57,311.33,300.47,307.39,324.76
2000-06-25 22:06:19.852000,L7,303.56,308.42,,,,,,,,,,216.47,208.86,300.45,246.28,286.02,230.10,159.46,262.32,251.13,262.92,254.47,240.21,241.50,271.30,282.13,283.74,296.31,288.74,181.59,283.58,159.80,300.16,257.90,297.79,202.57,272.25,286.69,148.00,167.01,272.24,285.53,273.37,249.43,286.31,300.56,291.75,215.11,300.06,250.75
2000-07-27 22:05:48.258000,L7,346.87,337.00,322.58,148.65,302.40,281.35,314.00,309.48,308.95,317.70,320.53,307.97,313.57,326.40,309.48,323.83,308.71,318.15,331.12,330.84,322.57,315.62,328.95,335.18,326.67,344.70,364.58,355.80,367.27,363.16,331.59,327.69,340.78,323.97,327.98,323.75,322.03,331.87,298.18,282.56,320.65,310.04,306.97,318.56,317.27,319.98,314.68,293.50,317.96,322.55
2000-09-20 22:11:14.930000,L7,289.93,199.79,172.59,230.55,318.38,300.99,299.79,307.29,300.33,290.26,312.27,310.42,288.13,313.52,293.89,306.28,310.14,299.54,278.81,315.30,315.52,312.66,322.08,312.06,322.94,300.71,314.05,330.87,328.99,299.78,302.13,302.61,308.51,302.17,309.48,312.26,296.28,294.96,287.55,284.83,269.38,295.41,292.76,298.39,310.49,304.15,295.90,301.80,302.13,309.98
2000-12-18 22:05:01.704000,L7,461.33,436.77,427.59,491.45,436.04,432.51,416.76,444.18,438.85,458.76,427.68,446.77,484.28,467.67,413.25,398.08,413.96,407.78,407.40,420.66,419.45,395.06,411.04,425.34,423.64,422.53,440.92,428.92,422.30,359.96,344.06,332.17,336.58,339.10,341.36,405.35,392.52,383.80,379.35,384.02,393.68,401.58,428.27,419.72,383.16,387.26,415.71,414.09,397.47,384.27
2001-01-03 22:05:00.181000,L7,318.03,318.76,321.56,318.93,318.02,300.35,440.91,413.80,311.03,307.80,313.76,296.94,308.92,315.81,309.17,309.31,312.24,312.90,220.05,177.16,232.00,243.65,324.10,326.94,326.74,333.74,344.36,343.58,339.18,440.28,455.16,438.47,308.97,313.09,310.23,310.51,303.97,296.31,289.44,286.16,268.50,293.82,298.90,304.78,219.68,376.25,366.71,370.51,366.04,166.79
