dates,satname,nzd0302-0000,nzd0302-0001,nzd0302-0002,nzd0302-0003,nzd0302-0004,nzd0302-0005,nzd0302-0006,nzd0302-0007,nzd0302-0008,nzd0302-0009,nzd0302-0010,nzd0302-0011,nzd0302-0012,nzd0302-0013,nzd0302-0014,nzd0302-0015,nzd0302-0016,nzd0302-0017,nzd0302-0018,nzd0302-0019,nzd0302-0020,nzd0302-0021,nzd0302-0022,nzd0302-0023,nzd0302-0024,nzd0302-0025,nzd0302-0026,nzd0302-0027,nzd0302-0031,nzd0302-0032,nzd0302-0033,nzd0302-0034,nzd0302-0035,nzd0302-0036,nzd0302-0037,nzd0302-0038,nzd0302-0039,nzd0302-0040,nzd0302-0041,nzd0302-0028,nzd0302-0029,nzd0302-0030
1999-08-05 21:47:23.016000,L7,283.60,286.60,306.63,301.94,317.76,261.97,302.36,310.20,298.35,283.85,304.15,301.64,301.95,285.40,275.89,269.74,250.10,251.12,271.50,292.04,347.96,346.93,345.48,341.78,334.53,351.50,364.91,490.83,502.68,481.06,476.55,486.78,355.51,369.41,368.73,362.74,369.16,370.68,366.53,,,
1999-08-21 21:47:20.968000,L7,472.29,457.98,460.91,463.68,498.76,410.48,402.09,414.07,444.56,443.22,443.82,503.05,517.42,424.65,480.60,499.67,493.63,494.39,489.88,426.60,416.38,419.23,399.73,398.95,385.60,389.20,396.44,502.29,391.90,484.45,494.89,,,,,,480.34,435.22,437.73,515.70,489.59,520.81
1999-08-28 21:53:35.950000,L7,,,,,,,,,,,,,,,,,,195.27,188.07,,173.03,212.57,245.85,,282.44,263.63,184.68,254.35,237.66,279.14,272.52,285.62,276.50,306.74,218.73,204.74,,303.08,290.41,267.33,262.02,257.99
1999-09-22 21:47:24.746000,L7,,,,,,494.69,361.36,364.36,395.80,329.02,325.46,343.59,347.25,334.96,502.40,469.20,510.64,494.84,330.80,351.61,379.44,469.86,396.54,361.09,353.62,374.09,384.89,370.05,359.65,368.48,367.00,364.67,373.37,383.12,377.30,367.41,369.76,391.28,389.08,394.29,394.85,422.03
1999-09-29 21:53:40.155000,L7,309.96,313.34,315.31,312.93,320.41,291.28,304.63,300.57,275.46,268.22,274.75,282.07,288.14,265.06,257.51,253.97,244.08,251.84,267.31,294.04,311.63,311.59,312.04,304.17,300.49,304.53,304.95,299.09,310.97,321.73,311.25,314.44,321.02,325.96,337.07,342.64,216.10,263.06,292.43,314.71,306.38,294.47
1999-10-24 21:47:20.173000,L7,480.68,481.48,496.05,514.90,510.72,420.23,395.12,410.82,447.43,377.70,374.69,377.27,384.51,365.12,345.36,369.58,354.94,361.30,359.62,386.35,417.12,473.97,408.28,372.67,367.55,381.50,386.19,383.25,368.62,377.97,382.35,380.81,403.04,405.36,398.64,395.25,404.03,409.52,394.04,397.21,390.79,403.93
1999-11-16 21:53:32.114000,L7,381.77,392.45,401.69,398.39,395.87,391.70,395.58,403.82,398.29,380.71,360.14,368.31,377.48,364.86,352.34,436.91,410.09,453.39,370.83,393.73,404.13,405.70,388.01,375.52,370.72,377.13,377.27,382.67,372.04,394.59,398.08,399.77,420.82,409.20,414.52,412.00,417.93,412.32,391.86,388.90,373.06,366.23
2000-01-19 21:53:25.812000,L7,,,,,,504.50,446.91,446.48,441.63,394.26,391.18,397.17,404.51,386.13,452.44,514.12,472.24,401.18,378.98,402.71,515.71,520.92,420.00,391.81,385.51,402.33,402.44,393.82,374.29,397.36,403.63,400.49,474.41,509.93,527.53,492.83,421.80,436.38,408.37,407.32,414.08,400.26
2000-04-01 21:46:58.583000,L7,256.15,281.32,304.27,284.07,288.84,279.82,296.44,287.41,240.68,268.66,321.22,332.73,333.08,327.11,325.10,322.21,280.73,310.89,281.73,350.74,346.09,374.03,361.70,303.31,303.02,331.76,349.98,360.82,356.52,340.60,334.90,327.14,337.18,185.40,258.11,223.30,519.64,518.14,,373.85,400.00,337.01
2000-05-03 21:46:43.127000,L7,,,,516.87,513.44,421.00,423.81,443.99,444.35,429.15,440.91,400.89,404.85,392.78,401.16,502.16,475.26,474.34,465.11,424.21,429.93,465.26,423.42,394.06,399.49,398.09,399.09,406.64,393.68,411.38,501.64,479.70,426.02,435.40,519.75,427.79,422.81,430.97,408.67,413.26,406.30,410.97
