dates,satname,nzd0370-0000,nzd0370-0001,nzd0370-0002,nzd0370-0003,nzd0370-0004,nzd0370-0005,nzd0370-0006,nzd0370-0007,nzd0370-0008,nzd0370-0009,nzd0370-0010,nzd0370-0011,nzd0370-0012,nzd0370-0013,nzd0370-0014,nzd0370-0015,nzd0370-0016
1999-10-13 22:06:24.714000,L7,517.54,280.84,324.05,294.35,293.00,312.43,329.44,325.73,337.76,337.56,341.52,329.65,352.76,328.10,300.51,322.50,279.92
1999-11-21 22:12:24.026000,L7,,,,,,,,,241.55,248.43,255.97,253.44,241.95,248.35,252.71,193.58,249.46
2000-01-17 22:06:11.705000,L7,238.58,202.94,249.73,220.51,243.40,286.72,279.45,293.63,288.64,299.61,320.67,296.77,310.83,298.07,254.19,290.29,263.52
2000-02-25 22:12:13.451000,L7,,,,,,,252.27,232.03,243.46,247.26,242.30,261.05,285.13,231.12,,,
2000-08-19 22:10:38.028000,L7,,,,,,,245.73,244.71,240.61,242.77,242.91,251.86,246.56,233.56,221.51,226.78,
2000-11-07 22:09:53.335000,L7,329.45,323.61,476.94,520.95,479.30,489.85,492.39,504.97,509.14,515.08,524.88,523.45,350.13,337.21,305.72,329.47,492.48
2000-12-18 22:03:49.828000,L7,332.83,279.99,261.71,240.48,270.80,311.70,332.09,330.53,341.93,344.46,363.04,326.06,345.69,317.19,284.15,313.72,283.01
2001-01-10 22:10:03.706000,L7,,,,,233.02,263.90,269.83,266.16,216.37,254.14,256.03,284.57,301.12,245.04,244.36,248.61,246.72
2001-02-20 22:03:48.640000,L7,240.42,206.61,246.12,222.79,229.42,265.84,293.32,298.57,295.65,302.68,314.25,288.16,299.92,282.92,248.34,278.02,254.80
2001-03-31 22:09:43.621000,L7,313.87,326.30,309.37,347.52,354.59,384.76,378.34,382.14,391.40,381.71,408.51,470.45,363.08,349.38,344.16,318.32,323.57
2001-08-31 22:02:05.221000,L7,213.93,,211.13,211.98,221.62,,244.86,243.29,227.85,191.80,298.65,251.59,285.57,262.77,241.13,236.08,241.54
2001-10-02 22:01:40.483000,L7,236.32,187.80,250.31,223.60,233.05,270.79,250.18,245.84,236.29,242.26,235.35,221.61,190.64,180.27,245.24,266.58,245.60
2001-11-03 22:01:46.660000,L7,,,249.39,222.82,244.18,277.20,301.96,305.92,301.28,292.48,306.92,295.30,308.90,294.44,257.93,284.26,259.57
2001-12-21 22:02:05.831000,L7,,,246.20,217.28,211.82,254.39,283.55,298.34,298.87,304.38,285.14,285.28,302.91,285.15,248.03,252.71,249.21
2002-02-07 22:02:17.936000,L7,,,,,176.19,252.77,243.71,231.16,229.65,231.50,166.78,253.84,,234.50,235.89,231.46,232.26
2002-02-14 22:08:29.220000,L7,,,250.67,221.71,235.63,271.03,257.29,255.85,210.81,208.73,243.36,222.04,210.95,176.74,253.59,247.47,255.94
2002-03-11 22:02:19.622000,L7,245.26,215.39,234.74,199.65,189.50,256.48,292.09,255.26,240.08,200.29,222.03,211.81,246.13,243.90,252.39,248.96,248.66
2002-10-05 22:01:07.311000,L7,,,,,241.36,274.02,294.81,299.72,298.75,303.51,306.99,287.72,289.08,270.77,245.47,257.39,244.52
2002-12-31 22:07:56.130000,L7,,,,,,,256.33,257.05,243.09,248.24,256.19,260.54,284.73,243.82,224.10,234.18,240.24
2003-02-26 22:02:04.470000,L7,,,,,,231.13,252.03,251.44,242.38,245.56,262.02,223.32,292.53,248.48,236.50,241.32,242.55
2003-03-05 22:08:19.474000,L7,,,,,,,250.26,251.18,243.34,244.66,262.75,256.95,295.58,243.63,236.78,241.35,241.37
2003-03-21 22:08:15.672000,L7,,,178.19,203.38,222.72,254.10,293.05,300.12,300.01,303.42,314.64,302.59,305.08,287.93,253.88,270.81,256.68
2003-05-24 22:08:16.964000,L7,212.91,,,,,252.71,247.23,238.96,238.96,241.98,290.09,243.10,252.29,222.34,179.97,,
2003-07-28 21:50:04.710000,L5,292.36,275.62,245.75,186.12,179.96,224.97,248.82,260.65,256.43,263.75,271.78,242.10,259.63,239.87,210.08,209.11,210.50
2003-08-29 21:50:38.152000,L5,,,,,201.80,231.48,235.33,247.34,248.87,265.03,260.65,241.60,242.96,221.06,202.82,195.65,210.50
2003-09-14 21:50:54.515000,L5,,,,,207.19,234.12,239.35,251.00,256.61,272.06,268.13,246.20,255.53,222.83,207.82,208.94,204.90
2003-10-16 21:51:19.969000,L5,314.02,286.44,260.20,220.44,244.55,279.68,308.01,309.42,309.36,315.77,324.02,299.45,306.29,289.72,252.99,281.63,266.61
2003-11-17 21:51:45.201000,L5,,,,176.19,202.35,233.33,265.60,272.52,272.96,281.26,287.55,258.05,274.09,243.96,216.58,208.61,220.21
2003-12-10 21:58:05.829000,L5,310.55,290.07,264.07,234.07,251.94,289.36,306.25,310.41,306.13,299.94,311.33,286.94,303.02,287.86,250.22,281.42,277.18
2004-02-05 21:52:16.959000,L5,,,,,,,,,,,230.23,235.89,203.06,197.69,228.00,241.02,231.48
