dates,satname,nzd0349-0000,nzd0349-0001,nzd0349-0002,nzd0349-0003,nzd0349-0004,nzd0349-0005,nzd0349-0006,nzd0349-0007,nzd0349-0008,nzd0349-0009,nzd0349-0010,nzd0349-0011,nzd0349-0012,nzd0349-0013,nzd0349-0014,nzd0349-0015,nzd0349-0016,nzd0349-0017,nzd0349-0018,nzd0349-0019
1999-09-29 21:54:04.102000,L7,332.36,321.18,325.35,332.88,330.49,302.59,302.62,324.84,326.56,317.90,330.76,326.50,325.02,322.68,325.62,292.65,306.96,288.27,270.09,240.22
2000-01-19 21:53:49.771000,L7,370.49,360.68,361.87,370.50,366.25,350.00,346.00,354.52,475.92,469.34,507.83,507.37,373.35,481.81,496.24,490.33,473.18,472.40,388.96,389.82
2000-05-26 21:53:00.524000,L7,333.20,326.61,324.67,336.00,329.17,304.31,298.91,315.63,308.16,266.20,332.27,321.37,330.73,328.99,321.71,331.05,342.63,289.96,364.31,358.53
2000-07-29 21:52:14.316000,L7,313.62,262.66,235.97,171.29,206.58,287.89,265.84,302.80,292.29,201.06,289.80,254.41,209.81,258.53,295.25,234.43,197.54,327.99,295.31,273.03
2000-08-14 21:52:08.182000,L7,,,,,202.48,221.15,207.81,214.13,,,,,,,,,,,,265.15
2000-12-04 21:51:22.024000,L7,330.68,323.16,325.54,335.01,324.96,301.74,294.18,318.86,327.57,322.16,328.86,323.72,328.94,321.11,324.78,195.22,271.44,346.78,324.37,352.85
2001-01-05 21:51:28.457000,L7,422.15,415.72,415.53,423.36,410.03,432.31,438.75,430.36,439.75,418.50,481.78,437.89,428.38,462.55,429.79,419.34,435.95,427.98,436.46,464.07
2001-01-21 21:51:34.318000,L7,404.66,413.83,412.10,478.46,504.22,448.86,447.65,495.89,504.04,518.66,491.84,498.53,492.94,494.39,491.09,471.07,461.04,471.44,469.78,471.78
2001-04-27 21:51:07.792000,L7,358.29,373.89,401.98,391.74,367.90,347.07,350.36,368.64,422.42,387.24,381.37,436.34,413.76,381.92,384.90,381.93,389.10,391.16,392.14,415.77
2001-05-13 21:50:57.045000,L7,,,,212.79,171.90,,,,,,212.39,286.80,255.64,,286.44,213.99,203.03,191.16,,
