dates,satname,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
1999-09-04 22:00:09.953000,L7,346.53,358.53,353.76,353.68,345.46,331.12,327.26,325.43,319.75,302.06,255.70,238.74,250.57,280.13,268.34,254.33,245.94,230.77,245.47
1999-09-20 22:00:08.403000,L7,354.31,363.64,357.30,351.49,340.57,334.46,326.82,335.31,333.22,322.18,306.72,295.77,294.15,283.99,266.14,252.20,237.55,241.31,247.04
1999-12-09 22:00:09.551000,L7,354.60,354.99,345.41,345.65,336.33,323.52,328.65,317.77,278.17,308.15,,,,268.57,265.39,251.22,246.67,236.32,248.64
1999-12-25 22:00:04.067000,L7,366.83,364.73,362.66,355.50,347.59,348.73,341.04,314.43,323.39,257.88,264.36,248.39,261.83,283.79,269.34,257.06,247.70,236.82,258.51
2000-01-26 22:00:02.226000,L7,371.40,368.15,369.43,365.36,355.07,348.59,339.10,333.85,321.08,258.40,308.21,287.07,282.72,271.87,268.99,254.62,247.08,243.01,250.32
2000-02-11 21:59:57.866000,L7,343.77,346.90,346.15,338.37,327.83,316.36,303.95,286.98,266.23,296.96,,,,,,251.34,246.26,225.54,241.22
2000-02-27 21:59:52.393000,L7,352.95,360.73,360.75,359.54,338.25,338.26,323.92,324.23,276.54,325.11,330.20,325.96,294.83,302.45,265.81,252.66,248.47,239.89,254.20
2000-03-14 21:59:47.162000,L7,,350.93,354.68,343.33,338.90,,,278.00,264.79,,,,,,,219.51,238.06,229.01,247.73
2000-03-30 21:59:45.397000,L7,369.08,363.91,360.11,354.61,351.62,340.33,332.94,329.35,273.39,313.48,314.82,291.19,293.44,274.59,257.30,247.49,247.12,240.85,248.72
2000-04-15 21:59:31.785000,L7,307.21,349.27,334.79,333.37,323.94,311.50,310.27,288.68,265.38,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,348.23,358.12,355.87,351.89,339.29,336.86,321.35,319.21,287.29,293.10,293.27,296.48,298.46,275.74,262.97,250.85,,240.90,245.31
2000-05-17 21:59:19.400000,L7,387.07,377.72,372.73,367.80,350.84,349.83,344.52,342.77,332.30,325.10,316.58,315.24,309.19,306.49,272.38,264.02,251.42,248.92,252.43
2000-06-18 21:59:03.789000,L7,341.05,359.13,362.31,355.57,345.26,334.92,329.92,325.38,322.48,305.83,294.28,244.07,257.55,293.28,288.64,258.45,242.96,209.52,253.42
2000-08-05 21:58:20.584000,L7,357.41,368.10,364.66,362.96,349.98,342.56,335.21,329.33,325.69,306.35,298.43,295.80,296.60,283.26,267.34,259.36,247.79,240.87,250.06
2000-10-24 21:57:29.684000,L7,346.71,350.60,341.56,344.35,330.90,326.14,318.83,313.34,287.04,292.61,290.89,282.39,281.43,273.90,261.03,236.68,,231.77,244.87
2000-11-09 21:57:33.274000,L7,320.29,351.90,332.90,335.83,341.60,317.88,309.64,311.89,274.27,278.01,344.14,405.20,437.22,412.87,269.59,256.39,248.18,241.29,244.74
2000-11-25 21:57:34.931000,L7,369.13,372.30,369.39,370.23,358.57,349.80,343.50,336.84,335.20,324.74,318.61,312.31,303.74,296.72,270.70,264.60,250.70,241.66,254.16
2000-12-11 21:57:36.803000,L7,362.59,366.84,247.79,266.50,343.58,348.95,348.66,344.02,277.31,317.61,307.07,248.89,291.39,304.39,261.90,250.06,246.96,242.24,252.54
2001-02-13 21:57:39.607000,L7,327.63,327.20,319.40,326.12,315.41,313.61,281.74,283.22,261.29,,,,,,,254.24,239.02,225.76,248.31
2001-04-02 21:57:18.479000,L7,,337.42,340.76,335.03,319.40,306.12,292.46,288.53,274.00,282.02,250.25,,,232.69,256.25,236.27,242.29,240.06,249.80
2001-05-20 21:57:04.892000,L7,338.06,340.33,351.26,335.38,315.80,312.09,296.93,290.60,271.28,180.63,284.48,,,,,241.59,246.82,240.89,244.04
2001-06-05 21:56:52.440000,L7,339.99,350.96,357.64,352.85,339.98,318.99,313.57,305.92,272.13,294.22,287.52,,,240.98,258.54,255.75,250.34,247.33,251.03
2001-07-07 21:56:36.067000,L7,343.10,373.52,372.94,367.97,337.12,321.74,301.13,312.21,202.47,,,,,,,,,,246.69
2001-08-08 21:56:12.984000,L7,341.77,364.37,246.69,266.84,335.22,334.45,328.93,323.14,319.10,307.71,296.28,294.32,290.45,279.57,265.33,257.71,247.77,241.18,249.38
2001-08-24 21:56:00.447000,L7,308.51,349.30,340.90,334.27,322.72,326.10,320.06,308.16,265.15,293.72,288.32,281.86,285.21,267.80,253.68,247.71,236.83,229.26,242.51
2001-09-25 21:55:40.572000,L7,354.71,365.35,366.91,361.71,343.70,334.85,323.90,325.92,322.28,315.84,304.47,314.28,289.45,280.72,267.45,254.05,248.03,234.35,248.92
