dates,satname,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0049,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066,nzd0412-0067,nzd0412-0068,nzd0412-0069
1999-09-04 22:00:33.926000,L7,314.84,305.41,306.90,313.13,321.44,330.15,345.30,352.24,346.40,319.60,296.86,286.11,280.77,294.52,290.12,289.61,289.73,262.94,243.92,279.30,296.79,314.66,321.63,316.12,319.81,330.48,330.37,338.20,325.95,343.98,338.87,343.14,345.36,467.83,471.47,472.71,477.45,364.84,368.33,374.26,378.87,376.54,382.01,381.63,378.01,485.76,490.16,490.95,492.17,481.53,375.11,466.61,458.48,454.84,465.41,465.04,425.80,411.15,343.14,348.88,364.27,354.47,418.11,382.04,409.91,429.82,416.64,414.30,457.69,
1999-10-22 22:00:28.631000,L7,347.56,371.35,369.10,372.97,374.79,377.70,359.25,354.63,351.72,335.68,302.89,291.96,290.33,307.32,307.56,328.22,326.58,330.21,329.33,323.06,326.21,332.82,481.66,489.48,332.40,337.63,345.67,375.14,341.39,377.15,367.48,378.11,370.96,390.40,372.93,364.28,373.99,381.95,377.32,390.16,393.81,396.10,400.40,397.98,406.13,488.54,499.95,497.33,506.80,463.14,393.16,412.62,461.11,406.18,427.34,410.46,372.60,390.48,389.65,392.17,409.12,374.86,426.42,518.39,,,,,,
1999-12-09 22:00:33.510000,L7,475.28,480.60,473.78,480.15,472.17,473.88,465.59,467.19,469.72,475.95,478.64,484.70,487.06,504.31,496.56,498.13,482.96,491.02,481.83,493.17,486.54,494.65,485.27,490.30,491.50,494.15,486.10,488.69,480.07,488.21,472.73,462.73,473.05,473.65,484.24,481.08,491.95,487.90,489.92,484.82,487.20,490.79,489.36,502.20,508.70,506.18,,505.92,508.64,487.01,490.94,480.41,477.97,484.54,504.67,483.28,464.76,472.70,490.86,503.04,512.62,506.09,,,,,,,,
2000-01-26 22:00:26.187000,L7,477.49,470.41,462.73,464.39,454.89,481.14,281.63,297.37,296.04,288.26,215.31,240.11,253.79,196.86,213.01,458.90,454.45,452.62,455.55,453.10,452.29,447.71,261.88,265.02,228.55,183.40,482.47,477.42,473.71,465.45,475.59,467.93,477.60,433.94,476.31,437.70,462.47,457.27,459.54,142.92,351.20,321.95,350.61,344.30,345.67,346.92,348.43,352.10,352.28,339.35,342.27,326.37,249.53,184.63,293.31,336.36,289.26,302.08,191.84,286.32,331.08,322.02,334.00,234.58,344.40,351.95,376.87,283.44,248.39,
2000-02-11 22:00:21.827000,L7,239.46,220.10,250.24,274.50,285.23,287.29,299.65,305.92,306.48,295.56,272.08,265.53,264.91,240.15,231.61,217.52,245.79,198.10,198.23,205.13,243.17,261.64,280.93,283.57,259.33,297.20,304.22,296.41,295.61,316.98,316.67,314.79,461.81,462.22,471.60,466.08,333.18,343.86,345.64,356.46,360.56,353.30,360.72,356.18,358.25,355.33,360.48,355.99,368.38,351.46,350.77,328.59,299.01,295.42,303.09,344.86,309.02,309.28,311.36,332.43,343.43,333.17,349.84,351.80,380.82,368.36,390.47,390.03,342.32,474.60
2000-02-27 22:00:16.353000,L7,478.40,478.20,478.53,470.76,431.26,460.50,466.96,453.86,452.49,450.55,469.72,472.97,450.78,481.74,487.19,483.09,482.52,474.52,476.31,483.08,484.62,284.98,472.68,478.84,481.13,479.15,479.57,477.93,485.33,466.54,466.89,463.45,461.14,463.24,467.99,442.33,474.20,477.44,468.20,477.50,448.74,490.81,482.23,500.70,493.97,496.43,497.94,513.33,506.53,480.94,482.35,478.78,467.42,456.59,374.28,358.20,397.07,393.37,398.47,342.92,424.93,432.66,411.66,458.13,497.82,490.17,463.76,512.05,517.01,505.89
2000-03-30 22:00:09.363000,L7,318.35,317.96,314.44,321.86,339.94,335.55,353.64,357.57,350.85,323.29,293.69,288.93,338.41,337.17,326.25,489.28,490.75,494.63,490.18,491.53,469.08,474.05,325.65,327.52,329.30,340.99,338.62,346.38,357.65,352.83,355.01,350.43,357.45,363.74,370.64,361.81,372.87,370.13,382.19,385.62,392.79,388.15,392.92,389.69,478.72,473.63,492.20,491.62,456.12,488.58,387.64,419.52,388.93,393.94,401.96,394.34,353.89,347.72,382.73,355.60,368.86,362.10,482.13,499.75,494.11,493.14,492.09,514.00,521.85,
2000-04-15 21:59:55.745000,L7,,,,215.24,225.37,239.32,251.70,267.26,264.16,257.09,229.29,,,,,,,,,,,,,,,,,,,,,,,,,291.79,313.87,,,,,,,,,,,,,,,,,,,,,,,,302.02,293.34,315.44,298.42,325.54,190.07,348.46,356.08,301.28,483.26
2000-05-01 21:59:54.563000,L7,321.13,313.55,315.92,326.06,328.41,330.05,340.88,350.26,347.53,318.26,293.78,288.96,317.90,333.74,313.97,306.99,311.82,304.64,310.51,311.20,324.28,330.09,327.64,330.69,332.69,341.87,351.90,365.67,340.69,348.86,354.48,346.91,351.70,355.28,364.28,360.00,371.38,364.51,377.43,380.96,381.01,377.84,382.55,380.32,379.99,380.48,378.64,379.16,394.95,382.31,386.35,396.31,384.63,396.27,399.00,368.86,333.09,341.50,342.27,351.09,366.46,359.41,413.08,388.34,423.78,424.96,410.47,410.83,519.99,
2000-06-18 21:59:27.736000,L7,310.45,465.57,467.86,469.87,463.87,461.98,334.74,346.17,335.78,312.03,292.51,285.68,273.00,302.06,294.21,278.79,295.51,272.36,286.56,480.54,453.55,495.25,492.67,314.46,320.03,316.63,325.11,333.26,323.58,339.47,335.54,344.13,338.48,348.84,353.15,349.86,361.60,363.13,366.88,466.31,480.89,482.57,367.91,357.21,358.99,358.61,373.91,372.10,378.42,369.83,371.27,374.76,369.15,380.38,185.61,247.86,250.81,313.85,329.72,327.94,356.73,351.29,412.70,367.94,403.67,413.24,417.95,405.64,505.31,
